n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,11.388799,1.023835897,BKPIECEkConfigDefault,1,2.056333065,1.023835897,1.702798934,12.21553312,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.55', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '0.8', 'failed_expansion_score_factor': '0.684', 'min_valid_path_fraction': '0.139', 'type': 'geometric::BKPIECE'}"
2,27.072963,0.323568106,BKPIECEkConfigDefault,1,1.962382078,0.323568106,1.702725941,6.390255329,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.8129150485790053', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '0.345143546424846', 'failed_expansion_score_factor': '0.6042110995178694', 'min_valid_path_fraction': '0.6568401860466199', 'type': 'geometric::BKPIECE'}"
3,43.24566521,1.607521057,BKPIECEkConfigDefault,1,1.340142965,1.607521057,1.702778469,6.703659251,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.3434291004964024', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '7.699487130228094', 'failed_expansion_score_factor': '0.3496873002256714', 'min_valid_path_fraction': '0.45429134715488717', 'type': 'geometric::BKPIECE'}"
4,59.41836742,1.283815146,BKPIECEkConfigDefault,1,1.972343922,1.283815146,1.702720283,7.597337392,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.9750528201202652', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '5.733275053527968', 'failed_expansion_score_factor': '0.9109122674563664', 'min_valid_path_fraction': '0.16422878185429268', 'type': 'geometric::BKPIECE'}"
5,75.59106963,1.084952831,BKPIECEkConfigDefault,1,1.514112949,1.084952831,1.703138413,6.495143103,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.6114415300695377', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '5.8515793574356145', 'failed_expansion_score_factor': '0.49823781140356327', 'min_valid_path_fraction': '0.27192657848265744', 'type': 'geometric::BKPIECE'}"
6,91.76377184,2.044667006,BKPIECEkConfigDefault,1,1.858239889,2.044667006,1.702821344,8.41587218,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.6915197468409857', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '11.826522577637823', 'failed_expansion_score_factor': '0.22279197873681555', 'min_valid_path_fraction': '0.18453460298798596', 'type': 'geometric::BKPIECE'}"
7,107.9364741,1.631691933,BKPIECEkConfigDefault,1,2.241477013,1.631691933,1.702874217,7.593517782,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.6977468587852179', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '3.9271331973937675', 'failed_expansion_score_factor': '0.6610730146578853', 'min_valid_path_fraction': '0.3993615194266441', 'type': 'geometric::BKPIECE'}"
8,124.1091763,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.9252853423103169', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '8.837531468162863', 'failed_expansion_score_factor': '0.5696303264051787', 'min_valid_path_fraction': '0.4896231919112338', 'type': 'geometric::BKPIECE'}"
9,140.2818785,0.676682949,BKPIECEkConfigDefault,1,2.120238066,0.676682949,1.70295016,6.734421484,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.8081806711538452', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '10.864085481429328', 'failed_expansion_score_factor': '0.342934302291071', 'min_valid_path_fraction': '0.02645291485648671', 'type': 'geometric::BKPIECE'}"
10,156.4545807,1.415137053,BKPIECEkConfigDefault,1,3.036931992,1.415137053,1.703101253,7.828530362,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.8574887460813815', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '10.65744184261283', 'failed_expansion_score_factor': '0.8411391867557166', 'min_valid_path_fraction': '0.1570992258784878', 'type': 'geometric::BKPIECE'}"
