n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,7.898975,0.469822168,BiTRRTkConfigDefault,1,2.000104904,0.469822168,1.703057354,12.68121504,1,"{'init_temperature': '1e-06', 'temp_change_factor': '0.1', 'cost_threshold': '100000.0', 'range': '5.0', 'frountier_node_ratio': '0.1', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.4'}"
2,20.32935769,0.213322878,BiTRRTkConfigDefault,1,1.369608164,0.213322878,1.70295714,8.420189184,1,"{'init_temperature': '1.6452587008378928e-05', 'temp_change_factor': '0.9433890618381666', 'cost_threshold': '81291.50485790054', 'range': '11.634765305936439', 'frountier_node_ratio': '0.6042110995178694', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.6568401860466199'}"
3,32.75974039,0.582370043,BiTRRTkConfigDefault,1,1.84664607,0.582370043,1.703170046,8.651457735,1,"{'init_temperature': '4.593681637391678e-05', 'temp_change_factor': '0.38300963008571765', 'cost_threshold': '95592.17700147729', 'range': '7.965555250264634', 'frountier_node_ratio': '0.05786450381278485', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.9495561925313989'}"
4,45.19012308,0.2585361,BiTRRTkConfigDefault,1,1.646466017,0.2585361,1.703004249,7.020583512,1,"{'init_temperature': '0.00048177882138481485', 'temp_change_factor': '0.5325690108277104', 'cost_threshold': '68742.69963771936', 'range': '9.902131952252732', 'frountier_node_ratio': '0.2840280679179529', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.9880326948073805'}"
5,57.62050577,3,BiTRRTkConfigDefault,1,0,0,0,0,0,"{'init_temperature': '0.000711556783301482', 'temp_change_factor': '0.0421834026164738', 'cost_threshold': '65401.692802915015', 'range': '12.164624977086913', 'frountier_node_ratio': '0.3023281314131858', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.8282001703279739'}"
6,70.05088846,0.319921017,BiTRRTkConfigDefault,1,1.939797878,0.319921017,1.70299316,7.691264105,1,"{'init_temperature': '0.0009264586892960417', 'temp_change_factor': '0.42404485298981975', 'cost_threshold': '90851.65264947417', 'range': '10.195663784046713', 'frountier_node_ratio': '0.3578125784755187', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.13871560467201005'}"
7,82.48127116,3,BiTRRTkConfigDefault,1,0,0,0,0,0,"{'init_temperature': '0.00025427831462185557', 'temp_change_factor': '0.05424421022560644', 'cost_threshold': '57323.874704873946', 'range': '4.439167805194242', 'frountier_node_ratio': '0.19557799197286374', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.445269245248584'}"
8,94.91165385,0.214596987,BiTRRTkConfigDefault,1,1.471726894,0.214596987,1.703222397,7.365589791,1,"{'init_temperature': '0.0006928590244496692', 'temp_change_factor': '0.9568465558915744', 'cost_threshold': '38683.627908111', 'range': '4.195397190448644', 'frountier_node_ratio': '0.4575329949135254', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.6177174433687146'}"
9,107.3420365,0.693968058,BiTRRTkConfigDefault,1,1.821436882,0.693968058,1.703210855,8.838611898,1,"{'init_temperature': '0.0008523432682451377', 'temp_change_factor': '0.5264039322403571', 'cost_threshold': '8725.036251921392', 'range': '13.78618624718022', 'frountier_node_ratio': '0.7788641521335762', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.2555725278351173'}"
10,119.7724192,0.451586962,BiTRRTkConfigDefault,1,1.150599957,0.451586962,1.703029555,6.727535145,1,"{'init_temperature': '0.0008779973899587018', 'temp_change_factor': '0.901441849880397', 'cost_threshold': '58632.99833815671', 'range': '1.7598761077007083', 'frountier_node_ratio': '0.4109413932537682', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.03174086367426987'}"
