n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,10.0424649715,0.9743189812,BKPIECEkConfigDefault,1,4.9043169022,0.9743189812,1.7030251316,8.6283655668,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.8520524611519666, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.7097783036898386, 'failed_expansion_score_factor': 0.6423855119466738, 'min_valid_path_fraction': 0.4151626219280649, 'type': 'geometric::BKPIECE'}"
2,19.858656168,1.3608338833,BKPIECEkConfigDefault,1,3.0690321922,1.3608338833,1.7027748592,7.7298507178,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.30902347985110756, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.6431205846734376, 'failed_expansion_score_factor': 0.5059783137563045, 'min_valid_path_fraction': 0.4231455562957883, 'type': 'geometric::BKPIECE'}"
3,32.1632311344,2.7857420444,BKPIECEkConfigDefault,1,3.4730551243,2.7857420444,1.7029661636,7.1635554096,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6657632784486375, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.9185948020107886, 'failed_expansion_score_factor': 0.1833332413920129, 'min_valid_path_fraction': 0.8765828954405148, 'type': 'geometric::BKPIECE'}"
4,43.2112891674,0.89092803,BKPIECEkConfigDefault,1,3.3211140633,0.89092803,1.703001667,7.5966300854,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.5444536055736446, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.4692020439792421, 'failed_expansion_score_factor': 0.6029188024713519, 'min_valid_path_fraction': 0.5605045679765602, 'type': 'geometric::BKPIECE'}"
5,53.0885980129,0.5516037941,BKPIECEkConfigDefault,1,3.3993089199,0.5516037941,1.7028332609,6.9476956713,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.4999203983793246, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.5001445365450208, 'failed_expansion_score_factor': 0.2557228367031533, 'min_valid_path_fraction': 0.17845726473517948, 'type': 'geometric::BKPIECE'}"
6,65.817152977,2.2577540874,BKPIECEkConfigDefault,1,5.1086919308,2.2577540874,1.7028497304,6.9332335859,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.2612053188390083, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.8149371035058692, 'failed_expansion_score_factor': 0.4774524904156663, 'min_valid_path_fraction': 0.6324102849899259, 'type': 'geometric::BKPIECE'}"
7,69.4001030922,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.9713186143594116, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.42472821175848585, 'failed_expansion_score_factor': 0.3902445586210488, 'min_valid_path_fraction': 0.7631518341575336, 'type': 'geometric::BKPIECE'}"
8,81.5353369713,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.086504155149098, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.9220036103865892, 'failed_expansion_score_factor': 0.6701508011552164, 'min_valid_path_fraction': 0.6533059299233858, 'type': 'geometric::BKPIECE'}"
9,91.9882180691,2.4264039993,BKPIECEkConfigDefault,1,6.7474918365,2.4264039993,1.7028150178,7.9600929259,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.44365015881505043, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.28466919215055, 'failed_expansion_score_factor': 0.3711072340969472, 'min_valid_path_fraction': 0.6910147061460697, 'type': 'geometric::BKPIECE'}"
10,95.5473201275,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.9520925007782052, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.12578610766300868, 'failed_expansion_score_factor': 0.6417037907693361, 'min_valid_path_fraction': 0.689976649294, 'type': 'geometric::BKPIECE'}"
11,122.0579221249,0.9385640621,BKPIECEkConfigDefault,1,5.2761931419,0.9385640621,1.7030454552,8.0797477786,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.9066774819470244, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 2.0, 'failed_expansion_score_factor': 0.08776906197821358, 'min_valid_path_fraction': 0.08844086195789455, 'type': 'geometric::BKPIECE'}"
