n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,3.071460962295532,0.22717809677124026,RRTConnectkConfigDefault,1,1.5801479816436768,0.22717809677124026,1.7029512615585978,8.367291622255314,1.0,"{'default': 1.226404774627535, 'type': 'geometric::RRTConnect'}"
2,6.709290981292725,0.3259341716766357,RRTConnectkConfigDefault,1,1.3215758800506592,0.3259341716766357,1.702814655868505,6.675236526786282,1.0,"{'default': 1.7300966734832384, 'type': 'geometric::RRTConnect'}"
3,11.394654035568236,0.2738361358642578,RRTConnectkConfigDefault,1,1.8901269435882568,0.2738361358642578,1.7030915661717818,8.298899068088767,1.0,"{'default': 1.2847710238933476, 'type': 'geometric::RRTConnect'}"
4,16.016041040420532,0.24856996536254886,RRTConnectkConfigDefault,1,1.7539269924163818,0.24856996536254886,1.7029191789458968,8.919121376410851,1.0,"{'default': 0.6653157524344974, 'type': 'geometric::RRTConnect'}"
5,19.338510990142826,0.2863938808441162,RRTConnectkConfigDefault,1,1.2538728713989258,0.2863938808441162,1.7030190462851695,7.346354169760795,1.0,"{'default': 0.6180469597022151, 'type': 'geometric::RRTConnect'}"
6,22.944654941558838,0.5338129997253418,RRTConnectkConfigDefault,1,1.4483129978179932,0.5338129997253418,1.7029398311053987,7.140885336807175,1.0,"{'default': 1.6431205846734376, 'type': 'geometric::RRTConnect'}"
7,25.932116985321045,3.0,RRTConnectkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'default': 0.8462911125915766, 'type': 'geometric::RRTConnect'}"
8,28.44563293457031,0.26062798500061035,RRTConnectkConfigDefault,1,1.9707939624786377,0.26062798500061035,1.702916818082723,7.882807211202443,1.0,"{'default': 0.7410527047928099, 'type': 'geometric::RRTConnect'}"
9,29.496061086654663,3.0,RRTConnectkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'default': 0.7996589256970412, 'type': 'geometric::RRTConnect'}"
10,34.498305082321174,0.2807550430297852,RRTConnectkConfigDefault,1,2.228137969970703,0.2807550430297852,1.7028390503935458,8.453357116343637,1.0,"{'default': 0.3666664827840258, 'type': 'geometric::RRTConnect'}"
