n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,7.955515146255492,3.0,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.8520524611519665, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.7097783036898384, 'failed_expansion_score_factor': 0.6423855119466738, 'min_valid_path_fraction': 0.41516262192806486, 'type': 'geometric::BKPIECE'}"
2,14.38984203338623,1.2552671432495115,BKPIECEkConfigDefault,1,4.386226177215576,1.2552671432495115,1.7030977524066788,6.7754230492465375,1.0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.30902347985110756, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.6431205846734371, 'failed_expansion_score_factor': 0.5059783137563045, 'min_valid_path_fraction': 0.42314555629578826, 'type': 'geometric::BKPIECE'}"
3,18.22023200988769,3.0,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6657632784486375, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.9185948020107884, 'failed_expansion_score_factor': 0.1833332413920129, 'min_valid_path_fraction': 0.8765828954405146, 'type': 'geometric::BKPIECE'}"
4,32.790244102478034,2.2773709297180176,BKPIECEkConfigDefault,1,4.628225088119507,2.2773709297180176,1.7027781637670532,7.963776358240326,1.0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.5444536055736446, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.469202043979242, 'failed_expansion_score_factor': 0.6029188024713519, 'min_valid_path_fraction': 0.5605045679765602, 'type': 'geometric::BKPIECE'}"
5,44.207723140716546,0.823124885559082,BKPIECEkConfigDefault,1,2.664989948272705,0.823124885559082,1.7028862105781883,7.206275283583975,1.0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.49992039837932456, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.5001445365450206, 'failed_expansion_score_factor': 0.2557228367031533, 'min_valid_path_fraction': 0.17845726473517948, 'type': 'geometric::BKPIECE'}"
6,53.093675136566155,0.9863669872283936,BKPIECEkConfigDefault,1,3.5134549140930176,0.9863669872283936,1.7028324736642506,7.165188007953726,1.0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.26120531883900827, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.814937103505869, 'failed_expansion_score_factor': 0.47745249041566623, 'min_valid_path_fraction': 0.6324102849899259, 'type': 'geometric::BKPIECE'}"
7,56.541341066360474,3.0,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.9713186143594115, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.42472821175848585, 'failed_expansion_score_factor': 0.3902445586210488, 'min_valid_path_fraction': 0.7631518341575335, 'type': 'geometric::BKPIECE'}"
8,66.59186506271361,1.6730759143829346,BKPIECEkConfigDefault,1,2.7362070083618164,1.6730759143829346,1.7029716033251336,7.464999496876151,1.0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.086504155149098, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.922003610386589, 'failed_expansion_score_factor': 0.6701508011552164, 'min_valid_path_fraction': 0.6533059299233858, 'type': 'geometric::BKPIECE'}"
9,75.96341013908386,2.202670097351074,BKPIECEkConfigDefault,1,3.011658906936645,2.202670097351074,1.7029450392966201,8.16121227376881,1.0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.4436501588150504, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.2846691921505498, 'failed_expansion_score_factor': 0.3711072340969472, 'min_valid_path_fraction': 0.6910147061460697, 'type': 'geometric::BKPIECE'}"
10,79.32543802261354,3.0,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.9520925007782051, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.12578610766300868, 'failed_expansion_score_factor': 0.641703790769336, 'min_valid_path_fraction': 0.689976649294, 'type': 'geometric::BKPIECE'}"
11,87.75604701042175,0.2454259395599365,BKPIECEkConfigDefault,1,2.866960048675537,0.2454259395599365,1.7029108564638125,6.870419551840406,1.0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.2101722745560624, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.6014523886653866, 'failed_expansion_score_factor': 0.3434282875877869, 'min_valid_path_fraction': 0.5566648279133849, 'type': 'geometric::BKPIECE'}"
12,95.90727496147156,3.0,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.4000877194497225, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.7898553945090485, 'failed_expansion_score_factor': 0.2437497010934942, 'min_valid_path_fraction': 0.513754734177196, 'type': 'geometric::BKPIECE'}"
13,100.43995809555055,0.6864681243896484,BKPIECEkConfigDefault,1,2.1715929508209233,0.6864681243896484,1.7028144085644503,6.641689183685113,1.0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.3420644869366845, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.7286627355499102, 'failed_expansion_score_factor': 0.1668027831425104, 'min_valid_path_fraction': 0.1673000331833649, 'type': 'geometric::BKPIECE'}"
14,109.14740896224977,0.5861940383911133,BKPIECEkConfigDefault,1,2.850374937057495,0.5861940383911133,1.7028264614457065,7.973124973853261,1.0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.3665885285721092, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.9038783719545145, 'failed_expansion_score_factor': 0.12809124481507206, 'min_valid_path_fraction': 0.3994948740500581, 'type': 'geometric::BKPIECE'}"
15,117.02279210090636,3.0,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.37700621061135264, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.4362517184047348, 'failed_expansion_score_factor': 0.3172460595802284, 'min_valid_path_fraction': 0.47695837976282207, 'type': 'geometric::BKPIECE'}"
16,122.39529013633728,0.7163970470428467,BKPIECEkConfigDefault,1,3.137842893600464,0.7163970470428467,1.7031108588517831,8.464319610948019,1.0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.36967024978324614, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.0117665074680786, 'failed_expansion_score_factor': 0.0719368646276349, 'min_valid_path_fraction': 0.05742187578108354, 'type': 'geometric::BKPIECE'}"
17,131.934091091156,1.7752280235290527,BKPIECEkConfigDefault,1,2.4931979179382324,1.7752280235290527,1.7028800710858945,6.685344741411514,1.0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.37256621907750864, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.9727416670458338, 'failed_expansion_score_factor': 0.3108181090903939, 'min_valid_path_fraction': 0.2815399540515137, 'type': 'geometric::BKPIECE'}"
18,136.8545880317688,3.0,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.3686709096010964, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.6208349223451295, 'failed_expansion_score_factor': 0.23783186991235644, 'min_valid_path_fraction': 0.8063985436996758, 'type': 'geometric::BKPIECE'}"
