n_trial,elapsed_time,,,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,5.6389188766,12.344296,12.344296,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.5', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '1.0', 'failed_expansion_score_factor': '0.5', 'min_valid_path_fraction': '0.5', 'type': 'geometric::BKPIECE'}"
1,12.4312989711,26.423213,26.423213,2.7029261589,BKPIECEkConfigDefault,1,2.397837162,2.7029261589,1.7027798364,7.2121039743,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.05', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '1.0', 'failed_expansion_score_factor': '0.05', 'min_valid_path_fraction': '0.65', 'type': 'geometric::BKPIECE'}"
1,16.9744639396,,,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.45', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '0.1', 'failed_expansion_score_factor': '0.9', 'min_valid_path_fraction': '0.45', 'type': 'geometric::BKPIECE'}"
1,22.3546259403,,,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.75', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '0.1', 'failed_expansion_score_factor': '0.3', 'min_valid_path_fraction': '0.15', 'type': 'geometric::BKPIECE'}"
1,33.6964809894,74.728391,74.728391,1.5804879665,BKPIECEkConfigDefault,1,3.5697948933,1.5804879665,1.7028561522,7.2325509607,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.95', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '1.1', 'failed_expansion_score_factor': '0.75', 'min_valid_path_fraction': '0.95', 'type': 'geometric::BKPIECE'}"
1,39.7877938747,,,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.05', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '0.7', 'failed_expansion_score_factor': '0.55', 'min_valid_path_fraction': '0.35', 'type': 'geometric::BKPIECE'}"
1,45.15147686,,,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.65', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '0.1', 'failed_expansion_score_factor': '0.65', 'min_valid_path_fraction': '0.95', 'type': 'geometric::BKPIECE'}"
1,58.8105518817,143.837985,143.837985,0.9676299095,BKPIECEkConfigDefault,1,3.7620811462,0.9676299095,1.7032366216,7.6166941476,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.1', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '1.3', 'failed_expansion_score_factor': '0.95', 'min_valid_path_fraction': '0.95', 'type': 'geometric::BKPIECE'}"
1,64.5420889854,,,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.1', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '0.7', 'failed_expansion_score_factor': '0.9', 'min_valid_path_fraction': '0.3', 'type': 'geometric::BKPIECE'}"
1,70.2516241073,,,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.8', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '1.5', 'failed_expansion_score_factor': '0.55', 'min_valid_path_fraction': '0.65', 'type': 'geometric::BKPIECE'}"
1,81.7739982604,,,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.4', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '0.5', 'failed_expansion_score_factor': '0.5', 'min_valid_path_fraction': '0.4', 'type': 'geometric::BKPIECE'}"
1,87.9307091235,,,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.1', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '1.1', 'failed_expansion_score_factor': '0.7', 'min_valid_path_fraction': '0.9', 'type': 'geometric::BKPIECE'}"
1,96.5719530581,,,2.2550051212,BKPIECEkConfigDefault,1,2.6520011425,2.2550051212,1.7030152667,8.5034353066,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.15', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '1.8', 'failed_expansion_score_factor': '0.9', 'min_valid_path_fraction': '0.35', 'type': 'geometric::BKPIECE'}"
1,107.7924900054,,,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.75', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '0.9', 'failed_expansion_score_factor': '0.45', 'min_valid_path_fraction': '0.45', 'type': 'geometric::BKPIECE'}"
1,113.0223979949,,,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.3', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '0.2', 'failed_expansion_score_factor': '0.95', 'min_valid_path_fraction': '0.35', 'type': 'geometric::BKPIECE'}"
1,122.1350140571,,,1.8013780117,BKPIECEkConfigDefault,1,3.8307611942,1.8013780117,1.7030990367,7.1672720954,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.7', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '1.1', 'failed_expansion_score_factor': '0.2', 'min_valid_path_fraction': '0.85', 'type': 'geometric::BKPIECE'}"
1,128.3013470172,,,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.5', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '0.6', 'failed_expansion_score_factor': '0.65', 'min_valid_path_fraction': '0.8', 'type': 'geometric::BKPIECE'}"
