n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,18.533646,2.028876066,RRTConnectkConfigDefault,1,4.491935968,2.028876066,1.70303826,6.716949555,1,"{'default': '1.0', 'type': 'geometric::RRTConnect'}"
2,66.075149,1.643671989,RRTConnectkConfigDefault,1,14.06614494,1.643671989,1.702846742,8.35508713,1,"{'default': '0.1', 'type': 'geometric::RRTConnect'}"
3,96.848862,0.55458498,RRTConnectkConfigDefault,1,3.247634172,0.55458498,1.702900994,8.170846216,1,"{'default': '1.9', 'type': 'geometric::RRTConnect'}"
4,115.301574,0.562998056,RRTConnectkConfigDefault,1,2.49778986,0.562998056,1.702828441,7.843273317,1,"{'default': '1.6', 'type': 'geometric::RRTConnect'}"
5,133.754286,0.349314928,RRTConnectkConfigDefault,1,3.510958195,0.349314928,1.702812675,7.2473044,1,"{'default': '1.3', 'type': 'geometric::RRTConnect'}"
6,150.5857823,0.755142927,RRTConnectkConfigDefault,1,3.371720791,0.755142927,1.702891768,6.809387378,1,"{'default': '0.3', 'type': 'geometric::RRTConnect'}"
7,167.4172785,0.808279037,RRTConnectkConfigDefault,1,2.517016888,0.808279037,1.702783443,7.139593931,1,"{'default': '0.9', 'type': 'geometric::RRTConnect'}"
8,184.2487748,0.541756153,RRTConnectkConfigDefault,1,2.253895998,0.541756153,1.702852975,7.729777114,1,"{'default': '0.4', 'type': 'geometric::RRTConnect'}"
9,201.080271,0.345805168,RRTConnectkConfigDefault,1,1.698177099,0.345805168,1.702754704,7.158387746,1,"{'default': '1.5', 'type': 'geometric::RRTConnect'}"
10,217.9551457,0.559081078,RRTConnectkConfigDefault,1,1.770323992,0.559081078,1.702886941,6.744611257,1,"{'default': '0.2', 'type': 'geometric::RRTConnect'}"
11,234.8300203,1.058100939,RRTConnectkConfigDefault,1,4.092195988,1.058100939,1.702784054,7.505545814,1,"{'default': '1.8', 'type': 'geometric::RRTConnect'}"
12,251.704895,0.220871925,RRTConnectkConfigDefault,1,3.648602009,0.220871925,1.702954625,7.561230728,1,"{'default': '1.1', 'type': 'geometric::RRTConnect'}"
13,271.689533,0.184149027,RRTConnectkConfigDefault,1,2.469372034,0.184149027,1.703028744,7.804692294,1,"{'default': '0.6', 'type': 'geometric::RRTConnect'}"
14,1426.407944,0.214009047,RRTConnectkConfigDefault,1,2.356452942,0.214009047,1.702970001,9.12907666,1,"{'default': '1.2', 'type': 'geometric::RRTConnect'}"
15,2581.126355,0.266844034,RRTConnectkConfigDefault,1,2.310876846,0.266844034,1.70307735,8.444781899,1,"{'default': '1.4', 'type': 'geometric::RRTConnect'}"
16,3735.844767,0.858598948,RRTConnectkConfigDefault,1,2.476619005,0.858598948,1.703100883,6.63592842,1,"{'default': '0.8', 'type': 'geometric::RRTConnect'}"
17,4890.563178,3,RRTConnectkConfigDefault,1,0,0,0,0,0,"{'default': '0.5', 'type': 'geometric::RRTConnect'}"
18,6045.281589,3,RRTConnectkConfigDefault,1,0,0,0,0,0,"{'default': '0.7', 'type': 'geometric::RRTConnect'}"
19,7200,0.256577969,RRTConnectkConfigDefault,1,1.985087872,0.256577969,1.703055089,7.644837602,1,"{'default': '1.7', 'type': 'geometric::RRTConnect'}"
