elapsed_time,n_trial,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
6.33204197883606,1,0.9494001865386963,BKPIECEkConfigDefault,1,2.5811338424682617,0.9494001865386963,1.7029156557763074,7.044413011268177,1.0,"{'border_fraction': 0.75, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.5, 'failed_expansion_score_factor': 0.6000000000000001, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.45, 'type': 'geometric::BKPIECE'}",
20.050862073898315,2,1.6770219802856445,BKPIECEkConfigDefault,1,7.126680135726929,1.6770219802856445,1.7029095016483695,13.695873088237526,1.0,"{'border_fraction': 0.30000000000000004, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.5, 'failed_expansion_score_factor': 0.7000000000000001, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.75, 'type': 'geometric::BKPIECE'}",
30.446749925613403,3,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.30000000000000004, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.5, 'failed_expansion_score_factor': 0.35000000000000003, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.2, 'type': 'geometric::BKPIECE'}",
35.77077007293701,4,1.343446969985962,BKPIECEkConfigDefault,1,3.2718911170959473,1.343446969985962,1.703117801829959,8.307282746340453,1.0,"{'border_fraction': 0.35000000000000003, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.3, 'failed_expansion_score_factor': 0.9, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.45, 'type': 'geometric::BKPIECE'}",
44.17653203010559,5,1.0455379486083984,BKPIECEkConfigDefault,1,3.142568826675415,1.0455379486083984,1.7027156328600845,8.48894025651755,1.0,"{'border_fraction': 0.1, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.1, 'failed_expansion_score_factor': 0.5, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.7000000000000001, 'type': 'geometric::BKPIECE'}",
52.23362112045288,6,0.8821251392364502,BKPIECEkConfigDefault,1,3.374897003173828,0.8821251392364502,1.702841928694519,8.007272050935462,1.0,"{'border_fraction': 0.35000000000000003, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.9, 'failed_expansion_score_factor': 0.30000000000000004, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.45, 'type': 'geometric::BKPIECE'}",
63.35017704963684,7,2.390726089477539,BKPIECEkConfigDefault,1,4.2801549434661865,2.390726089477539,1.702892000800845,6.953827843816068,1.0,"{'border_fraction': 0.9, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.4000000000000001, 'failed_expansion_score_factor': 0.8, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.5, 'type': 'geometric::BKPIECE'}",
73.59465003013611,8,1.5963759422302246,BKPIECEkConfigDefault,1,2.8062498569488525,1.5963759422302246,1.7028864184064858,7.985173059066582,1.0,"{'border_fraction': 0.65, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.6000000000000001, 'failed_expansion_score_factor': 0.4, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.25, 'type': 'geometric::BKPIECE'}",
82.2014319896698,9,0.9095230102539062,BKPIECEkConfigDefault,1,2.7787201404571533,0.9095230102539062,1.7029186615573055,7.944121107307122,1.0,"{'border_fraction': 0.25, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.5, 'failed_expansion_score_factor': 0.9500000000000001, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.5, 'type': 'geometric::BKPIECE'}",
90.85157608985901,10,1.2893579006195068,BKPIECEkConfigDefault,1,3.640824794769287,1.2893579006195068,1.7026510380224702,6.785828152660441,1.0,"{'border_fraction': 0.15000000000000002, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.7000000000000002, 'failed_expansion_score_factor': 0.7000000000000001, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.9, 'type': 'geometric::BKPIECE'}",
97.62035894393921,11,0.6571588516235352,BKPIECEkConfigDefault,1,2.7577130794525146,0.6571588516235352,1.7027199571568998,6.784452172342244,1.0,"{'border_fraction': 0.9, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.3, 'failed_expansion_score_factor': 0.9, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.35000000000000003, 'type': 'geometric::BKPIECE'}",
106.38761401176453,12,1.6459128856658936,BKPIECEkConfigDefault,1,2.941861152648926,1.6459128856658936,1.7030043214408503,7.349467737047706,1.0,"{'border_fraction': 0.7000000000000001, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.9000000000000001, 'failed_expansion_score_factor': 0.6000000000000001, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.5, 'type': 'geometric::BKPIECE'}",
109.86008810997009,13,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.1, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.4, 'failed_expansion_score_factor': 0.7000000000000001, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.9, 'type': 'geometric::BKPIECE'}",
118.04934096336365,14,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.25, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.7000000000000002, 'failed_expansion_score_factor': 0.75, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.9500000000000001, 'type': 'geometric::BKPIECE'}",
121.57147192955017,15,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.30000000000000004, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.2, 'failed_expansion_score_factor': 0.15000000000000002, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.45, 'type': 'geometric::BKPIECE'}",
125.87768507003784,16,1.0575830936431885,BKPIECEkConfigDefault,1,2.726501941680908,1.0575830936431885,1.702867863581529,7.697625817992111,1.0,"{'border_fraction': 0.8500000000000001, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.9, 'failed_expansion_score_factor': 0.5, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.8, 'type': 'geometric::BKPIECE'}",
129.31169605255127,17,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.7000000000000001, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.4, 'failed_expansion_score_factor': 0.35000000000000003, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.9500000000000001, 'type': 'geometric::BKPIECE'}",
