elapsed_time,n_trial,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
3.2654440403,1,0.1604092121,RRTConnectkConfigDefault,1,1.3635001183,0.1604092121,1.7031774947,7.7635485283,1,"{'default': 0.4, 'type': 'geometric::RRTConnect'}"
6.719686985,2,0.2123131752,RRTConnectkConfigDefault,1,1.3419702053,0.2123131752,1.7028921952,7.2973704241,1,"{'default': 0.6000000000000001, 'type': 'geometric::RRTConnect'}"
9.7818250656,3,0.1123628616,RRTConnectkConfigDefault,1,1.1804261208,0.1123628616,1.7028488662,6.7579525093,1,"{'default': 0.5, 'type': 'geometric::RRTConnect'}"
10.344367981,4,3,RRTConnectkConfigDefault,1,0,3,0,0,0,"{'default': 1.2000000000000002, 'type': 'geometric::RRTConnect'}"
13.3430008888,5,0.1754341125,RRTConnectkConfigDefault,1,1.4465548992,0.1754341125,1.7029288722,8.13493024,1,"{'default': 0.4, 'type': 'geometric::RRTConnect'}"
16.6901869774,6,0.2717189789,RRTConnectkConfigDefault,1,1.1782431602,0.2717189789,1.7029354497,7.9816721661,1,"{'default': 0.8, 'type': 'geometric::RRTConnect'}"
20.4726688862,7,0.2359380722,RRTConnectkConfigDefault,1,1.5230510235,0.2359380722,1.7027547229,6.9261571183,1,"{'default': 1.5, 'type': 'geometric::RRTConnect'}"
23.9082269669,8,0.2610800266,RRTConnectkConfigDefault,1,1.3797430992,0.2610800266,1.7029215267,8.9215851936,1,"{'default': 2.0, 'type': 'geometric::RRTConnect'}"
28.4436359406,9,0.1373269558,RRTConnectkConfigDefault,1,1.9046990871,0.1373269558,1.7028222195,9.2567004398,1,"{'default': 1.2000000000000002, 'type': 'geometric::RRTConnect'}"
32.0590848923,10,0.2723398209,RRTConnectkConfigDefault,1,1.0585079193,0.2723398209,1.7026683625,7.4366623076,1,"{'default': 2.0, 'type': 'geometric::RRTConnect'}"
