n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,8.8242440224,0.187112093,RRTConnectkConfigDefault,1,2.9412140846,0.187112093,1.7031695506,7.5123073397,1,"{'range': 13.389306772600126, 'type': 'geometric::RRTConnect'}"
2,16.6267659664,0.9550449848,RRTConnectkConfigDefault,1,2.3467669487,0.9550449848,1.7030548036,6.6624203609,1,"{'range': 1.9795362748846517, 'type': 'geometric::RRTConnect'}"
3,25.4880208969,0.9065330029,RRTConnectkConfigDefault,1,3.137928009,0.9065330029,1.7029351845,6.7905269762,1,"{'range': 6.9595509172276895, 'type': 'geometric::RRTConnect'}"
4,33.6159338951,0.2350308895,RRTConnectkConfigDefault,1,3.3534550667,0.2350308895,1.7029061151,7.1210197069,1,"{'range': 9.50463330824686, 'type': 'geometric::RRTConnect'}"
5,43.3657250404,0.3437950611,RRTConnectkConfigDefault,1,3.8725321293,0.3437950611,1.702879278,6.8778360534,1,"{'range': 3.5885673183594387, 'type': 'geometric::RRTConnect'}"
6,50.1619560719,0.5355379581,RRTConnectkConfigDefault,1,2.8958668709,0.5355379581,1.7031013723,6.4689402544,1,"{'range': 9.802079651233475, 'type': 'geometric::RRTConnect'}"
7,62.5303299427,0.7381589413,RRTConnectkConfigDefault,1,5.2720770836,0.7381589413,1.7030656605,8.3457357971,1,"{'range': 13.19553846368306, 'type': 'geometric::RRTConnect'}"
8,75.4866130352,0.3083148003,RRTConnectkConfigDefault,1,5.2413208485,0.3083148003,1.7029522707,7.0116827367,1,"{'range': 6.222915445643407, 'type': 'geometric::RRTConnect'}"
9,90.2206420898,0.9441280365,RRTConnectkConfigDefault,1,3.6941590309,0.9441280365,1.7028925005,7.9071563136,1,"{'range': 11.943562266714666, 'type': 'geometric::RRTConnect'}"
10,112.4247610569,0.9158289433,RRTConnectkConfigDefault,1,12.2844889164,0.9158289433,1.7027899487,8.8927062387,1,"{'range': 4.177918955548897, 'type': 'geometric::RRTConnect'}"
11,126.0825669765,0.3244538307,RRTConnectkConfigDefault,1,3.9592430592,0.3244538307,1.7030950251,7.2583070372,1,"{'range': 3.681951240290188, 'type': 'geometric::RRTConnect'}"
12,135.6154661179,0.5356559753,RRTConnectkConfigDefault,1,3.7103791237,0.5356559753,1.702682499,7.073645877,1,"{'range': 3.46268095729642, 'type': 'geometric::RRTConnect'}"
13,145.7520680428,0.7886190414,RRTConnectkConfigDefault,1,3.2253849506,0.7886190414,1.7027975035,7.8488603121,1,"{'range': 12.787254718270146, 'type': 'geometric::RRTConnect'}"
14,156.2539720535,0.2833249569,RRTConnectkConfigDefault,1,5.4354748726,0.2833249569,1.703132074,9.6420073005,1,"{'range': 5.877484482154633, 'type': 'geometric::RRTConnect'}"
15,166.5250570774,0.4373121262,RRTConnectkConfigDefault,1,3.777518034,0.4373121262,1.7027500711,6.9006014637,1,"{'range': 11.785096436526137, 'type': 'geometric::RRTConnect'}"
16,174.7651839256,0.4201450348,RRTConnectkConfigDefault,1,3.3897161484,0.4201450348,1.7029047241,7.8465868793,1,"{'range': 3.837081679231513, 'type': 'geometric::RRTConnect'}"
17,185.8470239639,0.4687819481,RRTConnectkConfigDefault,1,3.66167593,0.4687819481,1.7031154348,8.5091685849,1,"{'range': 11.00734528746477, 'type': 'geometric::RRTConnect'}"
18,195.7262659073,0.3743970394,RRTConnectkConfigDefault,1,3.7881300449,0.3743970394,1.7029974464,8.5004714873,1,"{'range': 13.270922134136953, 'type': 'geometric::RRTConnect'}"
19,197.8232519627,3,RRTConnectkConfigDefault,1,0.184898138,0.0610649586,0.0004063037,0.0004116694,0,"{'range': 8.309492117715147, 'type': 'geometric::RRTConnect'}"
20,207.4284539223,0.3236839771,RRTConnectkConfigDefault,1,2.9903481007,0.3236839771,1.7030728084,7.2679399951,1,"{'range': 14.106486621395364, 'type': 'geometric::RRTConnect'}"
21,218.5672729015,1.2783911228,RRTConnectkConfigDefault,1,4.479765892,1.2783911228,1.7026189382,7.8476641859,1,"{'range': 2.014504596192408, 'type': 'geometric::RRTConnect'}"
22,230.7839419842,0.4034781456,RRTConnectkConfigDefault,1,4.6154839993,0.4034781456,1.7029613769,7.9665369129,1,"{'range': 1.9291286171750475, 'type': 'geometric::RRTConnect'}"
23,241.6658289433,0.4784669876,RRTConnectkConfigDefault,1,5.0744278431,0.4784669876,1.7029041043,7.7986930554,1,"{'range': 12.040960951510979, 'type': 'geometric::RRTConnect'}"
24,251.8762218952,0.206827879,RRTConnectkConfigDefault,1,4.9767849445,0.206827879,1.7028755033,7.8726885429,1,"{'range': 7.465301079938516, 'type': 'geometric::RRTConnect'}"
25,263.5512340069,0.6892211437,RRTConnectkConfigDefault,1,3.8036589622,0.6892211437,1.7027476819,7.0343341107,1,"{'range': 13.160401601649733, 'type': 'geometric::RRTConnect'}"
26,267.8961079121,3,RRTConnectkConfigDefault,1,0.10521698,0.0372860432,0.000168455,0.0001750472,0,"{'range': 0.6706457338001238, 'type': 'geometric::RRTConnect'}"
27,278.3633921146,0.6749579906,RRTConnectkConfigDefault,1,5.6094410419,0.6749579906,1.7028877784,8.0481392816,1,"{'range': 14.456224692469371, 'type': 'geometric::RRTConnect'}"
28,292.5178050995,1.0183720589,RRTConnectkConfigDefault,1,4.3659951687,1.0183720589,1.7029007423,7.3472087529,1,"{'range': 7.206449730322441, 'type': 'geometric::RRTConnect'}"
29,302.0925838947,0.4339900017,RRTConnectkConfigDefault,1,4.5135850906,0.4339900017,1.7028647724,8.0465727258,1,"{'range': 10.361799976302851, 'type': 'geometric::RRTConnect'}"
30,310.2482690811,0.2101280689,RRTConnectkConfigDefault,1,2.8176989555,0.2101280689,1.7026080318,7.6022607853,1,"{'range': 13.878156683795389, 'type': 'geometric::RRTConnect'}"
31,316.618021965,0.3087599277,RRTConnectkConfigDefault,1,2.6263730526,0.3087599277,1.7030691095,6.8379866093,1,"{'range': 13.267650541265525, 'type': 'geometric::RRTConnect'}"
32,325.6831700802,0.8480770588,RRTConnectkConfigDefault,1,3.3824589252,0.8480770588,1.7027484436,7.6259522238,1,"{'range': 12.474684135727752, 'type': 'geometric::RRTConnect'}"
33,335.203357935,0.5269589424,RRTConnectkConfigDefault,1,2.9251580238,0.5269589424,1.7027748678,8.2847189918,1,"{'range': 9.522219488698786, 'type': 'geometric::RRTConnect'}"
34,345.94779706,0.8896670341,RRTConnectkConfigDefault,1,4.5473220348,0.8896670341,1.7027699436,7.235158505,1,"{'range': 1.837135232835057, 'type': 'geometric::RRTConnect'}"
35,355.2136909962,0.312019825,RRTConnectkConfigDefault,1,3.6884300709,0.312019825,1.7027569268,7.5338758543,1,"{'range': 7.225656383742484, 'type': 'geometric::RRTConnect'}"
36,361.7244040966,0.3630309105,RRTConnectkConfigDefault,1,3.4562020302,0.3630309105,1.7027624044,8.6743827252,1,"{'range': 7.719665003760615, 'type': 'geometric::RRTConnect'}"
37,370.9528710842,0.6758699417,RRTConnectkConfigDefault,1,3.6067278385,0.6758699417,1.7029699273,8.2322205143,1,"{'range': 11.621170707708947, 'type': 'geometric::RRTConnect'}"
38,378.914290905,0.2665331364,RRTConnectkConfigDefault,1,2.5380339622,0.2665331364,1.7029120472,6.7493726384,1,"{'range': 11.790233231513724, 'type': 'geometric::RRTConnect'}"
39,382.5784890652,3,RRTConnectkConfigDefault,1,0.1139199734,0.0329489708,0.0004142405,0.0004204259,0,"{'range': 0.19163068397414715, 'type': 'geometric::RRTConnect'}"
40,389.2991080284,0.2619199753,RRTConnectkConfigDefault,1,3.1124961376,0.2619199753,1.7030751319,7.7751621982,1,"{'range': 7.1209291250971924, 'type': 'geometric::RRTConnect'}"
41,397.2631299496,0.3504269123,RRTConnectkConfigDefault,1,2.8959710598,0.3504269123,1.7028305008,7.149006881,1,"{'range': 13.848806161545745, 'type': 'geometric::RRTConnect'}"
42,398.5828239918,3,RRTConnectkConfigDefault,1,0.104902029,0.0705301762,0.0002180494,0.0002236131,0,"{'range': 11.201380463906917, 'type': 'geometric::RRTConnect'}"
43,408.4403069019,0.5512440205,RRTConnectkConfigDefault,1,4.317606926,0.5512440205,1.7026861402,7.2451651914,1,"{'range': 13.42503749602341, 'type': 'geometric::RRTConnect'}"
44,416.7668468952,0.321338892,RRTConnectkConfigDefault,1,3.5782339573,0.321338892,1.7029261237,7.9099116079,1,"{'range': 12.664067264183174, 'type': 'geometric::RRTConnect'}"
45,423.4185240269,0.2399749756,RRTConnectkConfigDefault,1,2.6052281857,0.2399749756,1.7027990992,7.0979994412,1,"{'range': 9.942009732500818, 'type': 'geometric::RRTConnect'}"
46,427.0698010921,3,RRTConnectkConfigDefault,1,0.0796968937,0.0437810421,0.0001970963,0.0002015522,0,"{'range': 0.16396167194602868, 'type': 'geometric::RRTConnect'}"
47,436.6311559677,0.5976080894,RRTConnectkConfigDefault,1,2.5324528217,0.5976080894,1.7027225635,7.5702208242,1,"{'range': 4.407129658434102, 'type': 'geometric::RRTConnect'}"
48,445.1744129658,0.2875421047,RRTConnectkConfigDefault,1,3.5073258877,0.2875421047,1.702770805,6.7176629001,1,"{'range': 5.896378784227394, 'type': 'geometric::RRTConnect'}"
