n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,2.8505260944,3,BiTRRTkConfigDefault,1,0.0554609299,1.2679839134,0,0,0,"{'init_temperature': 0.0005928446182250185, 'temp_change_factor': 0.8442657485810175, 'cost_threshold': 0.29753460654447234, 'range': 12.72405090788347, 'frountier_node_ratio': 0.6235636967859725, 'type': 'geometric::BiTRRT', 'frountier_threshold': 85794.5617622757}"
2,11.0126869678,1.0164289474,BiTRRTkConfigDefault,1,5.6213450432,1.0164289474,1.7031323354,6.9383123173,1,"{'init_temperature': 5.6712977317443196e-05, 'temp_change_factor': 0.27265629458011326, 'cost_threshold': 0.8360787635373778, 'range': 12.20131405875485, 'frountier_node_ratio': 0.47997717237505744, 'type': 'geometric::BiTRRT', 'frountier_threshold': 47766.51173213499}"
3,30.9235310555,1.2972619534,BiTRRTkConfigDefault,1,8.0154271126,1.2972619534,1.7029203841,8.0604953278,1,"{'init_temperature': 0.00033739616041726845, 'temp_change_factor': 0.6481718720511973, 'cost_threshold': 0.4736080452737106, 'range': 14.361611868400393, 'frountier_node_ratio': 0.14035078041264518, 'type': 'geometric::BiTRRT', 'frountier_threshold': 36824.1539840548}"
4,43.0515620708,3,BiTRRTkConfigDefault,1,0.0481011868,1.54576087,0,0,0,"{'init_temperature': 0.0008009107519796444, 'temp_change_factor': 0.5204774795512049, 'cost_threshold': 0.7586156243223574, 'range': 10.83742655541616, 'frountier_node_ratio': 0.5820197920751072, 'type': 'geometric::BiTRRT', 'frountier_threshold': 67887.95301189604}"
5,57.7272059917,0.6694378853,BiTRRTkConfigDefault,1,12.790375948,0.6694378853,1.7027793404,7.7145309044,1,"{'init_temperature': 0.00010590760718779215, 'temp_change_factor': 0.47360041934665753, 'cost_threshold': 0.32414100779321414, 'range': 11.080080839221477, 'frountier_node_ratio': 0.21655035442437193, 'type': 'geometric::BiTRRT', 'frountier_threshold': 18633.234332676}"
6,80.4387629032,2.8522229195,BiTRRTkConfigDefault,1,8.3537240028,2.8522229195,1.7029676801,7.2421490469,1,"{'init_temperature': 0.0001496748671836832, 'temp_change_factor': 0.2223213882515877, 'cost_threshold': 0.9023485831739845, 'range': 13.54871728538813, 'frountier_node_ratio': 0.4499499899112277, 'type': 'geometric::BiTRRT', 'frountier_threshold': 38648.8981125862}"
7,93.8179359436,0.8502709866,BiTRRTkConfigDefault,1,3.8683700562,0.8502709866,1.7026270939,6.7485763973,1,"{'init_temperature': 9.928035035897389e-05, 'temp_change_factor': 0.969809067746749, 'cost_threshold': 0.6078306687154679, 'range': 2.646552818527073, 'frountier_node_ratio': 0.35815216696952507, 'type': 'geometric::BiTRRT', 'frountier_threshold': 65314.003579793774}"
8,106.3274240494,0.9342110157,BiTRRTkConfigDefault,1,5.9550549984,0.9342110157,1.7025788046,7.6863484256,1,"{'init_temperature': 0.00032504722900835256, 'temp_change_factor': 0.03842542647273473, 'cost_threshold': 0.9952995676778879, 'range': 14.388344102505355, 'frountier_node_ratio': 0.652790317005491, 'type': 'geometric::BiTRRT', 'frountier_threshold': 63427.40579573352}"
9,123.4445281029,0.5500669479,BiTRRTkConfigDefault,1,7.2361450195,0.5500669479,1.7025449152,7.5787217609,1,"{'init_temperature': 0.0005818503294385345, 'temp_change_factor': 0.4143685882263689, 'cost_threshold': 0.31720174206929613, 'range': 9.390300506864838, 'frountier_node_ratio': 0.3380076148388918, 'type': 'geometric::BiTRRT', 'frountier_threshold': 47469.750228841294}"
10,127.7194550037,3,BiTRRTkConfigDefault,1,0.1697249413,0.093173027,0.0004350033,0.0004415453,0,"{'init_temperature': 0.0007783454820259093, 'temp_change_factor': 0.9495710534507423, 'cost_threshold': 0.971945002499666, 'range': 0.3022173706204365, 'frountier_node_ratio': 0.6228460955466696, 'type': 'geometric::BiTRRT', 'frountier_threshold': 66252.68669500444}"
11,145.8127250671,1.5965120792,BiTRRTkConfigDefault,1,4.1455309391,1.5965120792,1.7028899594,6.6020020022,1,"{'init_temperature': 0.0004895093288343595, 'temp_change_factor': 0.4212207122908944, 'cost_threshold': 0.5951937805091315, 'range': 6.704491669025009, 'frountier_node_ratio': 0.10000747544523361, 'type': 'geometric::BiTRRT', 'frountier_threshold': 33223.719492148855}"
12,154.6208159924,3,BiTRRTkConfigDefault,1,0.1715791225,0.2268910408,0.0003284768,0.0003344916,0,"{'init_temperature': 0.00010820390173923624, 'temp_change_factor': 0.18203561968151652, 'cost_threshold': 0.7716909586857267, 'range': 9.461645788948436, 'frountier_node_ratio': 0.2421301809561715, 'type': 'geometric::BiTRRT', 'frountier_threshold': 83638.34620733318}"
13,178.8145289421,1.7917640209,BiTRRTkConfigDefault,1,6.3952879906,1.7917640209,1.7029268853,6.8032421324,1,"{'init_temperature': 0.0006230677200413049, 'temp_change_factor': 0.3696907849279702, 'cost_threshold': 0.0884368489395937, 'range': 11.18451518234663, 'frountier_node_ratio': 0.1658489016319478, 'type': 'geometric::BiTRRT', 'frountier_threshold': 48268.076294661165}"
14,199.7990500927,1.2408790588,BiTRRTkConfigDefault,1,8.6004729271,1.2408790588,1.70299259,7.7927223161,1,"{'init_temperature': 7.866693965993711e-05, 'temp_change_factor': 0.5502457445914499, 'cost_threshold': 0.19650681773992534, 'range': 10.228699987589865, 'frountier_node_ratio': 0.7729974453025001, 'type': 'geometric::BiTRRT', 'frountier_threshold': 46982.27364378817}"
15,217.9565501213,1.0367789268,BiTRRTkConfigDefault,1,6.4133059978,1.0367789268,1.7027387121,7.7455421646,1,"{'init_temperature': 6.216638793154896e-05, 'temp_change_factor': 0.4140657156326112, 'cost_threshold': 0.03670432219797693, 'range': 4.918090422621816, 'frountier_node_ratio': 0.3470194074782658, 'type': 'geometric::BiTRRT', 'frountier_threshold': 60441.436379847146}"
16,237.069642067,0.6217670441,BiTRRTkConfigDefault,1,7.4037928581,0.6217670441,1.7028150047,8.7028972273,1,"{'init_temperature': 7.347531714999824e-05, 'temp_change_factor': 0.5960911181888029, 'cost_threshold': 0.8597023731427356, 'range': 10.940354672078735, 'frountier_node_ratio': 0.31560486245174585, 'type': 'geometric::BiTRRT', 'frountier_threshold': 63387.108437104456}"
