n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,17.375776,0.513942957,BiTRRTkConfigDefault,1,3.65109396,0.513942957,1.702706157,8.121433798,1,"{'init_temperature': '1e-06', 'temp_change_factor': '0.1', 'cost_threshold': '100000.0', 'range': '5.0', 'frountier_node_ratio': '0.1', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.4'}"
2,38.585802,0.373632908,BiTRRTkConfigDefault,1,3.657895088,0.373632908,1.703026644,8.510384741,1,"{'init_temperature': '1.6452587008378928e-05', 'temp_change_factor': '0.9433890618381666', 'cost_threshold': '81291.50485790054', 'range': '11.634765305936439', 'frountier_node_ratio': '0.6042110995178694', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.6568401860466199'}"
3,56.8040455,0.603778839,BiTRRTkConfigDefault,1,4.587404013,0.603778839,1.703006313,7.635112324,1,"{'init_temperature': '4.593681637391678e-05', 'temp_change_factor': '0.38300963008571765', 'cost_threshold': '95592.17700147729', 'range': '7.965555250264634', 'frountier_node_ratio': '0.05786450381278485', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.9495561925313989'}"
4,75.022289,0.650802135,BiTRRTkConfigDefault,1,2.441595078,0.650802135,1.702827908,6.749984261,1,"{'init_temperature': '0.00048177882138481485', 'temp_change_factor': '0.5325690108277104', 'cost_threshold': '68742.69963771936', 'range': '9.902131952252732', 'frountier_node_ratio': '0.2840280679179529', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.9880326948073805'}"
5,93.2405325,1.365370989,BiTRRTkConfigDefault,1,3.085371971,1.365370989,1.702947044,6.493518089,1,"{'init_temperature': '0.000711556783301482', 'temp_change_factor': '0.0421834026164738', 'cost_threshold': '65401.692802915015', 'range': '12.164624977086913', 'frountier_node_ratio': '0.3023281314131858', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.8282001703279739'}"
6,111.458776,0.262531996,BiTRRTkConfigDefault,1,3.27295208,0.262531996,1.703095848,7.641648919,1,"{'init_temperature': '0.0009264586892960417', 'temp_change_factor': '0.42404485298981975', 'cost_threshold': '90851.65264947417', 'range': '10.195663784046713', 'frountier_node_ratio': '0.3578125784755187', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.13871560467201005'}"
7,129.4366145,0.337070942,BiTRRTkConfigDefault,1,2.499266863,0.337070942,1.702897342,6.454634128,1,"{'init_temperature': '0.00025427831462185557', 'temp_change_factor': '0.05424421022560644', 'cost_threshold': '57323.874704873946', 'range': '4.439167805194242', 'frountier_node_ratio': '0.19557799197286374', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.445269245248584'}"
8,147.414453,0.762167931,BiTRRTkConfigDefault,1,3.955597878,0.762167931,1.702690616,7.95468888,1,"{'init_temperature': '0.0006928590244496692', 'temp_change_factor': '0.9568465558915744', 'cost_threshold': '38683.627908111', 'range': '4.195397190448644', 'frountier_node_ratio': '0.4575329949135254', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.6177174433687146'}"
9,165.3922915,3,BiTRRTkConfigDefault,1,0.101409912,0.05072999,0.00031523,0.000319894,0,"{'init_temperature': '0.0008523432682451377', 'temp_change_factor': '0.5264039322403571', 'cost_threshold': '8725.036251921392', 'range': '13.78618624718022', 'frountier_node_ratio': '0.7788641521335762', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.2555725278351173'}"
10,183.37013,0.20928812,BiTRRTkConfigDefault,1,2.635921001,0.20928812,1.702982918,6.717066015,1,"{'init_temperature': '8.055586988326091e-05', 'temp_change_factor': '0.9949403125432602', 'cost_threshold': '98568.92450075892', 'range': '5.982537716005691', 'frountier_node_ratio': '0.03494317755936205', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.6895377434069901'}"
11,203.2026799,0.29619503,BiTRRTkConfigDefault,1,2.27029705,0.29619503,1.703157673,6.983098082,1,"{'init_temperature': '0.0008681725431772891', 'temp_change_factor': '0.08763009310568903', 'cost_threshold': '59482.57450243', 'range': '7.410217175746543', 'frountier_node_ratio': '0.3339033146483045', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.8353270734625817'}"
12,223.0352297,3,BiTRRTkConfigDefault,1,0.054049015,0.070458889,0.000251781,0.000259836,0,"{'init_temperature': '0.00013217027153034089', 'temp_change_factor': '0.9058570786515268', 'cost_threshold': '82266.03502532201', 'range': '11.745939049947163', 'frountier_node_ratio': '0.03802527516791132', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.7219590134726102'}"
13,242.8677796,0.698993921,BiTRRTkConfigDefault,1,3.168720961,0.698993921,1.702805566,6.638334377,1,"{'init_temperature': '0.00014176559561916892', 'temp_change_factor': '0.12475099604480333', 'cost_threshold': '46920.5091844083', 'range': '12.34995112845591', 'frountier_node_ratio': '0.11468221402580125', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.6207848609791844'}"
