n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,3.5972771645,0.3302800655,BiTRRTkConfigDefault,1,2.3015110493,0.3302800655,1.7026671935,7.7533539671,1,"{'init_temperature': 0.0005038126910199413, 'range': 11.386747348464098, 'temp_change_factor': 0.6837702073584688, 'frountier_node_ratio': 0.9134186929124913, 'type': 'geometric::BiTRRT', 'cost_threshold': 79258.61219676945, 'frountier_threshold': 0.7567282389345957}"
2,12.9032721519,0.6485259533,BiTRRTkConfigDefault,1,3.9294779301,0.6485259533,1.7030655939,7.3057770809,1,"{'init_temperature': 0.0008902424826504308, 'range': 13.751322006513666, 'temp_change_factor': 0.45478587145572047, 'frountier_node_ratio': 0.07791077946179348, 'type': 'geometric::BiTRRT', 'cost_threshold': 21815.06152195024, 'frountier_threshold': 0.015080437505102684}"
3,23.8496539593,0.6815090179,BiTRRTkConfigDefault,1,4.0723769665,0.6815090179,1.7027822844,8.0816794325,1,"{'init_temperature': 0.0004170638480087431, 'range': 10.037844435996378, 'temp_change_factor': 0.31162336778952804, 'frountier_node_ratio': 0.32323600978664146, 'type': 'geometric::BiTRRT', 'cost_threshold': 21789.588902610023, 'frountier_threshold': 0.0066035295297175445}"
4,31.3678891659,0.3232269287,BiTRRTkConfigDefault,1,3.3131248951,0.3232269287,1.7028357241,7.0879325537,1,"{'init_temperature': 0.000181241771376901, 'range': 5.375826350259751, 'temp_change_factor': 0.973614622528941, 'frountier_node_ratio': 0.3565820334588954, 'type': 'geometric::BiTRRT', 'cost_threshold': 8370.511561716497, 'frountier_threshold': 0.9813418487172146}"
5,38.2133131027,0.2127201557,BiTRRTkConfigDefault,1,3.0566000938,0.2127201557,1.7027797211,9.7243651295,1,"{'init_temperature': 0.0004288957036608723, 'range': 8.147449605277416, 'temp_change_factor': 0.40139679387402105, 'frountier_node_ratio': 0.7449194312859849, 'type': 'geometric::BiTRRT', 'cost_threshold': 81205.96839278832, 'frountier_threshold': 0.31602863861037733}"
6,46.9399850369,0.5616970062,BiTRRTkConfigDefault,1,4.0609080791,0.5616970062,1.7029559858,8.5855468442,1,"{'init_temperature': 0.00039055041197110966, 'range': 8.223111439387614, 'temp_change_factor': 0.28366553190954347, 'frountier_node_ratio': 0.8139409201177203, 'type': 'geometric::BiTRRT', 'cost_threshold': 15657.083618162671, 'frountier_threshold': 0.77109275599532}"
7,52.7657091618,0.302115202,BiTRRTkConfigDefault,1,2.9530599117,0.302115202,1.7029691906,8.0837897544,1,"{'init_temperature': 8.963088838958422e-05, 'range': 12.938504341165647, 'temp_change_factor': 0.3767640928639975, 'frountier_node_ratio': 0.21656542303852433, 'type': 'geometric::BiTRRT', 'cost_threshold': 81802.44617365903, 'frountier_threshold': 0.24903433383706386}"
8,60.3873541355,0.1910037994,BiTRRTkConfigDefault,1,2.9222249985,0.1910037994,1.7026967286,7.689514906,1,"{'init_temperature': 0.00022030458657520458, 'range': 11.400356865730554, 'temp_change_factor': 0.919269558691915, 'frountier_node_ratio': 0.80720528920586, 'type': 'geometric::BiTRRT', 'cost_threshold': 74999.15575237197, 'frountier_threshold': 0.6213667435463065}"
9,68.2355940342,0.2734940052,BiTRRTkConfigDefault,1,3.0569088459,0.2734940052,1.7028359755,7.9803858087,1,"{'init_temperature': 0.00023765167287706225, 'range': 4.378253630363818, 'temp_change_factor': 0.02508546459291361, 'frountier_node_ratio': 0.2084564439857104, 'type': 'geometric::BiTRRT', 'cost_threshold': 94660.17407873657, 'frountier_threshold': 0.035267731301826255}"
10,75.9827561378,0.3811779022,BiTRRTkConfigDefault,1,3.7498950958,0.3811779022,1.7028597341,7.6042108963,1,"{'init_temperature': 0.00030496060115683634, 'range': 6.13596235406203, 'temp_change_factor': 0.47653479420448996, 'frountier_node_ratio': 0.15683440315684805, 'type': 'geometric::BiTRRT', 'cost_threshold': 26242.244113976532, 'frountier_threshold': 0.31524955629001716}"
