n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,7.3654460907,0.5181279182,RRTConnectkConfigDefault,1,2.9020688534,0.5181279182,1.7030594039,7.3516085525,1,"{'default': 1.226404774627535, 'type': 'geometric::RRTConnect'}"
2,14.8972101212,0.4349329472,RRTConnectkConfigDefault,1,3.3140358925,0.4349329472,1.7031229137,9.9843176114,1,"{'default': 1.7300966734832381, 'type': 'geometric::RRTConnect'}"
3,23.6257669926,0.6023650169,RRTConnectkConfigDefault,1,4.2851908207,0.6023650169,1.7029068476,8.3636559528,1,"{'default': 1.2847710238933476, 'type': 'geometric::RRTConnect'}"
4,33.1917490959,0.3475079536,RRTConnectkConfigDefault,1,3.8687279224,0.3475079536,1.7029571619,8.431492185,1,"{'default': 0.6653157524344974, 'type': 'geometric::RRTConnect'}"
5,40.8916699886,0.1607398987,RRTConnectkConfigDefault,1,3.327673912,0.1607398987,1.7029119647,7.7480953338,1,"{'default': 0.6180469597022151, 'type': 'geometric::RRTConnect'}"
6,48.1227371693,0.4240980148,RRTConnectkConfigDefault,1,2.8832018375,0.4240980148,1.7028799628,7.2609193381,1,"{'default': 1.6431205846734371, 'type': 'geometric::RRTConnect'}"
7,49.8912870884,3,RRTConnectkConfigDefault,1,0.0682990551,0.0578231812,0.0003080581,0.0003137507,0,"{'default': 0.8462911125915765, 'type': 'geometric::RRTConnect'}"
8,58.5044090748,0.8359560966,RRTConnectkConfigDefault,1,3.4915428162,0.8359560966,1.7028091477,9.903980375,1,"{'default': 0.7410527047928099, 'type': 'geometric::RRTConnect'}"
9,64.8756911755,0.2825801373,RRTConnectkConfigDefault,1,2.8219299316,0.2825801373,1.7029904026,7.2397334704,1,"{'default': 0.7996589256970412, 'type': 'geometric::RRTConnect'}"
10,73.1014130116,0.3341999054,RRTConnectkConfigDefault,1,3.3839969635,0.3341999054,1.7030268724,6.9850280306,1,"{'default': 0.3666664827840258, 'type': 'geometric::RRTConnect'}"
11,81.0551161766,0.2946538925,RRTConnectkConfigDefault,1,3.3299760818,0.2946538925,1.7029011417,6.7095832714,1,"{'default': 0.8343290641391378, 'type': 'geometric::RRTConnect'}"
