n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,7.4128911495,0.4611442089,BKPIECEkConfigDefault,1,2.188783884,0.4611442089,1.7030781436,6.9236559425,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.7294298980537985, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.1352780476941042, 'failed_expansion_score_factor': 0.4524720593719595, 'min_valid_path_fraction': 0.6635994074133234, 'type': 'geometric::BKPIECE'}"
2,14.841381073,1.158780098,BKPIECEkConfigDefault,1,2.9061989784,1.158780098,1.7029963404,8.254576418,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.965479622475978, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.6042775723570628, 'failed_expansion_score_factor': 0.5524501737652593, 'min_valid_path_fraction': 0.5896423330392357, 'type': 'geometric::BKPIECE'}"
3,22.7651259899,0.9480419159,BKPIECEkConfigDefault,1,2.4813938141,0.9480419159,1.7030977011,6.714866299,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.13277283471646367, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.6819777065410824, 'failed_expansion_score_factor': 0.789248913402358, 'min_valid_path_fraction': 0.8765115408344784, 'type': 'geometric::BKPIECE'}"
4,26.4283699989,3,BKPIECEkConfigDefault,1,0.0544650555,0.0545828342,0.0004695474,0.000583547,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.4884053941402853, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.32472140915097314, 'failed_expansion_score_factor': 0.6579249702611477, 'min_valid_path_fraction': 0.1861856230385941, 'type': 'geometric::BKPIECE'}"
5,35.6831841469,0.9578590393,BKPIECEkConfigDefault,1,2.5720090866,0.9578590393,1.7029132859,6.7150551527,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.44392884299099744, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.5710440099250118, 'failed_expansion_score_factor': 0.4833428156057211, 'min_valid_path_fraction': 0.5900122514252162, 'type': 'geometric::BKPIECE'}"
6,42.9340090752,1.1512470245,BKPIECEkConfigDefault,1,2.1145820618,1.1512470245,1.7028867771,6.7275613513,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6314909365863004, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.893121349177786, 'failed_expansion_score_factor': 0.6977292841483094, 'min_valid_path_fraction': 0.3915325055450967, 'type': 'geometric::BKPIECE'}"
7,48.8278009892,0.5371630192,BKPIECEkConfigDefault,1,2.0019819736,0.5371630192,1.7029157475,8.0279096117,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.10721419804780635, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.374211952274503, 'failed_expansion_score_factor': 0.24986343302014885, 'min_valid_path_fraction': 0.17247998277211066, 'type': 'geometric::BKPIECE'}"
8,57.7343461514,1.35958004,BKPIECEkConfigDefault,1,2.9616799355,1.35958004,1.7027697783,7.3711520354,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.5916869318969857, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.97791029231253, 'failed_expansion_score_factor': 0.14694257021062668, 'min_valid_path_fraction': 0.24843291829009295, 'type': 'geometric::BKPIECE'}"
9,67.6280519962,2.8600440025,BKPIECEkConfigDefault,1,1.9515810013,2.8600440025,1.7031016424,6.6401076011,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.29062702241279303, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.5644086248030452, 'failed_expansion_score_factor': 0.20102110446324373, 'min_valid_path_fraction': 0.15485638410608987, 'type': 'geometric::BKPIECE'}"
10,74.8956000805,0.8508238792,BKPIECEkConfigDefault,1,2.469244957,0.8508238792,1.7028197123,6.9684076668,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.23675324359605082, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.6598871367110768, 'failed_expansion_score_factor': 0.1422462120034082, 'min_valid_path_fraction': 0.8460476621238638, 'type': 'geometric::BKPIECE'}"
