n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,5.3207578659,3,BKPIECEkConfigDefault,1,0.1082789898,0.4994249344,0.0003406097,0.0003406097,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.2829252340636379, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 11.210541336454916, 'failed_expansion_score_factor': 0.5709440590278873, 'min_valid_path_fraction': 0.5190432322482433, 'type': 'geometric::BKPIECE'}"
2,10.0837700367,3,BKPIECEkConfigDefault,1,0.1528160572,0.5224690437,0.0001125631,0.0001125631,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.5586194442520914, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 11.178816757787082, 'failed_expansion_score_factor': 0.979942251784481, 'min_valid_path_fraction': 0.23621547084697325, 'type': 'geometric::BKPIECE'}"
3,21.2397420406,1.25958395,BKPIECEkConfigDefault,1,2.9147260189,1.25958395,1.7032674537,8.6827201243,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6632735735495199, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 3.2008659655356473, 'failed_expansion_score_factor': 0.1593459626865531, 'min_valid_path_fraction': 0.8117380752658047, 'type': 'geometric::BKPIECE'}"
4,25.4404299259,3,BKPIECEkConfigDefault,1,0.0980498791,0.391138792,0.000522887,0.000522887,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.22836813074018358, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 10.875219301447068, 'failed_expansion_score_factor': 0.5579137886492594, 'min_valid_path_fraction': 0.5163490616447133, 'type': 'geometric::BKPIECE'}"
5,29.586400032,3,BKPIECEkConfigDefault,1,0.1488308907,0.3304131031,0.0004366566,0.0004366566,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6632735735495199, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 3.2008659655356473, 'failed_expansion_score_factor': 0.15726454956221853, 'min_valid_path_fraction': 0.7756654921374798, 'type': 'geometric::BKPIECE'}"
6,41.1075689793,2.3787169456,BKPIECEkConfigDefault,1,4.408591032,2.3787169456,1.7028755425,7.449078892,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6955691778145291, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 2.07766057959675, 'failed_expansion_score_factor': 0.1593459626865531, 'min_valid_path_fraction': 0.8117380752658047, 'type': 'geometric::BKPIECE'}"
7,48.9765930176,3,BKPIECEkConfigDefault,1,0.5795109272,1.2992892265,0.0003194505,0.0004177666,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.4284905569228291, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 4.589887946494019, 'failed_expansion_score_factor': 0.7345541903553777, 'min_valid_path_fraction': 0.3022000263062764, 'type': 'geometric::BKPIECE'}"
8,58.058011055,3,BKPIECEkConfigDefault,1,0.4741241932,1.4518761635,0.0003763984,0.0004411581,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6281263823950677, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 4.264121211090834, 'failed_expansion_score_factor': 0.06568594436526658, 'min_valid_path_fraction': 0.8117380752658047, 'type': 'geometric::BKPIECE'}"
9,64.4293859005,3,BKPIECEkConfigDefault,1,0.246243,0.8829088211,0.0002935861,0.0003583757,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6632735735495199, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 3.2008659655356473, 'failed_expansion_score_factor': 0.1593459626865531, 'min_valid_path_fraction': 0.12135098399328603, 'type': 'geometric::BKPIECE'}"
10,71.921943903,3,BKPIECEkConfigDefault,1,0.26623106,2.816726923,0.000431292,0.0005126179,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.5288114615844779, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 3.2008659655356473, 'failed_expansion_score_factor': 0.1593459626865531, 'min_valid_path_fraction': 0.8117380752658047, 'type': 'geometric::BKPIECE'}"
