n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,15.790102005,1.2701921463,BiTRRTkConfigDefault,1,8.5369510651,1.2701921463,1.7031023786,9.1209577049,1,"{'init_temperature': 0.00038057880018406334, 'temp_change_factor': 0.41427791318747476, 'frountier_threshold': 0.41408439430869626, 'range': 2.707745802165228, 'frountier_node_ratio': 0.6476721974430483, 'type': 'geometric::BiTRRT', 'cost_threshold': 33345.69716620718}"
2,28.6499409676,0.867552042,BiTRRTkConfigDefault,1,4.1743388176,0.867552042,1.7029089975,6.8536157057,1,"{'init_temperature': 0.00028596445867189104, 'temp_change_factor': 0.9425112108462537, 'frountier_threshold': 0.7880519988610155, 'range': 4.995727762329245, 'frountier_node_ratio': 0.30039269466281604, 'type': 'geometric::BiTRRT', 'cost_threshold': 18090.893996164858}"
3,40.7625319958,1.0564100742,BiTRRTkConfigDefault,1,4.1868901253,1.0564100742,1.7031187819,6.8811823811,1,"{'init_temperature': 0.0005124402408606553, 'temp_change_factor': 0.8342039359498044, 'frountier_threshold': 0.0978672145201125, 'range': 8.016718290469065, 'frountier_node_ratio': 0.9816110566505543, 'type': 'geometric::BiTRRT', 'cost_threshold': 61140.153180661815}"
4,54.7191469669,1.3594698906,BiTRRTkConfigDefault,1,5.5266640186,1.3594698906,1.7031669961,7.8511699827,1,"{'init_temperature': 0.0009145146084715738, 'temp_change_factor': 0.26944163202900573, 'frountier_threshold': 0.6514027318298952, 'range': 9.436900057189149, 'frountier_node_ratio': 0.54385685704203, 'type': 'geometric::BiTRRT', 'cost_threshold': 43491.5076770822}"
5,70.7418189049,1.4763498306,BiTRRTkConfigDefault,1,5.9708697796,1.4763498306,1.7029561883,7.7788804959,1,"{'init_temperature': 0.0005700178920779814, 'temp_change_factor': 0.05272709756094529, 'frountier_threshold': 0.7203726265386396, 'range': 7.570579876324482, 'frountier_node_ratio': 0.07246462879167603, 'type': 'geometric::BiTRRT', 'cost_threshold': 33049.38819482398}"
6,83.5837190151,1.1749670506,BiTRRTkConfigDefault,1,5.244166851,1.1749670506,1.7027182303,8.3490744905,1,"{'init_temperature': 0.0005027338788709403, 'temp_change_factor': 0.3812205410083419, 'frountier_threshold': 0.8469775374332006, 'range': 12.701908594656913, 'frountier_node_ratio': 0.26235138909189226, 'type': 'geometric::BiTRRT', 'cost_threshold': 24071.24568338005}"
7,97.4413149357,0.456717968,BiTRRTkConfigDefault,1,3.9955229759,0.456717968,1.7029691743,7.196325499,1,"{'init_temperature': 0.0003821670420885067, 'temp_change_factor': 0.9198167179132603, 'frountier_threshold': 0.13083195315071938, 'range': 7.530633092877885, 'frountier_node_ratio': 0.24203279638613762, 'type': 'geometric::BiTRRT', 'cost_threshold': 83977.05641961488}"
8,108.0200600624,1.1790239811,BiTRRTkConfigDefault,1,3.6383581161,1.1790239811,1.7030384611,8.1248130463,1,"{'init_temperature': 0.000715089660867643, 'temp_change_factor': 0.6884333479546124, 'frountier_threshold': 0.099311984384017, 'range': 9.784139387685622, 'frountier_node_ratio': 0.2137027518883886, 'type': 'geometric::BiTRRT', 'cost_threshold': 58389.589638492645}"
9,114.2419519424,0.3025569916,BiTRRTkConfigDefault,1,2.0374588966,0.3025569916,1.7028238025,6.527530117,1,"{'init_temperature': 0.0003060368367096962, 'temp_change_factor': 0.9198167179132603, 'frountier_threshold': 0.13083195315071938, 'range': 7.530633092877885, 'frountier_node_ratio': 0.24203279638613762, 'type': 'geometric::BiTRRT', 'cost_threshold': 83977.05641961488}"
10,121.0104219913,0.7242250443,BiTRRTkConfigDefault,1,2.8304259777,0.7242250443,1.7027042993,8.7787126823,1,"{'init_temperature': 0.0006495607206868049, 'temp_change_factor': 0.2983781815024058, 'frountier_threshold': 0.7993010055880101, 'range': 5.778681960314665, 'frountier_node_ratio': 0.2729451496684534, 'type': 'geometric::BiTRRT', 'cost_threshold': 67672.33762352633}"
11,124.8956589699,3,BiTRRTkConfigDefault,1,0.112541914,0.0578730106,0.0003384749,0.0003431375,0,"{'init_temperature': 0.0003821670420885067, 'temp_change_factor': 0.9198167179132603, 'frountier_threshold': 0.13083195315071938, 'range': 0.2764058196414563, 'frountier_node_ratio': 0.24203279638613762, 'type': 'geometric::BiTRRT', 'cost_threshold': 83977.05641961488}"
12,135.5622580051,1.1303901672,BiTRRTkConfigDefault,1,5.1092739105,1.1303901672,1.7030398022,8.028615971,1,"{'init_temperature': 0.0001594266672637693, 'temp_change_factor': 0.9198167179132603, 'frountier_threshold': 0.5184504111660546, 'range': 7.530633092877885, 'frountier_node_ratio': 0.24203279638613762, 'type': 'geometric::BiTRRT', 'cost_threshold': 83977.05641961488}"
13,154.9498651028,1.9180760384,BiTRRTkConfigDefault,1,8.7030060291,1.9180760384,1.7026392574,10.4673383827,1,"{'init_temperature': 0.0003060368367096962, 'temp_change_factor': 0.9198167179132603, 'frountier_threshold': 0.13083195315071938, 'range': 7.530633092877885, 'frountier_node_ratio': 0.24203279638613762, 'type': 'geometric::BiTRRT', 'cost_threshold': 47815.19988128109}"
14,165.3204159737,0.5124671459,BiTRRTkConfigDefault,1,2.4706690311,0.5124671459,1.7029656908,7.9017375591,1,"{'init_temperature': 0.0003060368367096962, 'temp_change_factor': 0.9198167179132603, 'frountier_threshold': 0.13083195315071938, 'range': 7.530633092877885, 'frountier_node_ratio': 0.24203279638613762, 'type': 'geometric::BiTRRT', 'cost_threshold': 39979.407524560906}"
15,173.4397139549,0.7598910332,BiTRRTkConfigDefault,1,2.608011961,0.7598910332,1.703080723,6.9672165743,1,"{'init_temperature': 0.0003060368367096962, 'temp_change_factor': 0.40145905158293427, 'frountier_threshold': 0.6796442903953017, 'range': 10.60718319841881, 'frountier_node_ratio': 0.24203279638613762, 'type': 'geometric::BiTRRT', 'cost_threshold': 23940.78690777084}"
16,184.5831389427,0.5042660236,BiTRRTkConfigDefault,1,5.2424709797,0.5042660236,1.702914221,7.1430834383,1,"{'init_temperature': 0.0003060368367096962, 'temp_change_factor': 0.9198167179132603, 'frountier_threshold': 0.13083195315071938, 'range': 11.291290357360863, 'frountier_node_ratio': 0.24203279638613762, 'type': 'geometric::BiTRRT', 'cost_threshold': 83977.05641961488}"
17,197.4722709656,0.9115929604,BiTRRTkConfigDefault,1,3.7728919983,0.9115929604,1.7026899332,7.801890594,1,"{'init_temperature': 0.00019040231408008168, 'temp_change_factor': 0.9830761156647686, 'frountier_threshold': 0.7260693367476319, 'range': 1.8781164718846468, 'frountier_node_ratio': 0.051358362980625794, 'type': 'geometric::BiTRRT', 'cost_threshold': 12307.836149942097}"
18,206.3151900768,0.7645018101,BiTRRTkConfigDefault,1,2.1872339249,0.7645018101,1.7030142951,7.020582697,1,"{'init_temperature': 0.0001811388454224834, 'temp_change_factor': 0.5700249219882182, 'frountier_threshold': 0.9422928609199015, 'range': 1.3750071861856477, 'frountier_node_ratio': 0.3284728430527244, 'type': 'geometric::BiTRRT', 'cost_threshold': 87942.43713556645}"
19,212.0107901096,3,BiTRRTkConfigDefault,1,0.1038799286,1.1388411522,0,0,0,"{'init_temperature': 4.75928195319808e-06, 'temp_change_factor': 0.29095312544336116, 'frountier_threshold': 0.9599312209200824, 'range': 9.19687860496982, 'frountier_node_ratio': 0.5761243821655821, 'type': 'geometric::BiTRRT', 'cost_threshold': 28098.96442769485}"
20,218.1407289505,0.8596498966,BiTRRTkConfigDefault,1,4.4288678169,0.8596498966,1.7028410684,7.0970552565,1,"{'init_temperature': 0.0003060368367096962, 'temp_change_factor': 0.9198167179132603, 'frountier_threshold': 0.13083195315071938, 'range': 2.4447489373626827, 'frountier_node_ratio': 0.007538997090468458, 'type': 'geometric::BiTRRT', 'cost_threshold': 83977.05641961488}"
