n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,7.657638073,0.9412128925,RRTConnectkConfigDefault,1,2.7393538952,0.9412128925,1.703164527,7.4473682843,1,"{'range': 8.933384811552774, 'type': 'geometric::RRTConnect'}"
2,13.8762769699,0.2997870445,RRTConnectkConfigDefault,1,2.2340130806,0.2997870445,1.7033034911,7.2792992764,1,"{'range': 12.883389702579077, 'type': 'geometric::RRTConnect'}"
3,20.8659040928,0.8090929985,RRTConnectkConfigDefault,1,2.0599658489,0.8090929985,1.7030279351,6.7760758341,1,"{'range': 9.391099082110989, 'type': 'geometric::RRTConnect'}"
4,26.8256559372,0.8135070801,RRTConnectkConfigDefault,1,2.207075119,0.8135070801,1.7029655682,7.3437957375,1,"{'range': 4.5332656375126374, 'type': 'geometric::RRTConnect'}"
5,33.965569973,0.4541261196,RRTConnectkConfigDefault,1,2.9765930176,0.4541261196,1.7030664478,7.6566396687,1,"{'range': 4.162578789243687, 'type': 'geometric::RRTConnect'}"
6,40.8373839855,0.5205469131,RRTConnectkConfigDefault,1,2.2325379848,0.5205469131,1.7028944698,8.3802256545,1,"{'range': 12.20131405875485, 'type': 'geometric::RRTConnect'}"
7,46.998032093,0.2006521225,RRTConnectkConfigDefault,1,2.7354130745,0.2006521225,1.7027680369,8.3701240361,1,"{'range': 5.952493461902363, 'type': 'geometric::RRTConnect'}"
8,55.5986459255,1.0161371231,RRTConnectkConfigDefault,1,2.4898340702,1.0161371231,1.7027907419,7.372448564,1,"{'range': 5.127202790217299, 'type': 'geometric::RRTConnect'}"
9,61.3803470135,0.4580771923,RRTConnectkConfigDefault,1,2.265075922,0.4580771923,1.7029330436,8.3305118724,1,"{'range': 5.586798943624165, 'type': 'geometric::RRTConnect'}"
10,69.5941081047,0.8111960888,RRTConnectkConfigDefault,1,3.1406910419,0.8111960888,1.7030376611,7.6766906684,1,"{'range': 2.191226628148413, 'type': 'geometric::RRTConnect'}"
11,77.9860959053,0.32071805,RRTConnectkConfigDefault,1,2.819423914,0.32071805,1.7028366097,7.5320769957,1,"{'range': 7.265313609458826, 'type': 'geometric::RRTConnect'}"
12,87.0718669891,0.5963120461,RRTConnectkConfigDefault,1,2.7484099865,0.5963120461,1.7030549737,7.3570819686,1,"{'range': 7.422010385167787, 'type': 'geometric::RRTConnect'}"
13,93.9454140663,0.1726570129,RRTConnectkConfigDefault,1,2.2414300442,0.1726570129,1.7028896579,8.1378074617,1,"{'range': 6.618336817177928, 'type': 'geometric::RRTConnect'}"
14,102.044588089,0.4655268192,RRTConnectkConfigDefault,1,2.2806539536,0.4655268192,1.702905799,7.3081569122,1,"{'range': 6.131087761290137, 'type': 'geometric::RRTConnect'}"
15,110.8916149139,0.5767600536,RRTConnectkConfigDefault,1,4.5699100494,0.5767600536,1.7028793864,8.551867141,1,"{'range': 5.800608184016468, 'type': 'geometric::RRTConnect'}"
16,141.8122239113,1.1343460083,RRTConnectkConfigDefault,1,9.7605550289,1.1343460083,1.7028449143,7.0030445446,1,"{'range': 6.974978365182505, 'type': 'geometric::RRTConnect'}"
17,173.5025889874,2.2418849468,RRTConnectkConfigDefault,1,11.7491998672,2.2418849468,1.7027588429,8.9875565419,1,"{'range': 6.777266151178123, 'type': 'geometric::RRTConnect'}"
18,193.1662490368,0.4926321507,RRTConnectkConfigDefault,1,6.3682360649,0.4926321507,1.7031095445,7.6438469266,1,"{'range': 6.489108509117279, 'type': 'geometric::RRTConnect'}"
19,219.1347999573,2.5370621681,RRTConnectkConfigDefault,1,6.554858923,2.5370621681,1.7026435007,7.9665016832,1,"{'range': 6.646934479558966, 'type': 'geometric::RRTConnect'}"
20,243.1132209301,1.0146849155,RRTConnectkConfigDefault,1,7.2642228603,1.0146849155,1.7028195115,6.812219654,1,"{'range': 6.631095064298212, 'type': 'geometric::RRTConnect'}"
21,275.6250789166,1.5675640106,RRTConnectkConfigDefault,1,10.386742115,1.5675640106,1.7027043437,7.874174195,1,"{'range': 6.572372969466813, 'type': 'geometric::RRTConnect'}"
22,300.7179179192,1.7638778687,RRTConnectkConfigDefault,1,7.407968998,1.7638778687,1.7027716309,7.825734148,1,"{'range': 6.3973793399229235, 'type': 'geometric::RRTConnect'}"
23,322.5216588974,1.1080448627,RRTConnectkConfigDefault,1,7.7969241142,1.1080448627,1.7026791128,8.5646353605,1,"{'range': 6.262646844761393, 'type': 'geometric::RRTConnect'}"
24,346.3584620953,1.3045988083,RRTConnectkConfigDefault,1,8.0859408379,1.3045988083,1.7027893516,8.1998922598,1,"{'range': 7.139406720449428, 'type': 'geometric::RRTConnect'}"
25,373.9911351204,2.7119479179,RRTConnectkConfigDefault,1,8.3030879498,2.7119479179,1.7026851753,6.9653546889,1,"{'range': 7.269752262016997, 'type': 'geometric::RRTConnect'}"
26,406.9177269936,2.298817873,RRTConnectkConfigDefault,1,11.3345429897,2.298817873,1.7029005958,8.8414813093,1,"{'range': 7.671504967715736, 'type': 'geometric::RRTConnect'}"
27,426.5715010166,3,RRTConnectkConfigDefault,1,0.1074199677,2.33735919,0,0,0,"{'range': 8.308895151351262, 'type': 'geometric::RRTConnect'}"
28,441.771091938,1.2892639637,RRTConnectkConfigDefault,1,6.8677988052,1.2892639637,1.7027896123,8.8468824698,1,"{'range': 11.972138862126732, 'type': 'geometric::RRTConnect'}"
29,470.1040570736,1.3984270096,RRTConnectkConfigDefault,1,10.2396161556,1.3984270096,1.7029245566,9.1480499565,1,"{'range': 8.630904222691159, 'type': 'geometric::RRTConnect'}"
30,493.0024759769,1.8834459782,RRTConnectkConfigDefault,1,7.2671160698,1.8834459782,1.7027367753,7.1384777957,1,"{'range': 8.813614383563902, 'type': 'geometric::RRTConnect'}"
31,521.9792439938,0.8490869999,RRTConnectkConfigDefault,1,11.05220294,0.8490869999,1.7027678891,7.9459726033,1,"{'range': 6.186940463993053, 'type': 'geometric::RRTConnect'}"
32,543.6891469955,0.482378006,RRTConnectkConfigDefault,1,4.7642059326,0.482378006,1.7028508861,6.8639735567,1,"{'range': 6.615097127705328, 'type': 'geometric::RRTConnect'}"
33,566.9746301174,1.5377390385,RRTConnectkConfigDefault,1,5.8227241039,1.5377390385,1.7029579673,7.6477557177,1,"{'range': 6.624461626414548, 'type': 'geometric::RRTConnect'}"
34,586.8862440586,1.0178279877,RRTConnectkConfigDefault,1,7.1160531044,1.0178279877,1.7025158548,8.5367400589,1,"{'range': 6.620939444823064, 'type': 'geometric::RRTConnect'}"
35,609.7661709785,1.9714179039,RRTConnectkConfigDefault,1,6.8396568298,1.9714179039,1.702827099,8.8186257001,1,"{'range': 7.255129710566772, 'type': 'geometric::RRTConnect'}"
36,633.751265049,1.6328339577,RRTConnectkConfigDefault,1,6.8039009571,1.6328339577,1.7027135496,7.3834269816,1,"{'range': 8.922857958110841, 'type': 'geometric::RRTConnect'}"
37,653.9928328991,0.5370380878,RRTConnectkConfigDefault,1,6.286427021,0.5370380878,1.7027784123,7.2276792127,1,"{'range': 6.59569910127973, 'type': 'geometric::RRTConnect'}"
38,680.1485819817,1.4528801441,RRTConnectkConfigDefault,1,6.7754220963,1.4528801441,1.7028527058,6.7178709073,1,"{'range': 7.265665231979469, 'type': 'geometric::RRTConnect'}"
39,706.7741060257,3.3177418709,RRTConnectkConfigDefault,1,8.8099579811,3.3177418709,1.7027684384,7.8052358361,1,"{'range': 6.618705863965172, 'type': 'geometric::RRTConnect'}"
40,731.5240299702,0.9176981449,RRTConnectkConfigDefault,1,11.1480498314,0.9176981449,1.7028339135,9.3596342563,1,"{'range': 6.6107837070811595, 'type': 'geometric::RRTConnect'}"
41,754.9537189007,0.7922618389,RRTConnectkConfigDefault,1,7.6802778244,0.7922618389,1.7029534065,7.8688360064,1,"{'range': 6.618117335973372, 'type': 'geometric::RRTConnect'}"
42,783.0175580978,3.3265419006,RRTConnectkConfigDefault,1,8.3405270576,3.3265419006,1.7028145158,9.6461947651,1,"{'range': 6.617895424633979, 'type': 'geometric::RRTConnect'}"
43,804.4809389114,1.695207119,RRTConnectkConfigDefault,1,6.4145419598,1.695207119,1.7029130106,7.2820765413,1,"{'range': 6.616362726425854, 'type': 'geometric::RRTConnect'}"
44,814.0327250957,3,RRTConnectkConfigDefault,1,0.1999070644,0.1742091179,0.0002896492,0.0002940384,0,"{'range': 6.617921189156296, 'type': 'geometric::RRTConnect'}"
45,836.143543005,1.0287659168,RRTConnectkConfigDefault,1,4.7209179401,1.0287659168,1.7027872316,7.0911185703,1,"{'range': 6.615035489842418, 'type': 'geometric::RRTConnect'}"
46,863.3295168877,0.8737158775,RRTConnectkConfigDefault,1,10.2411420345,0.8737158775,1.7028699366,8.0575488798,1,"{'range': 6.614588682653957, 'type': 'geometric::RRTConnect'}"
47,889.4211080074,0.4148700237,RRTConnectkConfigDefault,1,8.8115978241,0.4148700237,1.7031161456,8.6775628249,1,"{'range': 6.61611611196809, 'type': 'geometric::RRTConnect'}"
48,914.4527170658,1.8420841694,RRTConnectkConfigDefault,1,7.7577719688,1.8420841694,1.7027583848,7.9730267325,1,"{'range': 6.61754325854987, 'type': 'geometric::RRTConnect'}"
49,934.3347868919,0.5491359234,RRTConnectkConfigDefault,1,6.1727800369,0.5491359234,1.7029314371,7.1709780937,1,"{'range': 6.615882426934787, 'type': 'geometric::RRTConnect'}"
50,958.0628640652,1.4742000103,RRTConnectkConfigDefault,1,8.1185510159,1.4742000103,1.7027311329,8.5820741846,1,"{'range': 6.619411561970225, 'type': 'geometric::RRTConnect'}"
51,985.8600800037,1.6777729988,RRTConnectkConfigDefault,1,7.6546428204,1.6777729988,1.7030507414,7.6209068362,1,"{'range': 6.6167907161687625, 'type': 'geometric::RRTConnect'}"
52,1010.9658780098,1.1038720608,RRTConnectkConfigDefault,1,7.7113509178,1.1038720608,1.7029789796,7.1499484048,1,"{'range': 7.355084801618917, 'type': 'geometric::RRTConnect'}"
53,1036.3842039108,0.9133310318,RRTConnectkConfigDefault,1,7.0982711315,0.9133310318,1.7028857426,7.1124358083,1,"{'range': 6.618972874071549, 'type': 'geometric::RRTConnect'}"
54,1057.6182761192,0.7767591476,RRTConnectkConfigDefault,1,7.4061830044,0.7767591476,1.7030582968,8.5376594029,1,"{'range': 6.618780740533682, 'type': 'geometric::RRTConnect'}"
55,1082.5654950142,1.3851101398,RRTConnectkConfigDefault,1,8.5226950645,1.3851101398,1.7030723185,7.9797884711,1,"{'range': 7.391750436756231, 'type': 'geometric::RRTConnect'}"
56,1111.2861189842,0.7998399734,RRTConnectkConfigDefault,1,7.694849968,0.7998399734,1.7028060272,6.9795817658,1,"{'range': 6.618104721071598, 'type': 'geometric::RRTConnect'}"
57,1137.6009509564,1.5150289536,RRTConnectkConfigDefault,1,8.9377579689,1.5150289536,1.7028522479,6.5474736597,1,"{'range': 6.615733256748062, 'type': 'geometric::RRTConnect'}"
58,1166.0904099941,1.4430639744,RRTConnectkConfigDefault,1,8.9979989529,1.4430639744,1.7029073508,8.1325348601,1,"{'range': 9.119728690533947, 'type': 'geometric::RRTConnect'}"
59,1196.6708679199,1.6865270138,RRTConnectkConfigDefault,1,8.9619479179,1.6865270138,1.7027439358,7.4348050191,1,"{'range': 6.130473254684899, 'type': 'geometric::RRTConnect'}"
60,1219.7593460083,0.5824539661,RRTConnectkConfigDefault,1,5.8312110901,0.5824539661,1.7027336078,6.8481322966,1,"{'range': 5.977768413538991, 'type': 'geometric::RRTConnect'}"
61,1239.1932330132,3,RRTConnectkConfigDefault,1,0.0349321365,1.6641860008,0,0,0,"{'range': 6.04693337302484, 'type': 'geometric::RRTConnect'}"
62,1257.2131650448,0.656113863,RRTConnectkConfigDefault,1,10.5535671711,0.656113863,1.7030058277,7.2090755861,1,"{'range': 6.010094269896181, 'type': 'geometric::RRTConnect'}"
63,1285.5417010784,2.2091801167,RRTConnectkConfigDefault,1,10.1335790157,2.2091801167,1.7027960356,8.5739814319,1,"{'range': 6.61838293480486, 'type': 'geometric::RRTConnect'}"
64,1314.8843739033,2.0768289566,RRTConnectkConfigDefault,1,9.5623219013,2.0768289566,1.7029381342,7.2339454863,1,"{'range': 6.025664118126609, 'type': 'geometric::RRTConnect'}"
65,1335.2192430496,1.7073760033,RRTConnectkConfigDefault,1,4.8372938633,1.7073760033,1.7030425246,7.6979765363,1,"{'range': 6.014307498970692, 'type': 'geometric::RRTConnect'}"
66,1358.1500759125,1.5365519524,RRTConnectkConfigDefault,1,7.060544014,1.5365519524,1.7028431509,7.9684232412,1,"{'range': 6.010037024833923, 'type': 'geometric::RRTConnect'}"
67,1367.8391270638,3,RRTConnectkConfigDefault,1,0.1634221077,0.5157978535,0.000223109,0.0002294461,0,"{'range': 5.98760649580271, 'type': 'geometric::RRTConnect'}"
68,1391.8311359882,1.4824478626,RRTConnectkConfigDefault,1,8.9135811329,1.4824478626,1.7030322562,8.9409567294,1,"{'range': 5.977549107470113, 'type': 'geometric::RRTConnect'}"
69,1415.3148889542,1.1132500172,RRTConnectkConfigDefault,1,7.8685688972,1.1132500172,1.7028555944,7.0356939005,1,"{'range': 5.91158068655615, 'type': 'geometric::RRTConnect'}"
70,1442.3442881107,1.9191658497,RRTConnectkConfigDefault,1,6.543587923,1.9191658497,1.7026943158,7.8766845401,1,"{'range': 5.947621386962442, 'type': 'geometric::RRTConnect'}"
71,1469.8318309784,1.2681980133,RRTConnectkConfigDefault,1,9.2029309273,1.2681980133,1.7029652637,9.260336627,1,"{'range': 5.950604163463335, 'type': 'geometric::RRTConnect'}"
72,1499.5806879997,1.6177198887,RRTConnectkConfigDefault,1,9.3927309513,1.6177198887,1.7028381783,7.5657349171,1,"{'range': 6.618527095358685, 'type': 'geometric::RRTConnect'}"
