n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,19.217368,0.443092823,RRTConnectkConfigDefault,1,2.959494114,0.443092823,1.703212264,7.596543847,1,"{'range': '5.0', 'type': 'geometric::RRTConnect'}"
2,38.394756,0.197468042,RRTConnectkConfigDefault,1,2.532655954,0.197468042,1.702924997,7.255019491,1,"{'range': '12.212434223827179', 'type': 'geometric::RRTConnect'}"
3,53.270039,0.382281065,RRTConnectkConfigDefault,1,2.693987131,0.382281065,1.703428259,7.366436911,1,"{'range': '10.6595086046838', 'type': 'geometric::RRTConnect'}"
4,68.145322,0.263689041,RRTConnectkConfigDefault,1,2.653100014,0.263689041,1.703086529,7.139460444,1,"{'range': '12.291900826741603', 'type': 'geometric::RRTConnect'}"
5,83.020605,0.202592134,RRTConnectkConfigDefault,1,2.78661108,0.202592134,1.703008918,7.058694792,1,"{'range': '5.919970301124567', 'type': 'geometric::RRTConnect'}"
6,97.895888,0.385998964,RRTConnectkConfigDefault,1,3.426789999,0.385998964,1.703008373,9.592434109,1,"{'range': '9.661442626202922', 'type': 'geometric::RRTConnect'}"
7,112.771171,0.387904882,RRTConnectkConfigDefault,1,2.811960936,0.387904882,1.703115117,8.696776397,1,"{'range': '11.193710884769931', 'type': 'geometric::RRTConnect'}"
8,127.646454,3,RRTConnectkConfigDefault,1,0.111773968,0.05973506,0.00040049,0.00040049,0,"{'range': '14.402908667603013', 'type': 'geometric::RRTConnect'}"
9,142.521737,0.298456907,RRTConnectkConfigDefault,1,1.994077921,0.298456907,1.703118202,7.874561887,1,"{'range': '11.184998681476573', 'type': 'geometric::RRTConnect'}"
10,157.39702,0.548671961,RRTConnectkConfigDefault,1,3.208794832,0.548671961,1.703073358,6.926667209,1,"{'range': '8.244348082838888', 'type': 'geometric::RRTConnect'}"
11,172.272303,0.872844934,RRTConnectkConfigDefault,1,3.303505898,0.872844934,1.703044023,7.256729732,1,"{'range': '5.8286544079176', 'type': 'geometric::RRTConnect'}"
12,187.147586,0.784873962,RRTConnectkConfigDefault,1,4.878749847,0.784873962,1.703102864,11.5516,1,"{'range': '11.18993669746804', 'type': 'geometric::RRTConnect'}"
13,202.022869,1.112763166,RRTConnectkConfigDefault,1,2.987081051,1.112763166,1.703068633,7.740333094,1,"{'range': '2.6431573562361317', 'type': 'geometric::RRTConnect'}"
14,216.898152,0.30212903,RRTConnectkConfigDefault,1,3.389936924,0.30212903,1.703121316,8.465260546,1,"{'range': '5.1236704556704264', 'type': 'geometric::RRTConnect'}"
15,231.773435,0.456106901,RRTConnectkConfigDefault,1,2.818953991,0.456106901,1.703184627,7.529799197,1,"{'range': '10.499342379134415', 'type': 'geometric::RRTConnect'}"
16,246.648718,3,RRTConnectkConfigDefault,1,0.006222963,1.056127071,0,0,0,"{'range': '10.735435707473888', 'type': 'geometric::RRTConnect'}"
17,261.524001,0.219703913,RRTConnectkConfigDefault,1,3.589972973,0.219703913,1.702887134,6.654478987,1,"{'range': '13.869209973061018', 'type': 'geometric::RRTConnect'}"
