n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,9.3985188007,1.2469410896,BKPIECEkConfigDefault,1,2.2836308479,1.2469410896,1.7030673217,7.3860003378,1,"{'border_fraction': 0.45055201667707834, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 9.346907017031059, 'failed_expansion_score_factor': 0.6102516918423682, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.09485320362726446, 'type': 'geometric::BKPIECE'}"
2,14.1118748188,0.986825943,BKPIECEkConfigDefault,1,0.7530250549,0.986825943,1.7030531192,1.7030531192,1,"{'border_fraction': 0.8801015476897445, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 9.689531196062635, 'failed_expansion_score_factor': 0.39431485053336146, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.10815654630953131, 'type': 'geometric::BKPIECE'}"
3,21.3541948795,3,BKPIECEkConfigDefault,1,0.0012040138,3.0288841724,0,0,0,"{'border_fraction': 0.7716323573096577, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 3.8310708488767657, 'failed_expansion_score_factor': 0.290503246807579, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.2944040188185417, 'type': 'geometric::BKPIECE'}"
4,26.0193479061,3,BKPIECEkConfigDefault,1,0.0122151375,3.5429830551,0,0,0,"{'border_fraction': 0.6692726562580632, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 4.543381620604665, 'failed_expansion_score_factor': 0.29770326635580624, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.48862086057654996, 'type': 'geometric::BKPIECE'}"
5,30.5820379257,0.8618090153,BKPIECEkConfigDefault,1,2.719381094,0.8618090153,1.7030154246,8.2053708238,1,"{'border_fraction': 0.4420635552635801, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.2371546257322166, 'failed_expansion_score_factor': 0.8605711782997072, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.9259749383768362, 'type': 'geometric::BKPIECE'}"
6,35.4475967884,3,BKPIECEkConfigDefault,1,0.0843379498,0.8954470158,0.0004228182,0.0005181589,0,"{'border_fraction': 0.9855030791981174, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 7.563786484752832, 'failed_expansion_score_factor': 0.6330619783081016, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.34231795375797813, 'type': 'geometric::BKPIECE'}"
7,44.9952127934,1.1273519993,BKPIECEkConfigDefault,1,2.8190820217,1.1273519993,1.7030859393,8.0061975041,1,"{'border_fraction': 0.17247320702744873, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 11.632498087864995, 'failed_expansion_score_factor': 0.1726244034870691, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.573867390096383, 'type': 'geometric::BKPIECE'}"
8,49.9240279198,3,BKPIECEkConfigDefault,1,0.0776348114,0.7421109676,0.0002992789,0.0002992789,0,"{'border_fraction': 0.6807281273757493, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 4.546021900625203, 'failed_expansion_score_factor': 0.13951765661827586, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.49726509517904016, 'type': 'geometric::BKPIECE'}"
9,54.4886648655,3,BKPIECEkConfigDefault,1,0.0948858261,0.3713657856,0.0002491666,0.0002491666,0,"{'border_fraction': 0.7251270029491432, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 9.907804006052285, 'failed_expansion_score_factor': 0.608412688264399, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.8502192397264261, 'type': 'geometric::BKPIECE'}"
10,58.80564785,3,BKPIECEkConfigDefault,1,0.1565458775,0.5667309761,0.0002163711,0.0002163711,0,"{'border_fraction': 0.9778701593259692, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 6.349685301232736, 'failed_expansion_score_factor': 0.839876045538049, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.2714305108456637, 'type': 'geometric::BKPIECE'}"
