n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,14.1714520454,3,RRTConnectkConfigDefault,1,0.0079081059,2.7783298492,0,0,0,"{'range': 6.698265840523623, 'type': 'geometric::RRTConnect'}"
2,27.7875111103,1.8374810219,RRTConnectkConfigDefault,1,10.7510828972,1.8374810219,1.7030312712,7.9267815245,1,"{'range': 2.523379605545324, 'type': 'geometric::RRTConnect'}"
3,55.4007761478,2.3524188995,RRTConnectkConfigDefault,1,11.0111501217,2.3524188995,1.7032798669,7.7825613478,1,"{'range': 9.937872456569936, 'type': 'geometric::RRTConnect'}"
4,77.479279995,1.0583870411,RRTConnectkConfigDefault,1,6.0682609081,1.0583870411,1.7029961375,7.1003360712,1,"{'range': 13.661255166995609, 'type': 'geometric::RRTConnect'}"
5,101.0969359875,1.0835268497,RRTConnectkConfigDefault,1,7.4367909431,1.0835268497,1.7028497533,6.9355920635,1,"{'range': 4.960571600765113, 'type': 'geometric::RRTConnect'}"
6,121.7763040066,1.6651411057,RRTConnectkConfigDefault,1,7.8309659958,1.6651411057,1.7028849565,7.3007981423,1,"{'range': 3.636255399753301, 'type': 'geometric::RRTConnect'}"
7,143.4928910732,1.0638649464,RRTConnectkConfigDefault,1,6.6607968807,1.0638649464,1.7027860657,6.7766229794,1,"{'range': 2.7068555134639016, 'type': 'geometric::RRTConnect'}"
8,149.0918841362,3,RRTConnectkConfigDefault,1,0.3370242119,0.1696989536,0.0001311489,0.0001353084,0,"{'range': 0.1479687429694137, 'type': 'geometric::RRTConnect'}"
9,168.4092409611,0.9179058075,RRTConnectkConfigDefault,1,7.5835371017,0.9179058075,1.703078486,8.2741266392,1,"{'range': 4.520691471336742, 'type': 'geometric::RRTConnect'}"
10,182.7334640026,0.3265368938,RRTConnectkConfigDefault,1,4.1958501339,0.3265368938,1.7029357257,7.8576473044,1,"{'range': 4.948360861372346, 'type': 'geometric::RRTConnect'}"
11,202.1995739937,1.2547838688,RRTConnectkConfigDefault,1,10.3343651295,1.2547838688,1.7030391586,9.0854051873,1,"{'range': 6.06173659765676, 'type': 'geometric::RRTConnect'}"
12,223.3822591305,0.5974111557,RRTConnectkConfigDefault,1,8.2234539986,0.5974111557,1.7027884139,7.3990148037,1,"{'range': 13.994762346308848, 'type': 'geometric::RRTConnect'}"
13,244.5001659393,1.4852459431,RRTConnectkConfigDefault,1,6.6554789543,1.4852459431,1.7027561877,8.8449552199,1,"{'range': 9.337210102296817, 'type': 'geometric::RRTConnect'}"
14,249.5797550678,3,RRTConnectkConfigDefault,1,0.1760208607,0.3315410614,0.0002113566,0.0002149483,0,"{'range': 0.33921380927602135, 'type': 'geometric::RRTConnect'}"
15,268.0063490868,3,RRTConnectkConfigDefault,1,0.0126171112,4.4338319302,0,0,0,"{'range': 2.6702893082073693, 'type': 'geometric::RRTConnect'}"
16,281.7859370708,1.4159331322,RRTConnectkConfigDefault,1,10.551211834,1.4159331322,1.7027990637,10.3755168653,1,"{'range': 5.102237559437306, 'type': 'geometric::RRTConnect'}"
17,300.4240760803,3,RRTConnectkConfigDefault,1,0.1147329807,3.0413608551,0,0,0,"{'range': 12.026492574368142, 'type': 'geometric::RRTConnect'}"
18,306.7960939407,3,RRTConnectkConfigDefault,1,0.0693218708,3.894299984,0,0,0,"{'range': 11.267889941916158, 'type': 'geometric::RRTConnect'}"
19,317.1511130333,1.4364049435,RRTConnectkConfigDefault,1,6.6823730469,1.4364049435,1.7029665594,6.9975208352,1,"{'range': 11.52311356496199, 'type': 'geometric::RRTConnect'}"
20,343.7271411419,1.8298060894,RRTConnectkConfigDefault,1,11.2489171028,1.8298060894,1.702782336,8.7213768255,1,"{'range': 14.327381621265362, 'type': 'geometric::RRTConnect'}"
21,363.8316011429,0.473708868,RRTConnectkConfigDefault,1,8.3013198376,0.473708868,1.7028257817,7.0966516611,1,"{'range': 8.308753596947037, 'type': 'geometric::RRTConnect'}"
22,368.9570081234,3,RRTConnectkConfigDefault,1,0.2000319958,0.4070880413,0.0002916417,0.0002974167,0,"{'range': 1.214988623347276, 'type': 'geometric::RRTConnect'}"
23,373.6873030663,3,RRTConnectkConfigDefault,1,0.3313009739,0.5604469776,0.0002833,0.0002884045,0,"{'range': 7.699316817969168, 'type': 'geometric::RRTConnect'}"
