n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,4.9135508537,3,BKPIECEkConfigDefault,1,0.0873999596,0.8101320267,0.0002894211,0.0002894211,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.8520524611519666, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.7097783036898386, 'failed_expansion_score_factor': 0.6423855119466738, 'min_valid_path_fraction': 0.4151626219280649, 'type': 'geometric::BKPIECE'}"
2,8.9538497925,3,BKPIECEkConfigDefault,1,0.1122479439,0.1718780994,0.0003407722,0.0003407722,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.30902347985110756, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.6431205846734376, 'failed_expansion_score_factor': 0.5059783137563045, 'min_valid_path_fraction': 0.4231455562957883, 'type': 'geometric::BKPIECE'}"
3,13.5972390175,3,BKPIECEkConfigDefault,1,0.1277668476,0.588670969,0.0002098494,0.0002098494,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6657632784486375, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.9185948020107886, 'failed_expansion_score_factor': 0.1833332413920129, 'min_valid_path_fraction': 0.8765828954405148, 'type': 'geometric::BKPIECE'}"
4,18.0109419823,3,BKPIECEkConfigDefault,1,0.1605060101,0.3769488335,0.0002690659,0.0002690659,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.5444536055736446, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.4692020439792421, 'failed_expansion_score_factor': 0.6029188024713519, 'min_valid_path_fraction': 0.5605045679765602, 'type': 'geometric::BKPIECE'}"
5,33.8961279392,1.6833019257,BKPIECEkConfigDefault,1,3.5275149345,1.6833019257,1.7030553552,7.1024606235,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.4999203983793246, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.5001445365450208, 'failed_expansion_score_factor': 0.2557228367031533, 'min_valid_path_fraction': 0.17845726473517948, 'type': 'geometric::BKPIECE'}"
6,53.5399010181,2.1876370907,BKPIECEkConfigDefault,1,7.4816169739,2.1876370907,1.7032283586,13.2322583887,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.2612053188390083, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.8149371035058692, 'failed_expansion_score_factor': 0.4774524904156663, 'min_valid_path_fraction': 0.6324102849899259, 'type': 'geometric::BKPIECE'}"
7,57.877573967,3,BKPIECEkConfigDefault,1,0.0709090233,0.0727450848,0.0003643843,0.0004587002,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.9713186143594116, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.42472821175848585, 'failed_expansion_score_factor': 0.3902445586210488, 'min_valid_path_fraction': 0.7631518341575336, 'type': 'geometric::BKPIECE'}"
8,62.5334668159,3,BKPIECEkConfigDefault,1,0.1145508289,0.5282669067,0.0002248843,0.0002836178,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.086504155149098, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.9220036103865892, 'failed_expansion_score_factor': 0.6701508011552164, 'min_valid_path_fraction': 0.6533059299233858, 'type': 'geometric::BKPIECE'}"
9,66.7013258934,3,BKPIECEkConfigDefault,1,0.1244058609,0.1965520382,0.0003659629,0.0003659629,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.44365015881505043, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.28466919215055, 'failed_expansion_score_factor': 0.3711072340969472, 'min_valid_path_fraction': 0.6910147061460697, 'type': 'geometric::BKPIECE'}"
10,71.1398320198,3,BKPIECEkConfigDefault,1,0.2644870281,0.176981926,0.0004951857,0.0004951857,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.9520925007782052, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.12578610766300868, 'failed_expansion_score_factor': 0.6417037907693361, 'min_valid_path_fraction': 0.689976649294, 'type': 'geometric::BKPIECE'}"
11,91.4395549297,3,BKPIECEkConfigDefault,1,0.0209691525,3.0190868378,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.24714914760622947, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.528778530844582, 'failed_expansion_score_factor': 0.5315037371792136, 'min_valid_path_fraction': 0.16312340728769253, 'type': 'geometric::BKPIECE'}"
12,115.1776359081,1.9820702076,BKPIECEkConfigDefault,1,6.1378779411,1.9820702076,1.7031165719,8.1279991668,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.7299248921286994, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.4488049373281147, 'failed_expansion_score_factor': 0.2389602864856189, 'min_valid_path_fraction': 0.17936581604930235, 'type': 'geometric::BKPIECE'}"
13,134.4686088562,3,BKPIECEkConfigDefault,1,0.0745460987,3.0295190811,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.7401904881658184, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.7028570135235541, 'failed_expansion_score_factor': 0.2684826289001857, 'min_valid_path_fraction': 0.1745184498485695, 'type': 'geometric::BKPIECE'}"
14,151.7774958611,0.9005799294,BKPIECEkConfigDefault,1,5.1940209866,0.9005799294,1.7027005076,6.539036444,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.21304448570766815, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.5013334768321336, 'failed_expansion_score_factor': 0.2559201773788513, 'min_valid_path_fraction': 0.1794411618044633, 'type': 'geometric::BKPIECE'}"
15,176.6904308796,2.9735710621,BKPIECEkConfigDefault,1,5.5023460388,2.9735710621,1.7028457093,7.7856843872,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.18669560742956037, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.757119182331773, 'failed_expansion_score_factor': 0.2551182387979652, 'min_valid_path_fraction': 0.08495429271559901, 'type': 'geometric::BKPIECE'}"
16,196.5698289871,0.8990461826,BKPIECEkConfigDefault,1,4.1016089916,0.8990461826,1.7028999924,8.7104377235,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.10720349477033403, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.5168510785968852, 'failed_expansion_score_factor': 0.2600660214449403, 'min_valid_path_fraction': 0.18412545147131992, 'type': 'geometric::BKPIECE'}"
17,221.4087688923,1.0000629425,BKPIECEkConfigDefault,1,4.2576320171,1.0000629425,1.7030694934,6.8547959132,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.08996778901558905, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.4802772961634563, 'failed_expansion_score_factor': 0.24657622830567894, 'min_valid_path_fraction': 0.33459383618861727, 'type': 'geometric::BKPIECE'}"
18,251.9366438389,3,BKPIECEkConfigDefault,1,0.1586930752,3.115375042,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.16339813286281335, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.5064252975905499, 'failed_expansion_score_factor': 0.25723134530179553, 'min_valid_path_fraction': 0.1931882777384954, 'type': 'geometric::BKPIECE'}"
