n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,9.5873880386,0.4862937927,RRTConnectkConfigDefault,1,3.8126959801,0.4862937927,1.7030601308,7.7428837667,1,"{'default': 1.226404774627535, 'type': 'geometric::RRTConnect'}"
2,17.9265198708,0.413424015,RRTConnectkConfigDefault,1,3.0056140423,0.413424015,1.7030072609,7.8904705361,1,"{'default': 1.7300966734832384, 'type': 'geometric::RRTConnect'}"
3,27.7166519165,0.7507410049,RRTConnectkConfigDefault,1,4.580365181,0.7507410049,1.7029856433,8.8502221385,1,"{'default': 1.2847710238933476, 'type': 'geometric::RRTConnect'}"
4,35.3819839954,0.2380261421,RRTConnectkConfigDefault,1,3.1483750343,0.2380261421,1.7028740382,7.0583088653,1,"{'default': 0.6653157524344974, 'type': 'geometric::RRTConnect'}"
5,42.1362738609,0.5991017818,RRTConnectkConfigDefault,1,2.6546850204,0.5991017818,1.7029573353,7.0026033006,1,"{'default': 0.6180469597022151, 'type': 'geometric::RRTConnect'}"
6,50.5468409061,0.1614120007,RRTConnectkConfigDefault,1,3.683768034,0.1614120007,1.7028912827,6.9093042244,1,"{'default': 1.6431205846734376, 'type': 'geometric::RRTConnect'}"
7,58.8978359699,0.7388689518,RRTConnectkConfigDefault,1,3.3300540447,0.7388689518,1.7027808446,6.820439426,1,"{'default': 0.8462911125915766, 'type': 'geometric::RRTConnect'}"
8,68.5492839813,0.2427937984,RRTConnectkConfigDefault,1,3.8680720329,0.2427937984,1.7028643305,7.8983533031,1,"{'default': 0.7410527047928099, 'type': 'geometric::RRTConnect'}"
9,77.3569140434,0.2556288242,RRTConnectkConfigDefault,1,3.8987250328,0.2556288242,1.702615371,8.4056861925,1,"{'default': 0.7996589256970412, 'type': 'geometric::RRTConnect'}"
10,84.1620099545,0.4216530323,RRTConnectkConfigDefault,1,2.4907488823,0.4216530323,1.7026478772,6.5312187006,1,"{'default': 0.3666664827840258, 'type': 'geometric::RRTConnect'}"
11,91.7488648891,3,RRTConnectkConfigDefault,1,0.0157370567,1.1624078751,0,0,0,"{'default': 1.999987973732457, 'type': 'geometric::RRTConnect'}"
12,99.0006270409,0.8473660946,RRTConnectkConfigDefault,1,2.3192949295,0.8473660946,1.7028817073,7.3358595463,1,"{'default': 1.6356859621050386, 'type': 'geometric::RRTConnect'}"
13,113.1280779839,0.5429639816,RRTConnectkConfigDefault,1,3.3560531139,0.5429639816,1.7028205225,7.1138510131,1,"{'default': 0.18523915989218562, 'type': 'geometric::RRTConnect'}"
14,126.2484920025,0.8527297974,RRTConnectkConfigDefault,1,2.8647358418,0.8527297974,1.7029049775,6.6334711261,1,"{'default': 0.7238740981434466, 'type': 'geometric::RRTConnect'}"
15,134.7002959251,3,RRTConnectkConfigDefault,1,0.0115530491,0.8200139999,0,0,0,"{'default': 1.0590660219767083, 'type': 'geometric::RRTConnect'}"
16,143.0661149025,1.1329381466,RRTConnectkConfigDefault,1,3.311989069,1.1329381466,1.7027968748,7.8321263021,1,"{'default': 0.4803919454519634, 'type': 'geometric::RRTConnect'}"
17,154.4636490345,0.6921858788,RRTConnectkConfigDefault,1,3.3528289795,0.6921858788,1.7029612705,7.0916131449,1,"{'default': 0.28892541275949885, 'type': 'geometric::RRTConnect'}"
