,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
0,BKPIECEkConfigDefault,5,1.8165783405303957,0.7745667934417725,1.7028353476719489,7.620039986517294,1.0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.55, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.8, 'failed_expansion_score_factor': 0.684, 'min_valid_path_fraction': 0.139, 'type': 'geometric::BKPIECE'}"
1,RRTConnectkConfigDefault,5,1.5488062858581544,0.23079400062561034,1.7029556225159541,7.445901056408914,1.0,"{'range': 5.0, 'type': 'geometric::RRTConnect'}"
2,KPIECEkConfigDefault,5,0.0,0.0,0.0,0.0,0.0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.9, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 7.2, 'failed_expansion_score_factor': 0.5, 'goal_bias': 0.05, 'min_valid_path_fraction': 0.5, 'type': 'geometric::KPIECE'}"
3,BiTRRTkConfigDefault,5,1.2672703742980955,0.22093634605407714,1.3622821510972651,5.689753000489894,0.8,"{'init_temperature': 1e-06, 'temp_change_factor': 0.1, 'cost_threshold': 100000, 'range': 5.0, 'frountier_node_ratio': 0.1, 'type': 'geometric::BiTRRT', 'frountier_threshold': 0.4}"
4,BKPIECEkConfigDefault,5,1.5322597980499268,0.5628715515136719,1.7028233892399776,7.578035111803531,1.0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.55, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.8, 'failed_expansion_score_factor': 0.684, 'min_valid_path_fraction': 0.139, 'type': 'geometric::BKPIECE'}"
5,RRTConnectkConfigDefault,5,1.074620819091797,0.14967551231384274,1.3622856017567708,6.2116530628423225,0.8,"{'range': 5.0, 'type': 'geometric::RRTConnect'}"
6,KPIECEkConfigDefault,5,0.005560159683227539,3.007232475280761,0.0,0.0,0.0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.9, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 7.2, 'failed_expansion_score_factor': 0.5, 'goal_bias': 0.05, 'min_valid_path_fraction': 0.5, 'type': 'geometric::KPIECE'}"
7,BiTRRTkConfigDefault,5,1.1987767696380616,0.24287161827087406,1.7028804415077343,8.013676605140747,1.0,"{'init_temperature': 1e-06, 'temp_change_factor': 0.1, 'cost_threshold': 100000, 'range': 5.0, 'frountier_node_ratio': 0.1, 'type': 'geometric::BiTRRT', 'frountier_threshold': 0.4}"
8,BKPIECEkConfigDefault,5,1.47708158493042,0.7721505641937256,1.7029694889525406,7.166348417880603,1.0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.55, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.8, 'failed_expansion_score_factor': 0.684, 'min_valid_path_fraction': 0.139, 'type': 'geometric::BKPIECE'}"
9,RRTConnectkConfigDefault,5,1.3084310054779054,0.2352806568145752,1.7029493939607037,7.434296444556966,1.0,"{'range': 5.0, 'type': 'geometric::RRTConnect'}"
10,KPIECEkConfigDefault,5,0.005134296417236328,3.0054205894470214,0.0,0.0,0.0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.9, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 7.2, 'failed_expansion_score_factor': 0.5, 'goal_bias': 0.05, 'min_valid_path_fraction': 0.5, 'type': 'geometric::KPIECE'}"
11,BiTRRTkConfigDefault,5,1.4299142360687256,0.17428479194641114,1.3623856503410037,6.091956822768459,0.8,"{'init_temperature': 1e-06, 'temp_change_factor': 0.1, 'cost_threshold': 100000, 'range': 5.0, 'frountier_node_ratio': 0.1, 'type': 'geometric::BiTRRT', 'frountier_threshold': 0.4}"
