n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,13.7751989365,3,BiTRRTkConfigDefault,1,0.0455868244,2.3876831532,0,0,0,"{'init_temperature': 0.0005488135039273249, 'temp_change_factor': 0.7151893663724196, 'cost_threshold': 0.4375872112626926, 'range': 8.218759426653763, 'frountier_node_ratio': 0.4236547993389048, 'type': 'geometric::BiTRRT', 'frountier_threshold': 60276.337607164394}"
2,24.0868279934,0.9882640839,BiTRRTkConfigDefault,1,7.7477109432,0.9882640839,1.703006838,7.2742820136,1,"{'init_temperature': 0.00089177300078208, 'temp_change_factor': 0.9636627605010295, 'cost_threshold': 0.9255966382926613, 'range': 11.896703067431703, 'frountier_node_ratio': 0.5288949197529046, 'type': 'geometric::BiTRRT', 'frountier_threshold': 38344.151882577775}"
3,43.2824010849,1.0323460102,BiTRRTkConfigDefault,1,3.5794539452,1.0323460102,1.70317339,6.9401619079,1,"{'init_temperature': 7.103605819788696e-05, 'temp_change_factor': 0.08712929970154072, 'cost_threshold': 0.9786183422327642, 'range': 12.506035698664277, 'frountier_node_ratio': 0.7781567509498507, 'type': 'geometric::BiTRRT', 'frountier_threshold': 2021.8397440325723}"
4,54.9532721043,3,BiTRRTkConfigDefault,1,0.0193920135,3.131855011,0,0,0,"{'init_temperature': 0.0007991585642167238, 'temp_change_factor': 0.46147936225293196, 'cost_threshold': 0.9446689170495841, 'range': 1.8622889454471052, 'frountier_node_ratio': 0.6399210213275239, 'type': 'geometric::BiTRRT', 'frountier_threshold': 78052.91762864556}"
5,63.721722126,1.4448728561,BiTRRTkConfigDefault,1,5.5279581547,1.4448728561,1.7030170671,7.3863115082,1,"{'init_temperature': 0.0005218483217500718, 'temp_change_factor': 0.4146619399905237, 'cost_threshold': 0.018789800436355145, 'range': 11.63608197256983, 'frountier_node_ratio': 0.45615033221654866, 'type': 'geometric::BiTRRT', 'frountier_threshold': 26455.5612104627}"
6,80.0611050129,1.436617136,BiTRRTkConfigDefault,1,7.2209980488,1.436617136,1.7029471721,7.9319349168,1,"{'init_temperature': 0.0006176354970758772, 'temp_change_factor': 0.6120957227224215, 'cost_threshold': 0.43703195379934157, 'range': 14.161846369867902, 'frountier_node_ratio': 0.6818202991034835, 'type': 'geometric::BiTRRT', 'frountier_threshold': 61693.3996874757}"
7,98.6112959385,1.7830779552,BiTRRTkConfigDefault,1,5.0814909935,1.7830779552,1.7026673861,7.9732620789,1,"{'init_temperature': 0.0006976311959272651, 'temp_change_factor': 0.06022547162926985, 'cost_threshold': 0.3154283509241839, 'range': 10.092504257310576, 'frountier_node_ratio': 0.21038256107384096, 'type': 'geometric::BiTRRT', 'frountier_threshold': 66676.67154456678}"
8,117.3168129921,1.8895161152,BiTRRTkConfigDefault,1,8.2210850716,1.8895161152,1.7028087234,7.7094707686,1,"{'init_temperature': 0.0003637107709426227, 'temp_change_factor': 0.5701967704178798, 'cost_threshold': 0.16130951788499628, 'range': 14.826770187082472, 'frountier_node_ratio': 0.1020448107480281, 'type': 'geometric::BiTRRT', 'frountier_threshold': 43860.15134623204}"
9,125.2001969814,3,BiTRRTkConfigDefault,1,0.100083828,2.091053009,0,0,0,"{'init_temperature': 0.0006531083254653986, 'temp_change_factor': 0.25329160253978217, 'cost_threshold': 0.6563295894652735, 'range': 3.7419413208238814, 'frountier_node_ratio': 0.15896958364551975, 'type': 'geometric::BiTRRT', 'frountier_threshold': 46631.077285630636}"
10,134.1373970509,1.5770761967,BiTRRTkConfigDefault,1,5.7211580276,1.5770761967,1.7028818402,7.4670909002,1,"{'init_temperature': 0.00013818295134861383, 'temp_change_factor': 0.19658236168005355, 'cost_threshold': 0.0960984078939631, 'range': 12.332799124734235, 'frountier_node_ratio': 0.0971012757930613, 'type': 'geometric::BiTRRT', 'frountier_threshold': 36872.517066096414}"
11,149.3315489292,0.6149020195,BiTRRTkConfigDefault,1,6.392334938,0.6149020195,1.7029075301,7.1506460068,1,"{'init_temperature': 0.000987091536676696, 'temp_change_factor': 0.899709696596406, 'cost_threshold': 0.8414308743528791, 'range': 13.446119970272246, 'frountier_node_ratio': 0.722873235113229, 'type': 'geometric::BiTRRT', 'frountier_threshold': 26918.555956241835}"
12,167.834841013,2.5620281696,BiTRRTkConfigDefault,1,6.7502529621,2.5620281696,1.7029537819,8.113906342,1,"{'init_temperature': 0.0009498245575890951, 'temp_change_factor': 0.9659416177392655, 'cost_threshold': 0.9482938003220618, 'range': 11.845629830652454, 'frountier_node_ratio': 0.7983554374774464, 'type': 'geometric::BiTRRT', 'frountier_threshold': 15397.84918701377}"
13,174.0484981537,3,BiTRRTkConfigDefault,1,0.1962819099,0.4245779514,0.0003332858,0.0003391178,0,"{'init_temperature': 0.0009412990235544377, 'temp_change_factor': 0.00045945751174092397, 'cost_threshold': 0.8194908276711643, 'range': 14.414968446494829, 'frountier_node_ratio': 0.7613584501765535, 'type': 'geometric::BiTRRT', 'frountier_threshold': 27119.9488291666}"
14,193.9330101013,0.6119949818,BiTRRTkConfigDefault,1,7.1455898285,0.6119949818,1.702792372,7.6676257364,1,"{'init_temperature': 0.0009694482168823874, 'temp_change_factor': 0.9460316825385022, 'cost_threshold': 0.33912369804370796, 'range': 12.531507624390752, 'frountier_node_ratio': 0.6814955017230783, 'type': 'geometric::BiTRRT', 'frountier_threshold': 91025.80556381588}"
