n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,7.6772329807,3,BKPIECEkConfigDefault,1,0.2028989792,1.1150641441,0.0001283329,0.000134511,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6914850041173494, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.9660173041849593, 'failed_expansion_score_factor': 0.9678629248688639, 'min_valid_path_fraction': 0.2806885132663982, 'type': 'geometric::BKPIECE'}"
2,37.9971959591,3.2618918419,BKPIECEkConfigDefault,1,11.0936200619,3.2618918419,1.7028095844,7.3088909576,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.24605249212016556, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 14.194627565036594, 'failed_expansion_score_factor': 0.5938849030562597, 'min_valid_path_fraction': 0.8784567385206846, 'type': 'geometric::BKPIECE'}"
3,59.307600975,3,BKPIECEkConfigDefault,1,0.0259768963,3.0563440323,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.8904458549786762, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.1029041123245726, 'failed_expansion_score_factor': 0.21143599248391398, 'min_valid_path_fraction': 0.4280131203476921, 'type': 'geometric::BKPIECE'}"
4,64.8997578621,3,BKPIECEkConfigDefault,1,0.0388970375,3.2276058197,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.23253123288265232, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 9.844251487216903, 'failed_expansion_score_factor': 0.36088156499001156, 'min_valid_path_fraction': 0.9978807350790942, 'type': 'geometric::BKPIECE'}"
5,92.0226039886,4.107049942,BKPIECEkConfigDefault,1,17.5421769619,4.107049942,1.702942745,8.3504488068,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.5722437317719564, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.1892148404863085, 'failed_expansion_score_factor': 0.9678629248688639, 'min_valid_path_fraction': 0.24067524542263172, 'type': 'geometric::BKPIECE'}"
6,96.8112339973,3,BKPIECEkConfigDefault,1,0.1704108715,0.2753009796,0.0001600253,0.000164294,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6914850041173494, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.7795857695369809, 'failed_expansion_score_factor': 0.9983266712078873, 'min_valid_path_fraction': 0.3157724920185829, 'type': 'geometric::BKPIECE'}"
7,101.9571108818,3,BKPIECEkConfigDefault,1,0.1398670673,0.4644382,0.0003059408,0.0003136091,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6914850041173494, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.9660173041849593, 'failed_expansion_score_factor': 0.9908112965002411, 'min_valid_path_fraction': 0.3202241111244749, 'type': 'geometric::BKPIECE'}"
8,107.3474268913,3,BKPIECEkConfigDefault,1,0.2372469902,1.0758500099,0.0002009653,0.0002059714,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6182402398254635, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.9660173041849593, 'failed_expansion_score_factor': 0.9354516311806294, 'min_valid_path_fraction': 0.2806885132663982, 'type': 'geometric::BKPIECE'}"
9,114.6855268478,3,BKPIECEkConfigDefault,1,0.3707821369,1.3727581501,0.0002812926,0.0002866692,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.013511683126684715, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.9660173041849593, 'failed_expansion_score_factor': 0.9678629248688639, 'min_valid_path_fraction': 0.2806885132663982, 'type': 'geometric::BKPIECE'}"
10,141.8670639992,3.171615839,BKPIECEkConfigDefault,1,8.6203889847,3.171615839,1.7029594482,8.7289881169,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6914850041173494, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 7.590012550296899, 'failed_expansion_score_factor': 0.9678629248688639, 'min_valid_path_fraction': 0.2806885132663982, 'type': 'geometric::BKPIECE'}"
