n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,7.5371179581,0.3475821018,BiTRRTkConfigDefault,1,3.2677500248,0.3475821018,1.7029199096,6.7787364901,1,"{'init_temperature': 0.00012511521355653766, 'temp_change_factor': 0.10412489580543938, 'frountier_threshold': 0.8032233424134383, 'range': 5.482802657687172, 'frountier_node_ratio': 0.7327336454057267, 'type': 'geometric::BiTRRT', 'cost_threshold': 20745.88061379662}"
2,16.2290267944,0.2879371643,BiTRRTkConfigDefault,1,3.1277709007,0.2879371643,1.7027241235,7.2390372479,1,"{'init_temperature': 0.0009923868673781045, 'temp_change_factor': 0.20487210721939342, 'frountier_threshold': 0.5000943910469711, 'range': 11.17959701294127, 'frountier_node_ratio': 0.07168057173335318, 'type': 'geometric::BiTRRT', 'cost_threshold': 9398.068552212024}"
3,21.5471689701,3,BiTRRTkConfigDefault,1,0.0202670097,1.0068318844,0,0,0,"{'init_temperature': 4.197625654766523e-05, 'temp_change_factor': 0.4141163786037336, 'frountier_threshold': 0.5195806910008484, 'range': 3.1531773230103277, 'frountier_node_ratio': 0.3333967004478181, 'type': 'geometric::BiTRRT', 'cost_threshold': 38785.17927825795}"
4,28.3606629372,3,BiTRRTkConfigDefault,1,0.0649549961,3.010368824,0,0,0,"{'init_temperature': 0.0002008329685316733, 'temp_change_factor': 0.5879076502384519, 'frountier_threshold': 0.19010839696009574, 'range': 0.2088174279574298, 'frountier_node_ratio': 0.16743992469411273, 'type': 'geometric::BiTRRT', 'cost_threshold': 24147.297058022745}"
5,38.4894759655,0.4024538994,BiTRRTkConfigDefault,1,8.78621912,0.4024538994,1.7027537914,7.703775714,1,"{'init_temperature': 0.0009923868673781045, 'temp_change_factor': 0.20487210721939342, 'frountier_threshold': 0.5000943910469711, 'range': 11.17959701294127, 'frountier_node_ratio': 0.07168057173335318, 'type': 'geometric::BiTRRT', 'cost_threshold': 40516.53149060689}"
6,54.3509969711,0.3520169258,BiTRRTkConfigDefault,1,6.3480119705,0.3520169258,1.7027571158,7.0829290346,1,"{'init_temperature': 0.0003187415431154539, 'temp_change_factor': 0.8928041854717527, 'frountier_threshold': 0.5000943910469711, 'range': 11.17959701294127, 'frountier_node_ratio': 0.07168057173335318, 'type': 'geometric::BiTRRT', 'cost_threshold': 9398.068552212024}"
7,62.5139729977,3,BiTRRTkConfigDefault,1,0.037170887,1.1122331619,0,0,0,"{'init_temperature': 0.0009923868673781045, 'temp_change_factor': 0.20487210721939342, 'frountier_threshold': 0.5000943910469711, 'range': 11.17959701294127, 'frountier_node_ratio': 0.6514552508649362, 'type': 'geometric::BiTRRT', 'cost_threshold': 9398.068552212024}"
8,68.9175310135,0.4845790863,BiTRRTkConfigDefault,1,5.0354311466,0.4845790863,1.7029171335,6.9478085754,1,"{'init_temperature': 0.0009923868673781045, 'temp_change_factor': 0.20487210721939342, 'frountier_threshold': 0.5000943910469711, 'range': 11.17959701294127, 'frountier_node_ratio': 0.07168057173335318, 'type': 'geometric::BiTRRT', 'cost_threshold': 43564.92966344212}"
9,82.9054348469,1.4274451733,BiTRRTkConfigDefault,1,6.4289870262,1.4274451733,1.7029380737,8.1552302634,1,"{'init_temperature': 0.0005693813948905117, 'temp_change_factor': 0.9174965567771217, 'frountier_threshold': 0.7686304617116182, 'range': 14.130042391582217, 'frountier_node_ratio': 0.4709347794939538, 'type': 'geometric::BiTRRT', 'cost_threshold': 94251.10761591927}"
10,95.4981758595,0.461345911,BiTRRTkConfigDefault,1,5.144507885,0.461345911,1.7029706255,7.3154392088,1,"{'init_temperature': 0.0007298147043006776, 'temp_change_factor': 0.9273473744565877, 'frountier_threshold': 0.7185926957203619, 'range': 2.731768665956426, 'frountier_node_ratio': 0.21324118394903346, 'type': 'geometric::BiTRRT', 'cost_threshold': 91863.1947626446}"
11,109.6713979244,0.4975628853,BiTRRTkConfigDefault,1,6.2831759453,0.4975628853,1.7028151067,8.2802875673,1,"{'init_temperature': 0.0006641870406637895, 'temp_change_factor': 0.680900820823411, 'frountier_threshold': 0.9744737384466754, 'range': 8.304569790180741, 'frountier_node_ratio': 0.34833739866907554, 'type': 'geometric::BiTRRT', 'cost_threshold': 62168.06446907157}"
12,116.2298858166,3,BiTRRTkConfigDefault,1,0.0150721073,0.8187019825,0,0,0,"{'init_temperature': 0.0006801162591389397, 'temp_change_factor': 0.11111132837989801, 'frountier_threshold': 0.341769350635285, 'range': 2.7323585973147595, 'frountier_node_ratio': 0.8316905443780575, 'type': 'geometric::BiTRRT', 'cost_threshold': 88058.44536146306}"
13,120.2081539631,0.3253378868,BiTRRTkConfigDefault,1,2.8816790581,0.3253378868,1.7029842395,8.2147075562,1,"{'init_temperature': 0.0009582331493382329, 'temp_change_factor': 0.6243058180139982, 'frountier_threshold': 0.5344839605139433, 'range': 13.290148096834466, 'frountier_node_ratio': 0.2061163846436087, 'type': 'geometric::BiTRRT', 'cost_threshold': 40969.99624351698}"
