n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,9.7866859436,0.5705420971,RRTConnectkConfigDefault,1,3.4402239323,0.5705420971,1.7031750039,8.2149603172,1,"{'range': 8.933384811552774, 'type': 'geometric::RRTConnect'}"
2,11.6376640797,3,RRTConnectkConfigDefault,1,0.0664908886,0.0861539841,0.00025345,0.00025345,0,"{'range': 12.883389702579077, 'type': 'geometric::RRTConnect'}"
3,19.5099799633,0.7026729584,RRTConnectkConfigDefault,1,2.808300972,0.7026729584,1.7030643778,7.7436520133,1,"{'range': 9.391099082110989, 'type': 'geometric::RRTConnect'}"
4,27.5629680157,0.3527569771,RRTConnectkConfigDefault,1,3.5885190964,0.3527569771,1.7029373243,8.5553142896,1,"{'range': 4.5332656375126374, 'type': 'geometric::RRTConnect'}"
5,36.8780879974,0.7018840313,RRTConnectkConfigDefault,1,3.8551928997,0.7018840313,1.7030524874,8.5231051989,1,"{'range': 4.162578789243687, 'type': 'geometric::RRTConnect'}"
6,47.8935599327,0.3285698891,RRTConnectkConfigDefault,1,4.3118219376,0.3285698891,1.7027673022,9.1330780029,1,"{'range': 12.20131405875485, 'type': 'geometric::RRTConnect'}"
7,60.1853499413,0.4618370533,RRTConnectkConfigDefault,1,4.9250528812,0.4618370533,1.7028956371,7.4827221951,1,"{'range': 5.952493461902363, 'type': 'geometric::RRTConnect'}"
8,73.0322289467,0.4956729412,RRTConnectkConfigDefault,1,6.2519409657,0.4956729412,1.7029457445,9.881283426,1,"{'range': 5.127202790217299, 'type': 'geometric::RRTConnect'}"
9,84.9822669029,0.3102347851,RRTConnectkConfigDefault,1,5.1632399559,0.3102347851,1.7030982338,7.2650405744,1,"{'range': 5.586798943624165, 'type': 'geometric::RRTConnect'}"
10,97.6412689686,1.1450550556,RRTConnectkConfigDefault,1,5.5243530273,1.1450550556,1.7029958393,8.1538590089,1,"{'range': 2.191226628148413, 'type': 'geometric::RRTConnect'}"
11,109.9976010323,0.6471860409,RRTConnectkConfigDefault,1,3.8440799713,0.6471860409,1.7028824712,6.7046910407,1,"{'range': 12.0335702044967, 'type': 'geometric::RRTConnect'}"
12,119.6919329166,0.1933660507,RRTConnectkConfigDefault,1,3.5214190483,0.1933660507,1.7027382906,6.9807958368,1,"{'range': 13.514814079871453, 'type': 'geometric::RRTConnect'}"
13,129.3627510071,0.3318710327,RRTConnectkConfigDefault,1,4.2590000629,0.3318710327,1.7029144181,7.7737857929,1,"{'range': 13.755115077925867, 'type': 'geometric::RRTConnect'}"
14,138.5362350941,0.3180809021,RRTConnectkConfigDefault,1,3.4679219723,0.3180809021,1.7030417745,7.7470978973,1,"{'range': 13.16304569540395, 'type': 'geometric::RRTConnect'}"
15,147.9243099689,0.2512340546,RRTConnectkConfigDefault,1,2.6635708809,0.2512340546,1.7030380851,7.3901951591,1,"{'range': 14.528330435210753, 'type': 'geometric::RRTConnect'}"
16,159.5525679588,1.3788070679,RRTConnectkConfigDefault,1,4.5517039299,1.3788070679,1.7028354372,7.2905128864,1,"{'range': 13.325611640741199, 'type': 'geometric::RRTConnect'}"
17,162.296503067,3,RRTConnectkConfigDefault,1,0.0592570305,0.0886158943,0.0003463864,0.0003520463,0,"{'range': 13.081448026930824, 'type': 'geometric::RRTConnect'}"
18,170.1857199669,0.3136072159,RRTConnectkConfigDefault,1,2.9291219711,0.3136072159,1.7027976196,7.2745343831,1,"{'range': 14.376989074984682, 'type': 'geometric::RRTConnect'}"
19,178.7206099033,0.2831699848,RRTConnectkConfigDefault,1,2.9112799168,0.2831699848,1.7027521913,8.0997056644,1,"{'range': 14.938288117431325, 'type': 'geometric::RRTConnect'}"
20,188.3758919239,0.5516908169,RRTConnectkConfigDefault,1,4.4120590687,0.5516908169,1.7028837845,8.8071687915,1,"{'range': 14.286685526607226, 'type': 'geometric::RRTConnect'}"
21,195.7245810032,0.5652301311,RRTConnectkConfigDefault,1,2.1930880547,0.5652301311,1.7028408507,8.6499642366,1,"{'range': 13.66471026379393, 'type': 'geometric::RRTConnect'}"
22,202.2790060043,0.2498960495,RRTConnectkConfigDefault,1,1.689811945,0.2498960495,1.7027839887,6.738478006,1,"{'range': 13.479394014727697, 'type': 'geometric::RRTConnect'}"
23,209.0938088894,0.150785923,RRTConnectkConfigDefault,1,2.8013410568,0.150785923,1.7029173009,6.9723567664,1,"{'range': 13.21584738818132, 'type': 'geometric::RRTConnect'}"
