n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,12.10542202,2.4153778553,BKPIECEkConfigDefault,1,3.467895031,2.4153778553,1.703075742,8.5405947696,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.7151893663724196, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 8.218759426653763, 'failed_expansion_score_factor': 0.4236547993389048, 'min_valid_path_fraction': 0.6458941130666562, 'type': 'geometric::BKPIECE'}"
2,24.2403309345,2.9670419693,BKPIECEkConfigDefault,1,2.9062700272,2.9670419693,1.7030017165,8.2672617866,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.9636627605010295, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 11.896703067431703, 'failed_expansion_score_factor': 0.5288949197529046, 'min_valid_path_fraction': 0.5680445610939324, 'type': 'geometric::BKPIECE'}"
3,31.8040878773,3,BKPIECEkConfigDefault,1,0.0200719833,3.0105588436,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.08712929970154072, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 12.506035698664277, 'failed_expansion_score_factor': 0.7781567509498507, 'min_valid_path_fraction': 0.8700121482468194, 'type': 'geometric::BKPIECE'}"
4,37.4358279705,1.3536021709,BKPIECEkConfigDefault,1,3.2645969391,1.3536021709,1.7032133885,8.0790626667,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.46147936225293196, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.8622889454471052, 'failed_expansion_score_factor': 0.6399210213275239, 'min_valid_path_fraction': 0.14335328740904643, 'type': 'geometric::BKPIECE'}"
5,39.6976599693,3,BKPIECEkConfigDefault,1,0.0710260868,0.7908368111,0.0002769592,0.0002813658,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.4146619399905237, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 11.63608197256983, 'failed_expansion_score_factor': 0.45615033221654866, 'min_valid_path_fraction': 0.5684339488686486, 'type': 'geometric::BKPIECE'}"
6,47.4284198284,3,BKPIECEkConfigDefault,1,0.0124459267,3.00623703,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6120957227224215, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 14.161846369867902, 'failed_expansion_score_factor': 0.6818202991034835, 'min_valid_path_fraction': 0.35950790057378607, 'type': 'geometric::BKPIECE'}"
7,51.1297450066,3,BKPIECEkConfigDefault,1,0.0272688866,3.0088479519,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.06022547162926985, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 10.092504257310576, 'failed_expansion_score_factor': 0.21038256107384096, 'min_valid_path_fraction': 0.12892629765485333, 'type': 'geometric::BKPIECE'}"
8,54.8989458084,3,BKPIECEkConfigDefault,1,0.0288238525,3.024160862,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.5701967704178798, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 14.826770187082472, 'failed_expansion_score_factor': 0.1020448107480281, 'min_valid_path_fraction': 0.20887675609483475, 'type': 'geometric::BKPIECE'}"
9,60.1692249775,2.6766860485,BKPIECEkConfigDefault,1,1.7023251057,2.6766860485,1.7031513395,7.02719751,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.25329160253978217, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 3.7419413208238814, 'failed_expansion_score_factor': 0.15896958364551975, 'min_valid_path_fraction': 0.11037514116430516, 'type': 'geometric::BKPIECE'}"
10,63.7521088123,3,BKPIECEkConfigDefault,1,0.0499751568,0.1942818165,0.0002772391,0.000285068,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.19658236168005355, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 12.332799124734235, 'failed_expansion_score_factor': 0.0971012757930613, 'min_valid_path_fraction': 0.8379449074988041, 'type': 'geometric::BKPIECE'}"
