n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,4.4782140255,3,RRTConnectkConfigDefault,1,0.2069568634,0.0609312057,0.0002647927,0.0002707772,0,"{'range': 8.27732120851714, 'type': 'geometric::RRTConnect'}"
2,24.9652888775,2.3337109089,RRTConnectkConfigDefault,1,9.0349609852,2.3337109089,1.7030935182,8.8863352087,1,"{'range': 9.081174303467495, 'type': 'geometric::RRTConnect'}"
3,48.7084798813,1.1247580051,RRTConnectkConfigDefault,1,11.9432001114,1.1247580051,1.7030359627,8.7066417895,1,"{'range': 6.41245651014968, 'type': 'geometric::RRTConnect'}"
4,72.9565458298,0.9146249294,RRTConnectkConfigDefault,1,11.9553229809,0.9146249294,1.7030690266,8.1622115542,1,"{'range': 6.620049447814119, 'type': 'geometric::RRTConnect'}"
5,98.9344890118,1.1424489021,RRTConnectkConfigDefault,1,13.5520060062,1.1424489021,1.7027207023,9.1446035735,1,"{'range': 14.458575131465338, 'type': 'geometric::RRTConnect'}"
6,125.1539959908,0.5044710636,RRTConnectkConfigDefault,1,11.61404109,0.5044710636,1.7028515467,7.0995192253,1,"{'range': 11.896703067431703, 'type': 'geometric::RRTConnect'}"
7,128.7397379875,3,RRTConnectkConfigDefault,1,0.299808979,0.2841148376,0.0003544173,0.0003596955,0,"{'range': 8.563863960299592, 'type': 'geometric::RRTConnect'}"
8,133.2127130032,3,RRTConnectkConfigDefault,1,0.2018818855,0.1094889641,0.0003540085,0.0003591864,0,"{'range': 1.1584372671485157, 'type': 'geometric::RRTConnect'}"
9,137.7701869011,3,RRTConnectkConfigDefault,1,0.1787810326,0.0684690475,0.0004402685,0.0004457529,0,"{'range': 0.4012541218608533, 'type': 'geometric::RRTConnect'}"
10,162.7856528759,1.5440590382,RRTConnectkConfigDefault,1,9.7369208336,1.5440590382,1.7029579329,7.4528725086,1,"{'range': 11.694535589152773, 'type': 'geometric::RRTConnect'}"
11,184.9571619034,0.8560550213,RRTConnectkConfigDefault,1,8.8375709057,0.8560550213,1.7028626851,7.7260565915,1,"{'range': 12.007462606829183, 'type': 'geometric::RRTConnect'}"
12,212.2409758568,0.69490695,RRTConnectkConfigDefault,1,7.8467760086,0.69490695,1.7026874224,7.5630370954,1,"{'range': 11.800745867397284, 'type': 'geometric::RRTConnect'}"
13,216.3346018791,3,RRTConnectkConfigDefault,1,0.1759409904,0.2397589684,0.0002456671,0.0002499493,0,"{'range': 11.934947529790772, 'type': 'geometric::RRTConnect'}"
14,249.6186418533,1.347260952,RRTConnectkConfigDefault,1,13.05981493,1.347260952,1.7028903883,8.4686994332,1,"{'range': 11.89126685535558, 'type': 'geometric::RRTConnect'}"
15,276.9922070503,1.8040511608,RRTConnectkConfigDefault,1,7.4012949467,1.8040511608,1.7027163145,6.8508431837,1,"{'range': 12.428321508972031, 'type': 'geometric::RRTConnect'}"
16,306.3101439476,0.585201025,RRTConnectkConfigDefault,1,13.7363669872,0.585201025,1.7028355048,9.0242751108,1,"{'range': 11.753387337025794, 'type': 'geometric::RRTConnect'}"
17,327.8553538322,1.653028965,RRTConnectkConfigDefault,1,5.3191239834,1.653028965,1.7028542718,8.4246312451,1,"{'range': 11.841535736256214, 'type': 'geometric::RRTConnect'}"
18,344.2115750313,0.5444569588,RRTConnectkConfigDefault,1,5.8340339661,0.5444569588,1.7028925091,7.1685899949,1,"{'range': 11.79644819881764, 'type': 'geometric::RRTConnect'}"
19,368.5116398335,1.5165991783,RRTConnectkConfigDefault,1,11.4743008614,1.5165991783,1.7028200556,7.1865031721,1,"{'range': 11.803315814138436, 'type': 'geometric::RRTConnect'}"
20,393.3344419003,1.2807588577,RRTConnectkConfigDefault,1,9.368046999,1.2807588577,1.7026636412,7.7026855108,1,"{'range': 11.782590816898042, 'type': 'geometric::RRTConnect'}"
21,398.6251049042,3,RRTConnectkConfigDefault,1,0.3086130619,0.4044611454,0.0004049519,0.0004105853,0,"{'range': 11.739179226971602, 'type': 'geometric::RRTConnect'}"
22,423.5044698715,1.3771650791,RRTConnectkConfigDefault,1,8.8628671169,1.3771650791,1.7027635462,7.8264587394,1,"{'range': 6.578018508015751, 'type': 'geometric::RRTConnect'}"
23,444.4627218246,1.0303747654,RRTConnectkConfigDefault,1,4.936095953,1.0303747654,1.7026512323,6.6792765332,1,"{'range': 11.79537671316864, 'type': 'geometric::RRTConnect'}"
24,456.3931689262,0.2021431923,RRTConnectkConfigDefault,1,1.7226099968,0.2021431923,1.7027760285,1.7027760285,1,"{'range': 11.80176577665222, 'type': 'geometric::RRTConnect'}"
25,470.7198040485,0.4768130779,RRTConnectkConfigDefault,1,5.5467619896,0.4768130779,1.7025932414,7.1857115807,1,"{'range': 11.802332999582582, 'type': 'geometric::RRTConnect'}"
26,488.164233923,0.9957749844,RRTConnectkConfigDefault,1,6.1326441765,0.9957749844,1.7028118419,8.527829021,1,"{'range': 11.79899232092467, 'type': 'geometric::RRTConnect'}"
27,503.5523729324,0.2925128937,RRTConnectkConfigDefault,1,5.2281999588,0.2925128937,1.7026435802,6.6831490128,1,"{'range': 11.802304193689084, 'type': 'geometric::RRTConnect'}"
28,519.5448198318,0.9380400181,RRTConnectkConfigDefault,1,7.0584998131,0.9380400181,1.702707944,8.4859476222,1,"{'range': 11.800870887501059, 'type': 'geometric::RRTConnect'}"
