n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,4.5362570286,3,BKPIECEkConfigDefault,1,0.086561203,0.7053718567,0.0002398162,0.0002398162,0,"{'border_fraction': 0.21441064912489893, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 11.095829211461556, 'failed_expansion_score_factor': 0.06447591635473349, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.9169352177595256, 'type': 'geometric::BKPIECE'}"
2,9.0265650749,3,BKPIECEkConfigDefault,1,0.1595489979,0.9104139805,0.0001254523,0.0001254523,0,"{'border_fraction': 0.8553047065443389, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 5.66959389134042, 'failed_expansion_score_factor': 0.9766711040640134, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.6941582583003391, 'type': 'geometric::BKPIECE'}"
3,13.0043129921,3,BKPIECEkConfigDefault,1,0.0725231171,0.1243560314,0.0001673256,0.0001673256,0,"{'border_fraction': 0.1068780652673107, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 12.071746152259967, 'failed_expansion_score_factor': 0.06775856760909549, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.3038191729927925, 'type': 'geometric::BKPIECE'}"
4,17.0284850597,3,BKPIECEkConfigDefault,1,0.0797519684,0.3432848454,0.0001831691,0.0001831691,0,"{'border_fraction': 0.6227921392686966, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 9.697246944070443, 'failed_expansion_score_factor': 0.05610752106989347, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.22871525339809695, 'type': 'geometric::BKPIECE'}"
5,21.4502551556,3,BKPIECEkConfigDefault,1,0.0665471554,0.8466980457,0.0001978636,0.0001978636,0,"{'border_fraction': 0.008365278830410716, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 9.581633043033966, 'failed_expansion_score_factor': 0.501588060503254, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.5494262137930727, 'type': 'geometric::BKPIECE'}"
6,25.2387111187,3,BKPIECEkConfigDefault,1,0.1048810482,0.2203941345,0.0002887929,0.0002887929,0,"{'border_fraction': 0.8005430637774114, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 5.970317486774211, 'failed_expansion_score_factor': 0.7211341455322666, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.591056391814674, 'type': 'geometric::BKPIECE'}"
7,39.5859060287,3,BKPIECEkConfigDefault,1,0.0125060081,3.0128350258,0,0,0,"{'border_fraction': 0.7513492958254999, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 14.579569646549535, 'failed_expansion_score_factor': 0.9514367221646187, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.4326304378833862, 'type': 'geometric::BKPIECE'}"
8,49.6747989655,2.4202811718,BKPIECEkConfigDefault,1,6.7238512039,2.4202811718,1.7029137413,10.0424596401,1,"{'border_fraction': 0.45010769921107496, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 3.0087544157234567, 'failed_expansion_score_factor': 0.13884812727357387, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.6801755731901442, 'type': 'geometric::BKPIECE'}"
9,63.1521999836,2.1451950073,BKPIECEkConfigDefault,1,3.9033241272,2.1451950073,1.7032399045,7.7130028419,1,"{'border_fraction': 0.1683463417247919, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 5.172491764223532, 'failed_expansion_score_factor': 0.32141115589621483, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.16247993284835072, 'type': 'geometric::BKPIECE'}"
10,74.2117891312,1.6750319004,BKPIECEkConfigDefault,1,4.2103610039,1.6750319004,1.7029532999,8.0347928143,1,"{'border_fraction': 0.5920171698825131, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 14.258609439759072, 'failed_expansion_score_factor': 0.8627583876237571, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.6428149377856217, 'type': 'geometric::BKPIECE'}"
