n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,20.8454239368,1.188215971,BiTRRTkConfigDefault,1,8.5720770359,1.188215971,1.7029616191,7.1755595217,1,"{'init_temperature': 0.0008718220818417035, 'range': 7.10016343327042, 'temp_change_factor': 0.7169774595266352, 'frountier_node_ratio': 0.1402066157657469, 'type': 'geometric::BiTRRT', 'cost_threshold': 57479.955704081134, 'frountier_threshold': 0.6476828450551466}"
2,40.3336629868,2.2722609043,BiTRRTkConfigDefault,1,6.7931649685,2.2722609043,1.7030730232,7.8607091381,1,"{'init_temperature': 0.0009895554136996195, 'range': 13.14954016703463, 'temp_change_factor': 0.04531578640542233, 'frountier_node_ratio': 0.8366225681809035, 'type': 'geometric::BiTRRT', 'cost_threshold': 59125.10549805717, 'frountier_threshold': 0.1840252269499688}"
3,69.4975731373,2.3323450089,BiTRRTkConfigDefault,1,13.4663770199,2.3323450089,1.7030295684,9.2573927735,1,"{'init_temperature': 0.000631087410772406, 'range': 13.946169444229685, 'temp_change_factor': 0.4138097218831118, 'frountier_node_ratio': 0.0258644908764758, 'type': 'geometric::BiTRRT', 'cost_threshold': 96868.10995850973, 'frountier_threshold': 0.28305348868676017}"
4,91.3937749863,0.9999220371,BiTRRTkConfigDefault,1,8.3922059536,0.9999220371,1.7029356853,7.3532980494,1,"{'init_temperature': 0.000829440142408477, 'range': 2.971112317435867, 'temp_change_factor': 0.5592719055120342, 'frountier_node_ratio': 0.8474694012967209, 'type': 'geometric::BiTRRT', 'cost_threshold': 11826.910978220196, 'frountier_threshold': 0.5943846607170908}"
5,119.2981650829,1.8158011436,BiTRRTkConfigDefault,1,9.2131929398,1.8158011436,1.7027262187,7.1158660306,1,"{'init_temperature': 0.0004682981886661396, 'range': 2.0807587237950402, 'temp_change_factor': 0.4452144579292594, 'frountier_node_ratio': 0.748527863949499, 'type': 'geometric::BiTRRT', 'cost_threshold': 43264.52109749595, 'frountier_threshold': 0.3543196179926602}"
6,135.039812088,1.1588361263,BiTRRTkConfigDefault,1,4.6256899834,1.1588361263,1.7028807411,7.3119915825,1,"{'init_temperature': 3.8615816326426854e-05, 'range': 2.161170242999673, 'temp_change_factor': 0.08412480952191237, 'frountier_node_ratio': 0.23613819909152578, 'type': 'geometric::BiTRRT', 'cost_threshold': 54054.40977823181, 'frountier_threshold': 0.7368635666254798}"
7,144.0004730225,0.1942579746,BiTRRTkConfigDefault,1,2.1353700161,0.1942579746,1.702857909,1.702857909,1,"{'init_temperature': 0.0002860395097120807, 'range': 6.864063433522453, 'temp_change_factor': 0.32143477187620406, 'frountier_node_ratio': 0.9351957722175491, 'type': 'geometric::BiTRRT', 'cost_threshold': 2901.072541831806, 'frountier_threshold': 0.14629649351732266}"
8,157.6079809666,0.8306281567,BiTRRTkConfigDefault,1,5.5025129318,0.8306281567,1.7026806573,8.8269093598,1,"{'init_temperature': 5.874239158021532e-05, 'range': 11.248946078090174, 'temp_change_factor': 0.22769539521632587, 'frountier_node_ratio': 0.307649213688434, 'type': 'geometric::BiTRRT', 'cost_threshold': 52439.83498248932, 'frountier_threshold': 0.3135917536106988}"
9,170.2649581432,0.8079099655,BiTRRTkConfigDefault,1,3.8164801598,0.8079099655,1.7027617648,6.6585659674,1,"{'init_temperature': 0.00039456587850017423, 'range': 14.915673602385441, 'temp_change_factor': 0.5374123419052775, 'frountier_node_ratio': 0.20764749801173443, 'type': 'geometric::BiTRRT', 'cost_threshold': 3312.7021176696526, 'frountier_threshold': 0.1981494650933312}"
10,186.0864899158,1.2084369659,BiTRRTkConfigDefault,1,4.9304969311,1.2084369659,1.7026008217,7.1106731105,1,"{'init_temperature': 0.00042668254172387854, 'range': 14.352004232595363, 'temp_change_factor': 0.49118040956531694, 'frountier_node_ratio': 0.31625725392506554, 'type': 'geometric::BiTRRT', 'cost_threshold': 99516.01674089055, 'frountier_threshold': 0.5648879559404372}"
11,199.8543019295,0.6035280228,BiTRRTkConfigDefault,1,6.1151850224,0.6035280228,1.7028360852,7.1048804542,1,"{'init_temperature': 0.00016274961914125775, 'range': 4.781008615059696, 'temp_change_factor': 0.20643949798915906, 'frountier_node_ratio': 0.5661647179344783, 'type': 'geometric::BiTRRT', 'cost_threshold': 68566.72722006854, 'frountier_threshold': 0.3149465266983922}"
12,209.2008390427,3,BiTRRTkConfigDefault,1,0.0443129539,1.9801220894,0,0,0,"{'init_temperature': 0.0009115893754423498, 'range': 11.088825476818133, 'temp_change_factor': 0.23918616740953236, 'frountier_node_ratio': 0.7658701586267216, 'type': 'geometric::BiTRRT', 'cost_threshold': 5449.85249762564, 'frountier_threshold': 0.7806522563278238}"
13,216.9662280083,1.161386013,BiTRRTkConfigDefault,1,5.651897192,1.161386013,1.7029659719,9.2749395949,1,"{'init_temperature': 0.0003671879810725057, 'range': 6.834852001144273, 'temp_change_factor': 0.44713645045560946, 'frountier_node_ratio': 0.413877769425392, 'type': 'geometric::BiTRRT', 'cost_threshold': 3832.3848331766717, 'frountier_threshold': 0.5399825753687741}"
14,231.01207304,1.0596928596,BiTRRTkConfigDefault,1,5.9724240303,1.0596928596,1.7026859715,8.4554934345,1,"{'init_temperature': 0.0005687324757941965, 'range': 13.273072287044604, 'temp_change_factor': 0.8252849308992886, 'frountier_node_ratio': 0.22592164300351059, 'type': 'geometric::BiTRRT', 'cost_threshold': 69329.7821453336, 'frountier_threshold': 0.43796659750180644}"
15,256.4804639816,3.1992940903,BiTRRTkConfigDefault,1,9.5517580509,3.1992940903,1.7031158658,8.6539923575,1,"{'init_temperature': 0.0008816312410852839, 'range': 11.348986825295357, 'temp_change_factor': 0.9574731976031169, 'frountier_node_ratio': 0.60092580454972, 'type': 'geometric::BiTRRT', 'cost_threshold': 11535.881804361725, 'frountier_threshold': 0.9350030482320835}"
16,278.7951180935,2.3235118389,BiTRRTkConfigDefault,1,9.8934819698,2.3235118389,1.702701419,8.195210522,1,"{'init_temperature': 0.0007153400233503704, 'range': 3.938611105688604, 'temp_change_factor': 0.8221192215834063, 'frountier_node_ratio': 0.8873345554832633, 'type': 'geometric::BiTRRT', 'cost_threshold': 48824.17663741941, 'frountier_threshold': 0.04293670654091131}"
17,284.720703125,3,BiTRRTkConfigDefault,1,0.3406541348,0.3002061844,0.0003164308,0.0003225198,0,"{'init_temperature': 0.00037810389941399795, 'range': 4.6076976490298085, 'temp_change_factor': 0.7156399400513914, 'frountier_node_ratio': 0.1325156928965988, 'type': 'geometric::BiTRRT', 'cost_threshold': 32660.75878165319, 'frountier_threshold': 0.23102419156296328}"
18,300.7021341324,0.5331180096,BiTRRTkConfigDefault,1,6.3307709694,0.5331180096,1.7030481672,9.0481926294,1,"{'init_temperature': 0.0002084187986976619, 'range': 8.584260253300174, 'temp_change_factor': 0.18464022505923183, 'frountier_node_ratio': 0.3929385077764471, 'type': 'geometric::BiTRRT', 'cost_threshold': 7817.094922237522, 'frountier_threshold': 0.463160145691101}"
19,320.7652950287,0.9992539883,BiTRRTkConfigDefault,1,5.6796960831,0.9992539883,1.702719265,7.4326653242,1,"{'init_temperature': 0.00022872848869729269, 'range': 5.193554616361311, 'temp_change_factor': 0.36422958739955813, 'frountier_node_ratio': 0.007151302835626594, 'type': 'geometric::BiTRRT', 'cost_threshold': 20251.793998192792, 'frountier_threshold': 0.7857332723216717}"
