n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,14.1355729103,3,RRTConnectkConfigDefault,1,0.0450401306,3.0130529404,0,0,0,"{'range': 2.0410708278432934, 'type': 'geometric::RRTConnect'}"
2,29.0852539539,1.2424919605,RRTConnectkConfigDefault,1,11.9728901386,1.2424919605,1.7030355193,8.2458603715,1,"{'range': 3.5475107754019026, 'type': 'geometric::RRTConnect'}"
3,57.5297510624,2.8572690487,RRTConnectkConfigDefault,1,10.3387818336,2.8572690487,1.7028394212,8.3438344218,1,"{'range': 2.3802346534582197, 'type': 'geometric::RRTConnect'}"
4,81.9267098904,0.9676918983,RRTConnectkConfigDefault,1,10.2464261055,0.9676918983,1.7028973358,7.7812069187,1,"{'range': 7.352624027838135, 'type': 'geometric::RRTConnect'}"
5,114.2884299755,2.0344078541,RRTConnectkConfigDefault,1,13.9621450901,2.0344078541,1.7027183833,8.8722058547,1,"{'range': 5.465491007053315, 'type': 'geometric::RRTConnect'}"
6,137.8885009289,3.0085258484,RRTConnectkConfigDefault,1,6.8644468784,3.0085258484,1.7029028397,7.6324453267,1,"{'range': 11.363913802532295, 'type': 'geometric::RRTConnect'}"
7,164.6634888649,1.9263701439,RRTConnectkConfigDefault,1,7.1255810261,1.9263701439,1.7028622568,8.6831114415,1,"{'range': 6.607039063965113, 'type': 'geometric::RRTConnect'}"
8,179.1385068893,0.7949290276,RRTConnectkConfigDefault,1,4.9530360699,0.7949290276,1.7029286958,6.4617144582,1,"{'range': 1.9413342867153995, 'type': 'geometric::RRTConnect'}"
9,197.2351269722,1.5930969715,RRTConnectkConfigDefault,1,5.4518039227,1.5930969715,1.7029790957,7.2737119512,1,"{'range': 8.730091417390023, 'type': 'geometric::RRTConnect'}"
10,202.082474947,3,RRTConnectkConfigDefault,1,0.2389681339,0.1693160534,0.000255429,0.0002613532,0,"{'range': 1.082834596755159, 'type': 'geometric::RRTConnect'}"
11,220.4442770481,1.0848348141,RRTConnectkConfigDefault,1,5.6401081085,1.0848348141,1.7027687711,7.1241573243,1,"{'range': 12.078829871333602, 'type': 'geometric::RRTConnect'}"
12,242.0945720673,1.904088974,RRTConnectkConfigDefault,1,7.3137550354,1.904088974,1.7027094473,8.5695572855,1,"{'range': 1.675305443602199, 'type': 'geometric::RRTConnect'}"
