n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,9.88942,0.629569054,BKPIECEkConfigDefault,1,2.617999077,0.629569054,1.702868582,7.670546375,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.55', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '0.8', 'failed_expansion_score_factor': '0.684', 'min_valid_path_fraction': '0.139', 'type': 'geometric::BKPIECE'}"
2,23.90424336,3,BKPIECEkConfigDefault,1,0.045764923,0.102310896,0.00033288,0.000339194,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.8129150485790053', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '0.345143546424846', 'failed_expansion_score_factor': '0.6042110995178694', 'min_valid_path_fraction': '0.6568401860466199', 'type': 'geometric::BKPIECE'}"
3,37.91906673,3,BKPIECEkConfigDefault,1,0.082665205,0.330138922,0.000306204,0.000314219,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.3434291004964024', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '7.699487130228094', 'failed_expansion_score_factor': '0.3496873002256714', 'min_valid_path_fraction': '0.45429134715488717', 'type': 'geometric::BKPIECE'}"
4,51.93389009,0.766027927,BKPIECEkConfigDefault,1,2.788151026,0.766027927,1.702939162,7.442934541,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.9750528201202652', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '5.733275053527968', 'failed_expansion_score_factor': '0.9109122674563664', 'min_valid_path_fraction': '0.16422878185429268', 'type': 'geometric::BKPIECE'}"
5,65.94871345,3,BKPIECEkConfigDefault,1,0.01338315,3.016391993,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.6114415300695377', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '5.8515793574356145', 'failed_expansion_score_factor': '0.49823781140356327', 'min_valid_path_fraction': '0.27192657848265744', 'type': 'geometric::BKPIECE'}"
6,79.96353682,1.095775843,BKPIECEkConfigDefault,1,2.567685127,1.095775843,1.703104377,8.447866066,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.6915197468409857', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '11.826522577637823', 'failed_expansion_score_factor': '0.22279197873681555', 'min_valid_path_fraction': '0.18453460298798596', 'type': 'geometric::BKPIECE'}"
7,93.97836018,1.746459007,BKPIECEkConfigDefault,1,1.826821804,1.746459007,1.702893677,8.143798107,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.6977468587852179', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '3.9271331973937675', 'failed_expansion_score_factor': '0.6610730146578853', 'min_valid_path_fraction': '0.3993615194266441', 'type': 'geometric::BKPIECE'}"
8,107.9931835,3,BKPIECEkConfigDefault,1,0.053277969,0.853925943,0.000249599,0.000253527,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.4693040163289621', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '7.700793666910948', 'failed_expansion_score_factor': '0.46619105809729267', 'min_valid_path_fraction': '0.6230621271134843', 'type': 'geometric::BKPIECE'}"
9,122.0080069,2.437802076,BKPIECEkConfigDefault,1,2.110209942,2.437802076,1.703186098,8.070158514,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.5140132455943704', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '9.423237151004662', 'failed_expansion_score_factor': '0.04948819045875319', 'min_valid_path_fraction': '0.35572577319651866', 'type': 'geometric::BKPIECE'}"
10,136.0228303,0.802796841,BKPIECEkConfigDefault,1,3.391508102,0.802796841,1.703198266,9.340883205,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.8520677387709955', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '11.879360419769812', 'failed_expansion_score_factor': '0.23944325033234093', 'min_valid_path_fraction': '0.10445199018971119', 'type': 'geometric::BKPIECE'}"
11,150.0376536,3,BKPIECEkConfigDefault,1,0.012344837,3.01412797,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.05483044584875074', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '9.710512914134176', 'failed_expansion_score_factor': '0.24369745363338247', 'min_valid_path_fraction': '0.2272630837130999', 'type': 'geometric::BKPIECE'}"
12,164.052477,0.471853018,BKPIECEkConfigDefault,1,2.286536932,0.471853018,1.702826887,7.130965945,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.5564509666390977', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '1.9880265824587409', 'failed_expansion_score_factor': '0.5376078674312532', 'min_valid_path_fraction': '0.0224190440695774', 'type': 'geometric::BKPIECE'}"
13,179.8018696,1.89842701,BKPIECEkConfigDefault,1,2.467736959,1.89842701,1.702946868,8.530299327,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.7986328849227714', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '3.6328082490490132', 'failed_expansion_score_factor': '0.7756603274758611', 'min_valid_path_fraction': '0.5791986793598998', 'type': 'geometric::BKPIECE'}"
14,195.5512621,3,BKPIECEkConfigDefault,1,0.012737036,3.007721186,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.2702364720788595', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '10.99216288988722', 'failed_expansion_score_factor': '0.8889412760239441', 'min_valid_path_fraction': '0.7625437280214334', 'type': 'geometric::BKPIECE'}"
