n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,14.442832,0.438197851,RRTConnectkConfigDefault,1,3.690747976,0.438197851,1.703000251,6.586306731,1,"{'range': '5.0', 'type': 'geometric::RRTConnect'}"
2,33.7337885,1.023581028,RRTConnectkConfigDefault,1,3.221338034,1.023581028,1.702887535,7.629324418,1,"{'range': '12.212434223827179', 'type': 'geometric::RRTConnect'}"
3,53.024745,0.332479954,RRTConnectkConfigDefault,1,6.445364952,0.332479954,1.70275061,12.58139497,1,"{'range': '10.6595086046838', 'type': 'geometric::RRTConnect'}"
4,69.40596767,0.540145159,RRTConnectkConfigDefault,1,3.409909964,0.540145159,1.702825088,8.245019793,1,"{'range': '12.291900826741603', 'type': 'geometric::RRTConnect'}"
5,85.78719033,0.481486082,RRTConnectkConfigDefault,1,4.130712986,0.481486082,1.702733583,8.965828153,1,"{'range': '5.919970301124567', 'type': 'geometric::RRTConnect'}"
6,102.168413,0.225639105,RRTConnectkConfigDefault,1,3.520215034,0.225639105,1.702871618,7.847130258,1,"{'range': '9.661442626202922', 'type': 'geometric::RRTConnect'}"
7,118.1125693,0.249686003,RRTConnectkConfigDefault,1,2.165902853,0.249686003,1.70299453,6.712409225,1,"{'range': '11.193710884769931', 'type': 'geometric::RRTConnect'}"
8,134.0567255,0.346935034,RRTConnectkConfigDefault,1,3.915128946,0.346935034,1.703010923,8.704194123,1,"{'range': '6.628864015390128', 'type': 'geometric::RRTConnect'}"
9,150.0008818,3,RRTConnectkConfigDefault,1,0.006107092,0.795207977,0,0,0,"{'range': '7.100557913494605', 'type': 'geometric::RRTConnect'}"
10,165.9450381,0.63820982,RRTConnectkConfigDefault,1,2.8577981,0.63820982,1.702769415,7.726090676,1,"{'range': '14.286076608378616', 'type': 'geometric::RRTConnect'}"
11,181.8891944,0.400410891,RRTConnectkConfigDefault,1,2.832364082,0.400410891,1.702819019,6.820538801,1,"{'range': '5.8286544079176', 'type': 'geometric::RRTConnect'}"
12,197.8333506,0.335318089,RRTConnectkConfigDefault,1,4.510226965,0.335318089,1.702953419,7.643011206,1,"{'range': '10.219159350653742', 'type': 'geometric::RRTConnect'}"
13,213.7775069,0.786254883,RRTConnectkConfigDefault,1,2.494916916,0.786254883,1.702796015,7.323417699,1,"{'range': '2.6431573562361317', 'type': 'geometric::RRTConnect'}"
14,229.7216632,0.447633982,RRTConnectkConfigDefault,1,3.35913682,0.447633982,1.702926018,7.303991296,1,"{'range': '5.1236704556704264', 'type': 'geometric::RRTConnect'}"
15,245.6658195,3,RRTConnectkConfigDefault,1,0.081146002,0.086159945,0.000236425,0.000241137,0,"{'range': '9.140893664846564', 'type': 'geometric::RRTConnect'}"
16,261.6099757,0.387957096,RRTConnectkConfigDefault,1,3.92401886,0.387957096,1.702827606,7.096715212,1,"{'range': '10.538047473699493', 'type': 'geometric::RRTConnect'}"
17,277.554132,0.34474206,RRTConnectkConfigDefault,1,3.238734007,0.34474206,1.702867871,7.250567091,1,"{'range': '13.869209973061018', 'type': 'geometric::RRTConnect'}"
18,293.4982883,0.363020182,RRTConnectkConfigDefault,1,3.718835115,0.363020182,1.702868644,6.867710148,1,"{'range': '12.384415519336631', 'type': 'geometric::RRTConnect'}"
19,309.4424445,3,RRTConnectkConfigDefault,1,0.078581095,0.060575008,0.000251413,0.000257569,0,"{'range': '10.986016103729002', 'type': 'geometric::RRTConnect'}"
20,325.3866008,3,RRTConnectkConfigDefault,1,0.004299164,1.723317862,0,0,0,"{'range': '11.247350010151045', 'type': 'geometric::RRTConnect'}"
21,341.3307571,0.31529212,RRTConnectkConfigDefault,1,3.806159973,0.31529212,1.702753651,7.580639604,1,"{'range': '11.250821393145236', 'type': 'geometric::RRTConnect'}"
22,357.2749134,0.675920963,RRTConnectkConfigDefault,1,4.167907953,0.675920963,1.702882403,7.310909784,1,"{'range': '6.102036946284061', 'type': 'geometric::RRTConnect'}"
23,373.2190696,1.051414013,RRTConnectkConfigDefault,1,4.325378895,1.051414013,1.703092449,7.025159421,1,"{'range': '8.881102472119833', 'type': 'geometric::RRTConnect'}"
24,389.1632259,0.23182106,RRTConnectkConfigDefault,1,3.014794111,0.23182106,1.702918106,8.911663552,1,"{'range': '12.074528500486299', 'type': 'geometric::RRTConnect'}"
25,405.1073822,0.333068132,RRTConnectkConfigDefault,1,2.301064014,0.333068132,1.70303848,6.633096786,1,"{'range': '11.46762571671515', 'type': 'geometric::RRTConnect'}"
26,421.0515385,0.599237919,RRTConnectkConfigDefault,1,3.633936882,0.599237919,1.703160722,6.766898121,1,"{'range': '6.275505934703688', 'type': 'geometric::RRTConnect'}"
27,436.9956947,0.302899837,RRTConnectkConfigDefault,1,3.663798809,0.302899837,1.703004812,6.820053812,1,"{'range': '6.382422867031302', 'type': 'geometric::RRTConnect'}"
28,452.939851,0.198743105,RRTConnectkConfigDefault,1,4.938720942,0.198743105,1.702788052,8.918974355,1,"{'range': '9.021786539692133', 'type': 'geometric::RRTConnect'}"
29,466.7169368,0.570612907,RRTConnectkConfigDefault,1,2.119436979,0.570612907,1.702959243,6.970525309,1,"{'range': '6.971070563387356', 'type': 'geometric::RRTConnect'}"
30,480.4940226,3,RRTConnectkConfigDefault,1,0.084524155,0.061888933,0.000319621,0.000326937,0,"{'range': '11.460333401809669', 'type': 'geometric::RRTConnect'}"
31,494.2711084,0.410427094,RRTConnectkConfigDefault,1,4.459617138,0.410427094,1.703091332,8.932537862,1,"{'range': '11.7162231404346', 'type': 'geometric::RRTConnect'}"
32,508.0481942,0.377496004,RRTConnectkConfigDefault,1,2.076299906,0.377496004,1.702905402,6.995600811,1,"{'range': '11.490142367610952', 'type': 'geometric::RRTConnect'}"
33,521.82528,0.190768003,RRTConnectkConfigDefault,1,3.830855846,0.190768003,1.702743488,8.203622573,1,"{'range': '9.88451666198721', 'type': 'geometric::RRTConnect'}"
34,537.2646769,0.304237127,RRTConnectkConfigDefault,1,2.097172976,0.304237127,1.702603488,7.747956983,1,"{'range': '7.680078169940163', 'type': 'geometric::RRTConnect'}"
35,552.7040737,0.27383709,RRTConnectkConfigDefault,1,3.779022932,0.27383709,1.703144321,8.648116944,1,"{'range': '10.484501051344413', 'type': 'geometric::RRTConnect'}"
36,568.1434706,3,RRTConnectkConfigDefault,1,0.065849066,0.087208986,0.000172469,0.000177147,0,"{'range': '4.4201282350750635', 'type': 'geometric::RRTConnect'}"
37,583.5828675,0.889852047,RRTConnectkConfigDefault,1,3.667032957,0.889852047,1.702743835,8.778868458,1,"{'range': '10.932176746195289', 'type': 'geometric::RRTConnect'}"
38,599.0222643,0.205828905,RRTConnectkConfigDefault,1,2.188126087,0.205828905,1.702903117,7.345500431,1,"{'range': '9.73752554961326', 'type': 'geometric::RRTConnect'}"
39,614.4616612,0.326784849,RRTConnectkConfigDefault,1,3.122206926,0.326784849,1.702934262,8.654487739,1,"{'range': '9.064880930608016', 'type': 'geometric::RRTConnect'}"
40,629.9010581,0.647262096,RRTConnectkConfigDefault,1,3.234363794,0.647262096,1.702838306,8.391316798,1,"{'range': '9.683516588216838', 'type': 'geometric::RRTConnect'}"
41,645.3404549,0.226416111,RRTConnectkConfigDefault,1,3.39397788,0.226416111,1.703013801,8.762112035,1,"{'range': '9.596914694632787', 'type': 'geometric::RRTConnect'}"
42,660.7798518,0.301022053,RRTConnectkConfigDefault,1,4.99106288,0.301022053,1.703113407,8.036916499,1,"{'range': '7.243539378766536', 'type': 'geometric::RRTConnect'}"
43,676.2192487,0.213186979,RRTConnectkConfigDefault,1,2.612692118,0.213186979,1.702782117,6.765447172,1,"{'range': '6.555795753785589', 'type': 'geometric::RRTConnect'}"
44,691.6586456,0.600419998,RRTConnectkConfigDefault,1,3.439007044,0.600419998,1.702758499,7.860280998,1,"{'range': '4.6094144743003564', 'type': 'geometric::RRTConnect'}"
45,707.0980424,0.875375986,RRTConnectkConfigDefault,1,3.228148937,0.875375986,1.702987376,8.003057535,1,"{'range': '8.555749278000592', 'type': 'geometric::RRTConnect'}"
