n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,8.0222079754,0.1175329685,RRTConnectkConfigDefault,1,3.184648037,0.1175329685,1.7031152349,7.5952554874,1,"{'default': 1.226404774627535, 'type': 'geometric::RRTConnect'}"
2,14.8219900131,0.4069161415,RRTConnectkConfigDefault,1,2.3700480461,0.4069161415,1.7026615117,8.0427374558,1,"{'default': 1.7300966734832381, 'type': 'geometric::RRTConnect'}"
3,19.7903120518,3,RRTConnectkConfigDefault,1,0.0032610893,0.8088958263,0,0,0,"{'default': 1.2847710238933476, 'type': 'geometric::RRTConnect'}"
4,24.3155009747,0.5972831249,RRTConnectkConfigDefault,1,3.3869481087,0.5972831249,1.7026691039,7.9554678649,1,"{'default': 0.6653157524344974, 'type': 'geometric::RRTConnect'}"
5,32.705945015,0.4291689396,RRTConnectkConfigDefault,1,3.8960969448,0.4291689396,1.702902876,7.6177270529,1,"{'default': 0.6180469597022151, 'type': 'geometric::RRTConnect'}"
6,40.8302669525,0.3844988346,RRTConnectkConfigDefault,1,2.9860160351,0.3844988346,1.7025426542,6.9771726232,1,"{'default': 1.6431205846734371, 'type': 'geometric::RRTConnect'}"
7,49.2503240108,0.342854023,RRTConnectkConfigDefault,1,3.5283658504,0.342854023,1.7025371567,8.2571036092,1,"{'default': 0.8462911125915765, 'type': 'geometric::RRTConnect'}"
8,50.4944701195,3,RRTConnectkConfigDefault,1,0.0616030693,0.0787539482,0.0002182503,0.0002252936,0,"{'default': 0.7410527047928099, 'type': 'geometric::RRTConnect'}"
9,58.7498209476,0.2643148899,RRTConnectkConfigDefault,1,2.5167741776,0.2643148899,1.7025396008,7.4429090251,1,"{'default': 0.7996589256970412, 'type': 'geometric::RRTConnect'}"
10,66.6373589039,0.3863089085,RRTConnectkConfigDefault,1,3.1726520061,0.3863089085,1.7027354981,7.4278746493,1,"{'default': 0.3666664827840258, 'type': 'geometric::RRTConnect'}"
11,78.8728890419,0.4782938957,RRTConnectkConfigDefault,1,3.6960468292,0.4782938957,1.7027937729,8.740257659,1,"{'default': 1.0889072111472893, 'type': 'geometric::RRTConnect'}"
12,89.0455949306,0.1923809052,RRTConnectkConfigDefault,1,3.8733479977,0.1923809052,1.7027105747,8.1868381141,1,"{'default': 1.3046249135281458, 'type': 'geometric::RRTConnect'}"
13,98.5194849968,0.3095939159,RRTConnectkConfigDefault,1,3.43323493,0.3095939159,1.7025632805,8.8803170537,1,"{'default': 1.2628233714792667, 'type': 'geometric::RRTConnect'}"
14,106.4095919132,0.3023171425,RRTConnectkConfigDefault,1,2.3965079784,0.3023171425,1.7024688923,6.6516056137,1,"{'default': 1.2875783539549064, 'type': 'geometric::RRTConnect'}"
15,114.8893790245,0.691519022,RRTConnectkConfigDefault,1,3.1631429195,0.691519022,1.7026775479,7.4595761688,1,"{'default': 1.2751286298251356, 'type': 'geometric::RRTConnect'}"
16,124.1568379402,0.3993718624,RRTConnectkConfigDefault,1,2.0182340145,0.3993718624,1.7025851292,7.7572446163,1,"{'default': 1.2836555925573838, 'type': 'geometric::RRTConnect'}"
17,134.7208149433,0.5785059929,RRTConnectkConfigDefault,1,4.0205929279,0.5785059929,1.7028054189,7.7531527005,1,"{'default': 1.286092798026205, 'type': 'geometric::RRTConnect'}"
18,144.8210859299,0.9323079586,RRTConnectkConfigDefault,1,3.8289778233,0.9323079586,1.7025809974,8.9045712446,1,"{'default': 0.7927102507898999, 'type': 'geometric::RRTConnect'}"
19,154.1058900356,0.3019809723,RRTConnectkConfigDefault,1,3.3933849335,0.3019809723,1.7029759759,7.1214593192,1,"{'default': 1.2846035921844843, 'type': 'geometric::RRTConnect'}"
20,163.8937849998,0.3286449909,RRTConnectkConfigDefault,1,3.7859280109,0.3286449909,1.7028846719,8.7360017441,1,"{'default': 1.2956588240274338, 'type': 'geometric::RRTConnect'}"
21,172.0351440907,0.1565620899,RRTConnectkConfigDefault,1,2.5518908501,0.1565620899,1.702624211,7.4741607297,1,"{'default': 1.2850676338274367, 'type': 'geometric::RRTConnect'}"
22,182.200797081,0.4013309479,RRTConnectkConfigDefault,1,3.1478738785,0.4013309479,1.7025643824,6.8666362611,1,"{'default': 1.2845195671367835, 'type': 'geometric::RRTConnect'}"
23,191.6312580109,0.529458046,RRTConnectkConfigDefault,1,3.5186138153,0.529458046,1.7026045492,7.3804431514,1,"{'default': 1.2848062360273207, 'type': 'geometric::RRTConnect'}"
24,202.8903419971,1.0405819416,RRTConnectkConfigDefault,1,3.0773589611,1.0405819416,1.7029710008,7.5397273758,1,"{'default': 1.2846983083274568, 'type': 'geometric::RRTConnect'}"
25,211.7630689144,0.3125789165,RRTConnectkConfigDefault,1,3.5749139786,0.3125789165,1.7026484745,8.4904153508,1,"{'default': 1.2850765608250498, 'type': 'geometric::RRTConnect'}"
26,220.5331580639,0.4252870083,RRTConnectkConfigDefault,1,2.6076159477,0.4252870083,1.7029163741,6.7271226968,1,"{'default': 1.2849144598531272, 'type': 'geometric::RRTConnect'}"
27,228.8041739464,0.4692659378,RRTConnectkConfigDefault,1,2.8892171383,0.4692659378,1.7029881257,7.8765451908,1,"{'default': 1.2844741428119397, 'type': 'geometric::RRTConnect'}"
28,235.6573779583,0.3378658295,RRTConnectkConfigDefault,1,2.0653791428,0.3378658295,1.7027027301,8.3996038504,1,"{'default': 1.2844977899856935, 'type': 'geometric::RRTConnect'}"
29,242.5794830322,0.2556948662,RRTConnectkConfigDefault,1,2.961742878,0.2556948662,1.7026745759,7.0630406106,1,"{'default': 0.7639646810690628, 'type': 'geometric::RRTConnect'}"
