n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,14.4998760223,0.5613689423,BiTRRTkConfigDefault,1,5.6816921234,0.5613689423,1.7030363932,8.9054261878,1,"{'init_temperature': 0.0005928446182250185, 'temp_change_factor': 0.8442657485810175, 'cost_threshold': 0.29753460654447234, 'range': 12.72405090788347, 'frountier_node_ratio': 0.6235636967859725, 'type': 'geometric::BiTRRT', 'frountier_threshold': 85794.5617622757}"
2,26.947329998,0.5973310471,BiTRRTkConfigDefault,1,6.3468410969,0.5973310471,1.7030836302,8.6335544252,1,"{'init_temperature': 5.6712977317443196e-05, 'temp_change_factor': 0.27265629458011326, 'cost_threshold': 0.8360787635373778, 'range': 12.20131405875485, 'frountier_node_ratio': 0.47997717237505744, 'type': 'geometric::BiTRRT', 'frountier_threshold': 47766.51173213499}"
3,37.8454082012,0.3014688492,BiTRRTkConfigDefault,1,2.9052960873,0.3014688492,1.7031122385,8.3419222833,1,"{'init_temperature': 0.00033739616041726845, 'temp_change_factor': 0.6481718720511973, 'cost_threshold': 0.4736080452737106, 'range': 14.361611868400393, 'frountier_node_ratio': 0.14035078041264518, 'type': 'geometric::BiTRRT', 'frountier_threshold': 36824.1539840548}"
4,39.6336050034,3,BiTRRTkConfigDefault,1,0.0627570152,0.0636131763,0.0002629755,0.000268359,0,"{'init_temperature': 0.0008009107519796444, 'temp_change_factor': 0.5204774795512049, 'cost_threshold': 0.7586156243223574, 'range': 10.83742655541616, 'frountier_node_ratio': 0.5820197920751072, 'type': 'geometric::BiTRRT', 'frountier_threshold': 67887.95301189604}"
5,47.0557742119,0.2063241005,BiTRRTkConfigDefault,1,3.7412619591,0.2063241005,1.7030669628,8.2884278702,1,"{'init_temperature': 0.00010590760718779215, 'temp_change_factor': 0.47360041934665753, 'cost_threshold': 0.32414100779321414, 'range': 11.080080839221477, 'frountier_node_ratio': 0.21655035442437193, 'type': 'geometric::BiTRRT', 'frountier_threshold': 18633.234332676}"
6,55.4921281338,0.2932960987,BiTRRTkConfigDefault,1,3.666230917,0.2932960987,1.7030790902,7.3694068477,1,"{'init_temperature': 0.0001496748671836832, 'temp_change_factor': 0.2223213882515877, 'cost_threshold': 0.9023485831739845, 'range': 13.54871728538813, 'frountier_node_ratio': 0.4499499899112277, 'type': 'geometric::BiTRRT', 'frountier_threshold': 38648.8981125862}"
7,64.357984066,0.6309249401,BiTRRTkConfigDefault,1,3.7021999359,0.6309249401,1.7028457047,8.2327914754,1,"{'init_temperature': 9.928035035897389e-05, 'temp_change_factor': 0.969809067746749, 'cost_threshold': 0.6078306687154679, 'range': 2.646552818527073, 'frountier_node_ratio': 0.35815216696952507, 'type': 'geometric::BiTRRT', 'frountier_threshold': 65314.003579793774}"
8,73.4661312103,0.3383591175,BiTRRTkConfigDefault,1,4.552077055,0.3383591175,1.702879674,8.31306625,1,"{'init_temperature': 0.00032504722900835256, 'temp_change_factor': 0.03842542647273473, 'cost_threshold': 0.9952995676778879, 'range': 14.388344102505355, 'frountier_node_ratio': 0.652790317005491, 'type': 'geometric::BiTRRT', 'frountier_threshold': 63427.40579573352}"
9,82.290033102,0.4384660721,BiTRRTkConfigDefault,1,3.3872539997,0.4384660721,1.7030356269,7.9966812064,1,"{'init_temperature': 0.0005818503294385345, 'temp_change_factor': 0.4143685882263689, 'cost_threshold': 0.31720174206929613, 'range': 9.390300506864838, 'frountier_node_ratio': 0.3380076148388918, 'type': 'geometric::BiTRRT', 'frountier_threshold': 47469.750228841294}"
10,85.8640060425,3,BiTRRTkConfigDefault,1,0.1100769043,0.0672180653,0.0003607164,0.0003677505,0,"{'init_temperature': 0.0007783454820259093, 'temp_change_factor': 0.9495710534507423, 'cost_threshold': 0.971945002499666, 'range': 0.3022173706204365, 'frountier_node_ratio': 0.6228460955466696, 'type': 'geometric::BiTRRT', 'frountier_threshold': 66252.68669500444}"
11,97.1817262173,0.6127297878,BiTRRTkConfigDefault,1,3.9916911125,0.6127297878,1.7031297552,8.8636910168,1,"{'init_temperature': 0.0003286974437041886, 'temp_change_factor': 0.6662570647375706, 'cost_threshold': 0.9647897799887172, 'range': 14.555344301044082, 'frountier_node_ratio': 0.7056439074318906, 'type': 'geometric::BiTRRT', 'frountier_threshold': 18321.02093395385}"
12,107.0185902119,0.4774057865,BiTRRTkConfigDefault,1,2.9842970371,0.4774057865,1.7029216656,7.8658890137,1,"{'init_temperature': 0.0005494662834774941, 'temp_change_factor': 0.18584718474047593, 'cost_threshold': 0.0528906021643122, 'range': 7.433384079339421, 'frountier_node_ratio': 0.175002153891772, 'type': 'geometric::BiTRRT', 'frountier_threshold': 25948.181692532427}"
13,116.8528540134,0.2926399708,BiTRRTkConfigDefault,1,3.7401571274,0.2926399708,1.7026586761,9.0153398749,1,"{'init_temperature': 0.0008864905375699597, 'temp_change_factor': 0.7623615752169224, 'cost_threshold': 0.4197405465340718, 'range': 10.676322208232662, 'frountier_node_ratio': 0.21043426615167443, 'type': 'geometric::BiTRRT', 'frountier_threshold': 33611.62670506891}"
14,125.2196500301,0.241147995,BiTRRTkConfigDefault,1,1.8365559578,0.241147995,1.7030630858,6.6786426796,1,"{'init_temperature': 0.0007376441197078622, 'temp_change_factor': 0.5964868366947564, 'cost_threshold': 0.19547964841808735, 'range': 11.252018102527556, 'frountier_node_ratio': 0.034087729879245805, 'type': 'geometric::BiTRRT', 'frountier_threshold': 33201.40347280432}"
15,133.7743070126,0.2738490105,BiTRRTkConfigDefault,1,2.7993681431,0.2738490105,1.7028751638,6.9477491321,1,"{'init_temperature': 0.0008413219931031421, 'temp_change_factor': 0.5971991518020048, 'cost_threshold': 0.24722828790773693, 'range': 10.587574699243271, 'frountier_node_ratio': 0.20895372195543666, 'type': 'geometric::BiTRRT', 'frountier_threshold': 30710.89207374354}"
16,141.0240051746,0.28906703,BiTRRTkConfigDefault,1,3.5474989414,0.28906703,1.7027149615,8.5034056883,1,"{'init_temperature': 0.0008528700832927038, 'temp_change_factor': 0.6688748452440164, 'cost_threshold': 0.749773024481074, 'range': 10.44846718720494, 'frountier_node_ratio': 0.054638623795741484, 'type': 'geometric::BiTRRT', 'frountier_threshold': 31060.50884387557}"
17,149.5104060173,0.3672528267,BiTRRTkConfigDefault,1,3.4116299152,0.3672528267,1.7030329605,8.9711837263,1,"{'init_temperature': 0.0008072459630843086, 'temp_change_factor': 0.6823519200070736, 'cost_threshold': 0.7064368276412766, 'range': 9.419542765231991, 'frountier_node_ratio': 0.023234245674588875, 'type': 'geometric::BiTRRT', 'frountier_threshold': 53172.692623355484}"
