n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,16.0445380211,1.2136490345,RRTConnectkConfigDefault,1,5.0749051571,1.2136490345,1.7029341283,7.3392297895,1,"{'default': 1.226404774627535, 'type': 'geometric::RRTConnect'}"
2,32.473582983,1.4809780121,RRTConnectkConfigDefault,1,5.5170578957,1.4809780121,1.7028449096,7.3548082877,1,"{'default': 1.7300966734832381, 'type': 'geometric::RRTConnect'}"
3,59.368637085,3.4395959377,RRTConnectkConfigDefault,1,11.803632021,3.4395959377,1.7028868084,8.9092957039,1,"{'default': 1.2847710238933476, 'type': 'geometric::RRTConnect'}"
4,84.9103610516,0.7048909664,RRTConnectkConfigDefault,1,10.3647761345,0.7048909664,1.7030079089,7.5085080579,1,"{'default': 0.6653157524344974, 'type': 'geometric::RRTConnect'}"
5,92.1308619976,0.0847268105,RRTConnectkConfigDefault,1,2.6706399918,0.0847268105,1.7029203258,1.7029203258,1,"{'default': 0.6180469597022151, 'type': 'geometric::RRTConnect'}"
6,116.3206429482,2.3345999718,RRTConnectkConfigDefault,1,6.2206959724,2.3345999718,1.7029575059,7.0260147887,1,"{'default': 1.6431205846734371, 'type': 'geometric::RRTConnect'}"
7,147.2013409138,1.7947909832,RRTConnectkConfigDefault,1,16.1888570786,1.7947909832,1.7030215667,8.9535323082,1,"{'default': 0.8462911125915765, 'type': 'geometric::RRTConnect'}"
8,184.5592930317,1.4413759708,RRTConnectkConfigDefault,1,12.3386819363,1.4413759708,1.703124619,7.1644798211,1,"{'default': 0.7410527047928099, 'type': 'geometric::RRTConnect'}"
9,189.480700016,3,RRTConnectkConfigDefault,1,0.2287969589,0.1625058651,0.0002043474,0.0002085124,0,"{'default': 0.7996589256970412, 'type': 'geometric::RRTConnect'}"
10,203.8912260532,3,RRTConnectkConfigDefault,1,0.0242168903,3.0473349094,0,0,0,"{'default': 0.3666664827840258, 'type': 'geometric::RRTConnect'}"
11,219.4716970921,1.5336139202,RRTConnectkConfigDefault,1,7.8002159595,1.5336139202,1.7030604047,7.3824866453,1,"{'default': 0.30122445365680506, 'type': 'geometric::RRTConnect'}"
12,249.189166069,2.5946350098,RRTConnectkConfigDefault,1,9.0038290024,2.5946350098,1.7027692693,7.5216552781,1,"{'default': 0.19430180481604697, 'type': 'geometric::RRTConnect'}"
13,278.2458760738,1.0618970394,RRTConnectkConfigDefault,1,4.5020089149,1.0618970394,1.7028413464,7.0363742542,1,"{'default': 0.6176667446451517, 'type': 'geometric::RRTConnect'}"
14,295.4062008858,1.0963349342,RRTConnectkConfigDefault,1,5.2426600456,1.0963349342,1.7027624086,6.8917509543,1,"{'default': 0.6178016324137598, 'type': 'geometric::RRTConnect'}"
15,308.1257629395,3,RRTConnectkConfigDefault,1,0.0153541565,2.5105290413,0,0,0,"{'default': 0.6180002734880893, 'type': 'geometric::RRTConnect'}"
16,315.9616880417,0.9534080029,RRTConnectkConfigDefault,1,3.7693929672,0.9534080029,1.7027552303,8.1485479517,1,"{'default': 0.6183130641523061, 'type': 'geometric::RRTConnect'}"
17,332.1626589298,0.6144430637,RRTConnectkConfigDefault,1,6.4096121788,0.6144430637,1.702922784,7.2899400946,1,"{'default': 0.6186440855802655, 'type': 'geometric::RRTConnect'}"
18,347.4352068901,1.1873412132,RRTConnectkConfigDefault,1,3.4222819805,1.1873412132,1.702795785,7.6520410042,1,"{'default': 0.6182911734528571, 'type': 'geometric::RRTConnect'}"
19,365.0982699394,1.0671751499,RRTConnectkConfigDefault,1,5.9040088654,1.0671751499,1.7028570889,7.1596538565,1,"{'default': 0.6177862245625864, 'type': 'geometric::RRTConnect'}"
20,383.2866270542,0.175121069,RRTConnectkConfigDefault,1,5.4124221802,0.175121069,1.7026973372,6.9768619882,1,"{'default': 0.617892320671342, 'type': 'geometric::RRTConnect'}"
21,402.0245349407,1.307970047,RRTConnectkConfigDefault,1,5.3061320782,1.307970047,1.7031531123,7.4220153391,1,"{'default': 0.6179895580304664, 'type': 'geometric::RRTConnect'}"
22,419.7090709209,0.6304709911,RRTConnectkConfigDefault,1,4.0185170174,0.6304709911,1.7030170956,7.0535038058,1,"{'default': 0.6181033167614768, 'type': 'geometric::RRTConnect'}"
23,440.3596179485,0.4342000484,RRTConnectkConfigDefault,1,2.6627628803,0.4342000484,1.7030440243,6.728799551,1,"{'default': 0.6180732789721619, 'type': 'geometric::RRTConnect'}"
24,449.9893989563,0.5242979527,RRTConnectkConfigDefault,1,2.8891279697,0.5242979527,1.7028321067,7.6611419169,1,"{'default': 0.6182066453994228, 'type': 'geometric::RRTConnect'}"
25,461.2120280266,1.3117320538,RRTConnectkConfigDefault,1,3.7912790775,1.3117320538,1.7030197262,8.5244687675,1,"{'default': 0.6181529961058648, 'type': 'geometric::RRTConnect'}"
26,471.1476988792,1.2533960342,RRTConnectkConfigDefault,1,2.7572779655,1.2533960342,1.7027629352,8.1936552649,1,"{'default': 0.6177607480983173, 'type': 'geometric::RRTConnect'}"
27,485.5438718796,0.6498541832,RRTConnectkConfigDefault,1,6.8224511147,0.6498541832,1.7026395088,7.2212787926,1,"{'default': 0.6179471508413034, 'type': 'geometric::RRTConnect'}"
28,504.4546060562,0.8585970402,RRTConnectkConfigDefault,1,5.8197100163,0.8585970402,1.7029181422,7.4314812005,1,"{'default': 0.6180738441471203, 'type': 'geometric::RRTConnect'}"
29,511.2577669621,3,RRTConnectkConfigDefault,1,0.1741900444,0.0806698799,0.0001754142,0.0001797584,0,"{'default': 0.6181064409783913, 'type': 'geometric::RRTConnect'}"
30,533.0337231159,0.8309350014,RRTConnectkConfigDefault,1,6.586607933,0.8309350014,1.7027357502,8.8132791765,1,"{'default': 0.6179453536174205, 'type': 'geometric::RRTConnect'}"
31,575.7573111057,3.772356987,RRTConnectkConfigDefault,1,15.9212641716,3.772356987,1.702631883,8.2488663181,1,"{'default': 0.6179216851145932, 'type': 'geometric::RRTConnect'}"
