n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,19.0858159065,2.3215360641,RRTConnectkConfigDefault,1,6.683246851,2.3215360641,1.7028975098,6.7763154693,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
2,36.2788619995,1.1312110424,RRTConnectkConfigDefault,1,7.0274908543,1.1312110424,1.7028783614,8.3344334672,1,"{'default': 0.5, 'type': 'geometric::RRTConnect'}"
3,55.7734150887,1.0557858944,RRTConnectkConfigDefault,1,6.7394571304,1.0557858944,1.7029230497,7.6758387585,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
4,82.5095648766,1.8438720703,RRTConnectkConfigDefault,1,8.257078886,1.8438720703,1.702901001,8.8133343092,1,"{'default': 1.2000000000000002, 'type': 'geometric::RRTConnect'}"
5,102.073704958,0.7079670429,RRTConnectkConfigDefault,1,8.5632889271,0.7079670429,1.7029195303,8.7371032142,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
6,106.627726078,3,RRTConnectkConfigDefault,1,0.2245578766,0.1141490936,0.0004252092,0.0004309784,0,"{'default': 1.0, 'type': 'geometric::RRTConnect'}"
7,132.8427550793,0.8186478615,RRTConnectkConfigDefault,1,11.8580861092,0.8186478615,1.7028509888,7.9187593178,1,"{'default': 0.30000000000000004, 'type': 'geometric::RRTConnect'}"
8,164.3476669788,2.6694600582,RRTConnectkConfigDefault,1,11.474189043,2.6694600582,1.7027268181,8.1488264696,1,"{'default': 0.6000000000000001, 'type': 'geometric::RRTConnect'}"
9,188.7184329033,0.9782021046,RRTConnectkConfigDefault,1,9.9079020023,0.9782021046,1.7027994843,6.885306075,1,"{'default': 1.0, 'type': 'geometric::RRTConnect'}"
10,214.7894399166,2.9574050903,RRTConnectkConfigDefault,1,11.3687889576,2.9574050903,1.7027264198,7.7785599581,1,"{'default': 1.9000000000000001, 'type': 'geometric::RRTConnect'}"
11,241.3543460369,1.9869058132,RRTConnectkConfigDefault,1,11.505022049,1.9869058132,1.7029782604,6.8286005387,1,"{'default': 1.2000000000000002, 'type': 'geometric::RRTConnect'}"
12,265.5532460213,1.1894328594,RRTConnectkConfigDefault,1,9.0408411026,1.1894328594,1.702851611,7.9858354027,1,"{'default': 0.2, 'type': 'geometric::RRTConnect'}"
13,294.1555480957,3.1359210014,RRTConnectkConfigDefault,1,12.0304939747,3.1359210014,1.7030514841,8.5619402289,1,"{'default': 0.1, 'type': 'geometric::RRTConnect'}"
14,319.8849620819,1.3990979195,RRTConnectkConfigDefault,1,9.7172319889,1.3990979195,1.7028542743,7.4380494024,1,"{'default': 0.4, 'type': 'geometric::RRTConnect'}"
15,345.2373380661,2.3140320778,RRTConnectkConfigDefault,1,12.8526711464,2.3140320778,1.702873125,7.8549380911,1,"{'default': 0.6000000000000001, 'type': 'geometric::RRTConnect'}"
16,375.4705820084,0.6942400932,RRTConnectkConfigDefault,1,10.4743938446,0.6942400932,1.7029517666,8.2060140987,1,"{'default': 1.8, 'type': 'geometric::RRTConnect'}"
17,382.4665360451,3,RRTConnectkConfigDefault,1,0.8627588749,1.2686588764,0.0004047671,0.0004112775,0,"{'default': 1.2000000000000002, 'type': 'geometric::RRTConnect'}"
18,411.5159480572,0.8131978512,RRTConnectkConfigDefault,1,8.474216938,0.8131978512,1.7027871821,9.2219574253,1,"{'default': 1.8, 'type': 'geometric::RRTConnect'}"
19,430.3243699074,3,RRTConnectkConfigDefault,1,0.016220808,3.0226249695,0,0,0,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
20,443.7876908779,1.3129808903,RRTConnectkConfigDefault,1,10.4511260986,1.3129808903,1.702874483,8.2138060954,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
21,459.6697659493,1.0324201584,RRTConnectkConfigDefault,1,5.598154068,1.0324201584,1.7030583978,6.9100714553,1,"{'default': 1.5, 'type': 'geometric::RRTConnect'}"
22,478.8320028782,0.9862148762,RRTConnectkConfigDefault,1,6.6940867901,0.9862148762,1.7027663995,7.1738636181,1,"{'default': 0.2, 'type': 'geometric::RRTConnect'}"
23,494.710144043,1.2668430805,RRTConnectkConfigDefault,1,6.9170098305,1.2668430805,1.7027049766,7.4368544793,1,"{'default': 1.1, 'type': 'geometric::RRTConnect'}"
24,521.832611084,2.6729710102,RRTConnectkConfigDefault,1,8.5450570583,2.6729710102,1.7028149973,8.5340980685,1,"{'default': 1.1, 'type': 'geometric::RRTConnect'}"
25,538.0550079346,2.5965061188,RRTConnectkConfigDefault,1,5.8241200447,2.5965061188,1.7029528461,7.0463959878,1,"{'default': 1.1, 'type': 'geometric::RRTConnect'}"
26,554.5111379623,1.1991279125,RRTConnectkConfigDefault,1,6.6593608856,1.1991279125,1.702931602,8.9193693872,1,"{'default': 0.6000000000000001, 'type': 'geometric::RRTConnect'}"
27,569.5210499763,1.5992200375,RRTConnectkConfigDefault,1,4.8587059975,1.5992200375,1.7029510041,8.5312569486,1,"{'default': 0.2, 'type': 'geometric::RRTConnect'}"
28,584.9704699516,0.672852993,RRTConnectkConfigDefault,1,7.0608029366,0.672852993,1.7030027393,6.8773166495,1,"{'default': 0.2, 'type': 'geometric::RRTConnect'}"
29,600.7177450657,0.7204630375,RRTConnectkConfigDefault,1,6.4735598564,0.7204630375,1.702578475,7.7287120909,1,"{'default': 0.8, 'type': 'geometric::RRTConnect'}"
30,616.0825440884,0.5735678673,RRTConnectkConfigDefault,1,4.6645309925,0.5735678673,1.7028650676,8.0495172038,1,"{'default': 1.1, 'type': 'geometric::RRTConnect'}"
31,618.5376369953,3,RRTConnectkConfigDefault,1,0.1501049995,0.197573185,0.0002174908,0.00022181,0,"{'default': 1.0, 'type': 'geometric::RRTConnect'}"
32,629.8312439919,3,RRTConnectkConfigDefault,1,0.0480411053,3.0160479546,0,0,0,"{'default': 1.6, 'type': 'geometric::RRTConnect'}"
33,638.6905019283,1.4189059734,RRTConnectkConfigDefault,1,5.6489908695,1.4189059734,1.7026066947,7.0009612447,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
34,641.6026809216,3,RRTConnectkConfigDefault,1,0.1701109409,0.1068179607,0.000209875,0.000213867,0,"{'default': 1.0, 'type': 'geometric::RRTConnect'}"
35,655.9153680801,1.31493783,RRTConnectkConfigDefault,1,6.9846818447,1.31493783,1.7028203845,7.5957667292,1,"{'default': 0.5, 'type': 'geometric::RRTConnect'}"
36,660.4920110703,3,RRTConnectkConfigDefault,1,0.1456949711,0.1607201099,0.0003536275,0.0003587258,0,"{'default': 0.2, 'type': 'geometric::RRTConnect'}"
37,677.3032119274,0.8133268356,RRTConnectkConfigDefault,1,4.7725889683,0.8133268356,1.7027185,6.7175506847,1,"{'default': 1.7000000000000002, 'type': 'geometric::RRTConnect'}"
38,691.1321890354,0.5684900284,RRTConnectkConfigDefault,1,5.3109169006,0.5684900284,1.702970926,7.195003048,1,"{'default': 1.0, 'type': 'geometric::RRTConnect'}"
39,707.6725850105,0.782957077,RRTConnectkConfigDefault,1,4.500015974,0.782957077,1.7026161865,8.4517754976,1,"{'default': 1.5, 'type': 'geometric::RRTConnect'}"
40,723.0682139397,0.8087530136,RRTConnectkConfigDefault,1,6.7385950089,0.8087530136,1.7027585429,7.0769301201,1,"{'default': 0.30000000000000004, 'type': 'geometric::RRTConnect'}"
41,737.2112219334,0.7398109436,RRTConnectkConfigDefault,1,6.4266228676,0.7398109436,1.7029215233,9.9062927297,1,"{'default': 0.5, 'type': 'geometric::RRTConnect'}"
42,752.1468229294,0.9799790382,RRTConnectkConfigDefault,1,5.8486118317,0.9799790382,1.7029116844,8.0077953147,1,"{'default': 1.8, 'type': 'geometric::RRTConnect'}"
43,774.6171960831,1.8804008961,RRTConnectkConfigDefault,1,7.2590138912,1.8804008961,1.702727393,8.8037694943,1,"{'default': 1.0, 'type': 'geometric::RRTConnect'}"
44,797.0208580494,0.5333101749,RRTConnectkConfigDefault,1,7.2570228577,0.5333101749,1.7026911765,6.8989075528,1,"{'default': 0.2, 'type': 'geometric::RRTConnect'}"
45,813.0419290066,1.2060189247,RRTConnectkConfigDefault,1,5.6571309566,1.2060189247,1.7026970613,8.04284614,1,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
46,829.6855039597,0.4680509567,RRTConnectkConfigDefault,1,5.7692639828,0.4680509567,1.7028431105,7.7357713684,1,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
47,847.8019249439,0.5162129402,RRTConnectkConfigDefault,1,6.9544610977,0.5162129402,1.7027467156,8.3253441835,1,"{'default': 0.7000000000000001, 'type': 'geometric::RRTConnect'}"
48,850.8837709427,3,RRTConnectkConfigDefault,1,0.1764369011,0.0626909733,0.0002832779,0.0002890083,0,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
49,867.0356869698,0.9701778889,RRTConnectkConfigDefault,1,8.7159261703,0.9701778889,1.7028319077,9.4994170609,1,"{'default': 1.8, 'type': 'geometric::RRTConnect'}"
50,879.8183290958,0.4532079697,RRTConnectkConfigDefault,1,4.5363478661,0.4532079697,1.702842765,7.1711309933,1,"{'default': 1.0, 'type': 'geometric::RRTConnect'}"
51,897.7006468773,1.3214719296,RRTConnectkConfigDefault,1,5.330288887,1.3214719296,1.7028636884,8.890749096,1,"{'default': 1.9000000000000001, 'type': 'geometric::RRTConnect'}"
