n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,6.2721989155,3,BKPIECEkConfigDefault,1,0.0881481171,3.0139119625,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.8442657485810175, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 12.72405090788347, 'failed_expansion_score_factor': 0.6235636967859725, 'min_valid_path_fraction': 0.38438170729269994, 'type': 'geometric::BKPIECE'}"
2,11.0043969154,3,BKPIECEkConfigDefault,1,0.1368439198,3.0144231319,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.27265629458011326, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 12.20131405875485, 'failed_expansion_score_factor': 0.47997717237505744, 'min_valid_path_fraction': 0.39278479610082984, 'type': 'geometric::BKPIECE'}"
3,15.7872698307,3,BKPIECEkConfigDefault,1,0.0271229744,3.0295979977,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6481718720511973, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 14.361611868400393, 'failed_expansion_score_factor': 0.14035078041264518, 'min_valid_path_fraction': 0.8700872583584366, 'type': 'geometric::BKPIECE'}"
4,28.2173628807,2.9663848877,BKPIECEkConfigDefault,1,6.1591210365,2.9663848877,1.7030146,7.6174211901,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.5204774795512049, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 10.83742655541616, 'failed_expansion_score_factor': 0.5820197920751072, 'min_valid_path_fraction': 0.5373732294490108, 'type': 'geometric::BKPIECE'}"
5,33.8244309425,3,BKPIECEkConfigDefault,1,0.179623127,1.4171969891,0.0004041413,0.000412066,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.47360041934665753, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 11.080080839221477, 'failed_expansion_score_factor': 0.21655035442437193, 'min_valid_path_fraction': 0.13521817340545209, 'type': 'geometric::BKPIECE'}"
6,38.9214468002,3,BKPIECEkConfigDefault,1,0.2018401623,0.9419689178,0.0001926049,0.0001999409,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.2223213882515877, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 13.54871728538813, 'failed_expansion_score_factor': 0.4499499899112277, 'min_valid_path_fraction': 0.6130634578841325, 'type': 'geometric::BKPIECE'}"
7,43.7225298882,3,BKPIECEkConfigDefault,1,0.1766769886,0.7950391769,0.0002131066,0.0002188792,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.969809067746749, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 2.646552818527073, 'failed_expansion_score_factor': 0.35815216696952507, 'min_valid_path_fraction': 0.7506861412184564, 'type': 'geometric::BKPIECE'}"
8,48.4358577728,3,BKPIECEkConfigDefault,1,0.1156001091,0.2280311584,0.0002593545,0.0002644975,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.03842542647273473, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 14.388344102505355, 'failed_expansion_score_factor': 0.652790317005491, 'min_valid_path_fraction': 0.635058873603564, 'type': 'geometric::BKPIECE'}"
9,54.6753578186,3,BKPIECEkConfigDefault,1,0.1672508717,1.9306070805,0.0001594114,0.0001631541,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.4143685882263689, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 9.390300506864838, 'failed_expansion_score_factor': 0.3380076148388918, 'min_valid_path_fraction': 0.6747523222590208, 'type': 'geometric::BKPIECE'}"
10,69.8006367683,3,BKPIECEkConfigDefault,1,0.0047359467,3.0202600956,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.9495710534507423, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.3022173706204365, 'failed_expansion_score_factor': 0.6228460955466696, 'min_valid_path_fraction': 0.6736596308357895, 'type': 'geometric::BKPIECE'}"
