n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,15.9668629169,0.7660961151,BiTRRTkConfigDefault,1,5.9295120239,0.7660961151,1.7027971437,7.4993472766,1,"{'init_temperature': 0.0005928446182250185, 'temp_change_factor': 0.8442657485810175, 'cost_threshold': 0.29753460654447234, 'range': 12.72405090788347, 'frountier_node_ratio': 0.6235636967859725, 'type': 'geometric::BiTRRT', 'frountier_threshold': 85794.5617622757}"
2,29.7473509312,1.5630319118,BiTRRTkConfigDefault,1,3.480383873,1.5630319118,1.7029496541,7.4637340325,1,"{'init_temperature': 5.6712977317443196e-05, 'temp_change_factor': 0.27265629458011326, 'cost_threshold': 0.8360787635373778, 'range': 12.20131405875485, 'frountier_node_ratio': 0.47997717237505744, 'type': 'geometric::BiTRRT', 'frountier_threshold': 47766.51173213499}"
3,44.9372348785,1.0775289536,BiTRRTkConfigDefault,1,5.6497809887,1.0775289536,1.7028943147,7.4060866065,1,"{'init_temperature': 0.00033739616041726845, 'temp_change_factor': 0.6481718720511973, 'cost_threshold': 0.4736080452737106, 'range': 14.361611868400393, 'frountier_node_ratio': 0.14035078041264518, 'type': 'geometric::BiTRRT', 'frountier_threshold': 36824.1539840548}"
4,60.9111299515,0.7755851746,BiTRRTkConfigDefault,1,6.0267710686,0.7755851746,1.7026539893,9.4138694757,1,"{'init_temperature': 0.0008009107519796444, 'temp_change_factor': 0.5204774795512049, 'cost_threshold': 0.7586156243223574, 'range': 10.83742655541616, 'frountier_node_ratio': 0.5820197920751072, 'type': 'geometric::BiTRRT', 'frountier_threshold': 67887.95301189604}"
5,72.8360009193,0.5113389492,BiTRRTkConfigDefault,1,3.3280701637,0.5113389492,1.7029083513,7.2718677938,1,"{'init_temperature': 0.00010590760718779215, 'temp_change_factor': 0.47360041934665753, 'cost_threshold': 0.32414100779321414, 'range': 11.080080839221477, 'frountier_node_ratio': 0.21655035442437193, 'type': 'geometric::BiTRRT', 'frountier_threshold': 18633.234332676}"
6,88.64843297,1.7030169964,BiTRRTkConfigDefault,1,4.6901211739,1.7030169964,1.7025971442,7.5915982501,1,"{'init_temperature': 0.0001496748671836832, 'temp_change_factor': 0.2223213882515877, 'cost_threshold': 0.9023485831739845, 'range': 13.54871728538813, 'frountier_node_ratio': 0.4499499899112277, 'type': 'geometric::BiTRRT', 'frountier_threshold': 38648.8981125862}"
7,105.0208179951,1.3657541275,BiTRRTkConfigDefault,1,7.964138031,1.3657541275,1.7026985131,8.673535188,1,"{'init_temperature': 9.928035035897389e-05, 'temp_change_factor': 0.969809067746749, 'cost_threshold': 0.6078306687154679, 'range': 2.646552818527073, 'frountier_node_ratio': 0.35815216696952507, 'type': 'geometric::BiTRRT', 'frountier_threshold': 65314.003579793774}"
8,124.1033248901,1.4879808426,BiTRRTkConfigDefault,1,7.4589779377,1.4879808426,1.7028470281,9.3208306509,1,"{'init_temperature': 0.00032504722900835256, 'temp_change_factor': 0.03842542647273473, 'cost_threshold': 0.9952995676778879, 'range': 14.388344102505355, 'frountier_node_ratio': 0.652790317005491, 'type': 'geometric::BiTRRT', 'frountier_threshold': 63427.40579573352}"
9,137.5186350346,0.9225149155,BiTRRTkConfigDefault,1,4.8108179569,0.9225149155,1.7028283656,7.4680549361,1,"{'init_temperature': 0.0005818503294385345, 'temp_change_factor': 0.4143685882263689, 'cost_threshold': 0.31720174206929613, 'range': 9.390300506864838, 'frountier_node_ratio': 0.3380076148388918, 'type': 'geometric::BiTRRT', 'frountier_threshold': 47469.750228841294}"
10,141.4198148251,3,BiTRRTkConfigDefault,1,0.1158130169,0.0232050419,0.0002190859,0.00022454,0,"{'init_temperature': 0.0007783454820259093, 'temp_change_factor': 0.9495710534507423, 'cost_threshold': 0.971945002499666, 'range': 0.3022173706204365, 'frountier_node_ratio': 0.6228460955466696, 'type': 'geometric::BiTRRT', 'frountier_threshold': 66252.68669500444}"
11,158.8892889023,3.3366549015,BiTRRTkConfigDefault,1,4.3225419521,3.3366549015,1.7029766918,7.4005004166,1,"{'init_temperature': 0.0006122380088432652, 'temp_change_factor': 0.9296699403005355, 'cost_threshold': 0.39383370816430296, 'range': 8.957847851261612, 'frountier_node_ratio': 0.8891994233099703, 'type': 'geometric::BiTRRT', 'frountier_threshold': 87166.75560567802}"
12,176.8080048561,0.6474499702,BiTRRTkConfigDefault,1,4.7523970604,0.6474499702,1.7026147349,7.000100394,1,"{'init_temperature': 0.0007146995298124546, 'temp_change_factor': 0.6426976326469872, 'cost_threshold': 0.06178865769409615, 'range': 10.671542386923395, 'frountier_node_ratio': 0.08840181019306627, 'type': 'geometric::BiTRRT', 'frountier_threshold': 91192.23137908628}"
13,195.1294038296,0.9756250381,BiTRRTkConfigDefault,1,5.7074439526,0.9756250381,1.702595458,7.0634172571,1,"{'init_temperature': 0.0007489898478222598, 'temp_change_factor': 0.8720467310671042, 'cost_threshold': 0.292211242699079, 'range': 11.1194672627153, 'frountier_node_ratio': 0.07962187436217506, 'type': 'geometric::BiTRRT', 'frountier_threshold': 83233.12143481415}"
14,213.3028068542,0.7680571079,BiTRRTkConfigDefault,1,6.3822588921,0.7680571079,1.7028542552,8.0481650029,1,"{'init_temperature': 0.0009565301956118877, 'temp_change_factor': 0.6490797125854717, 'cost_threshold': 0.17324341046917893, 'range': 11.04763283388873, 'frountier_node_ratio': 0.843609251292067, 'type': 'geometric::BiTRRT', 'frountier_threshold': 69843.0637747774}"
15,235.8979859352,2.987251997,BiTRRTkConfigDefault,1,5.9522809982,2.987251997,1.7029829843,8.1940514016,1,"{'init_temperature': 0.0009344746597210521, 'temp_change_factor': 0.7940148635100688, 'cost_threshold': 0.16380027284490475, 'range': 10.464265658132403, 'frountier_node_ratio': 0.705283753129534, 'type': 'geometric::BiTRRT', 'frountier_threshold': 51885.266869677456}"
16,255.2046639919,0.7284061909,BiTRRTkConfigDefault,1,4.7633340359,0.7284061909,1.70274172,6.9862532502,1,"{'init_temperature': 0.0009688219372220423, 'temp_change_factor': 0.6243820941502368, 'cost_threshold': 0.0841238763112926, 'range': 11.615968108766332, 'frountier_node_ratio': 0.9190452573769297, 'type': 'geometric::BiTRRT', 'frountier_threshold': 77436.0422071346}"
17,273.6299538612,0.701513052,BiTRRTkConfigDefault,1,4.4117970467,0.701513052,1.7026716065,8.6540160071,1,"{'init_temperature': 0.0009965539664035013, 'temp_change_factor': 0.5886557115617781, 'cost_threshold': 0.20803532331800484, 'range': 9.89501411934715, 'frountier_node_ratio': 0.9292028700421253, 'type': 'geometric::BiTRRT', 'frountier_threshold': 83225.00386439386}"
18,282.7538719177,3,BiTRRTkConfigDefault,1,0.1799798012,0.094452858,0.0001319487,0.0001346572,0,"{'init_temperature': 0.0009695095066817575, 'temp_change_factor': 0.5763966774026567, 'cost_threshold': 0.14369137872403095, 'range': 0.5569858620339414, 'frountier_node_ratio': 0.8405549285296635, 'type': 'geometric::BiTRRT', 'frountier_threshold': 90066.60614434569}"
19,306.0998649597,2.082654953,BiTRRTkConfigDefault,1,7.4643719196,2.082654953,1.7028697274,8.7581356103,1,"{'init_temperature': 0.0008829387751946653, 'temp_change_factor': 0.6479120059635645, 'cost_threshold': 0.10040042309682887, 'range': 13.128807744315546, 'frountier_node_ratio': 0.9048963451542409, 'type': 'geometric::BiTRRT', 'frountier_threshold': 98346.85351967621}"
20,324.9996299744,0.3284740448,BiTRRTkConfigDefault,1,5.713465929,0.3284740448,1.7028443163,8.7760707516,1,"{'init_temperature': 0.0006729447215302853, 'temp_change_factor': 0.9934171616005949, 'cost_threshold': 0.24976594187517603, 'range': 9.56530206702924, 'frountier_node_ratio': 0.15616384449265988, 'type': 'geometric::BiTRRT', 'frountier_threshold': 90582.94133146589}"
21,340.9356648922,3.5190899372,BiTRRTkConfigDefault,1,5.1134860516,3.5190899372,1.7028356817,7.1463425627,1,"{'init_temperature': 0.0009724940155977365, 'temp_change_factor': 0.8531205074017397, 'cost_threshold': 0.2557109798129214, 'range': 6.524273523625295, 'frountier_node_ratio': 0.23202323919173568, 'type': 'geometric::BiTRRT', 'frountier_threshold': 83213.86084378463}"
22,360.1422438622,1.2332699299,BiTRRTkConfigDefault,1,4.6526770592,1.2332699299,1.7028727889,6.8214254955,1,"{'init_temperature': 0.0006130180001197138, 'temp_change_factor': 0.8373748664448967, 'cost_threshold': 0.21159925265832097, 'range': 8.894688495854021, 'frountier_node_ratio': 0.19570724326634154, 'type': 'geometric::BiTRRT', 'frountier_threshold': 95119.39717462975}"
23,366.4772558212,3,BiTRRTkConfigDefault,1,0.1347448826,0.324641943,0.000288589,0.0002957991,0,"{'init_temperature': 0.0007350269863460083, 'temp_change_factor': 0.819126783204115, 'cost_threshold': 0.3101105151529839, 'range': 9.328831154305352, 'frountier_node_ratio': 0.18178774149709667, 'type': 'geometric::BiTRRT', 'frountier_threshold': 52830.00373143269}"
24,383.3160538673,0.8934509754,BiTRRTkConfigDefault,1,4.9605901241,0.8934509754,1.7026804531,7.3953621788,1,"{'init_temperature': 0.0006508836121464816, 'temp_change_factor': 0.9898612057379993, 'cost_threshold': 0.09130885987017891, 'range': 9.117254077630323, 'frountier_node_ratio': 0.04225991486959125, 'type': 'geometric::BiTRRT', 'frountier_threshold': 86563.40925716628}"
25,399.5763978958,1.2818129063,BiTRRTkConfigDefault,1,4.2662799358,1.2818129063,1.7030234825,7.206930842,1,"{'init_temperature': 0.0001973206904002687, 'temp_change_factor': 0.9929816028083399, 'cost_threshold': 0.3974765507333713, 'range': 9.617232551396995, 'frountier_node_ratio': 0.0205595127747521, 'type': 'geometric::BiTRRT', 'frountier_threshold': 98105.87918992304}"
26,417.1408150196,0.8461670876,BiTRRTkConfigDefault,1,5.1728680134,0.8461670876,1.7028016087,8.501748916,1,"{'init_temperature': 0.0009184885435263207, 'temp_change_factor': 0.5862040839753093, 'cost_threshold': 0.22658409244168792, 'range': 9.580825306732974, 'frountier_node_ratio': 0.26054265216230316, 'type': 'geometric::BiTRRT', 'frountier_threshold': 83267.59561251882}"
27,437.0790579319,0.6023571491,BiTRRTkConfigDefault,1,6.6894619465,0.6023571491,1.7027418538,8.6718935675,1,"{'init_temperature': 0.0008214145931743287, 'temp_change_factor': 0.4575207222152302, 'cost_threshold': 0.4755697503679882, 'range': 8.799164486932066, 'frountier_node_ratio': 0.1737467587251861, 'type': 'geometric::BiTRRT', 'frountier_threshold': 80887.53291283434}"
28,455.020898819,0.8398420811,BiTRRTkConfigDefault,1,6.352658987,0.8398420811,1.7028489577,8.4751728421,1,"{'init_temperature': 0.0007215052165693153, 'temp_change_factor': 0.47828535275247885, 'cost_threshold': 0.5066699754074256, 'range': 7.643033261387297, 'frountier_node_ratio': 0.22909855725862033, 'type': 'geometric::BiTRRT', 'frountier_threshold': 94309.51780510874}"
