n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,7.6203579903,1.0473108292,RRTConnectkConfigDefault,1,5.7113311291,1.0473108292,1.7031779349,8.5634176659,1,"{'range': 8.933384811552774, 'type': 'geometric::RRTConnect'}"
2,18.9165999889,0.5186009407,RRTConnectkConfigDefault,1,6.5354819298,0.5186009407,1.7027177153,8.8571516416,1,"{'range': 12.883389702579077, 'type': 'geometric::RRTConnect'}"
3,33.5978209972,0.9285721779,RRTConnectkConfigDefault,1,5.7684710026,0.9285721779,1.7030871411,8.8863639123,1,"{'range': 9.391099082110989, 'type': 'geometric::RRTConnect'}"
4,48.0014429092,0.787954092,RRTConnectkConfigDefault,1,6.260807991,0.787954092,1.7027764717,7.99914437,1,"{'range': 4.5332656375126374, 'type': 'geometric::RRTConnect'}"
5,62.8995790482,0.6285979748,RRTConnectkConfigDefault,1,5.1560058594,0.6285979748,1.7027919958,7.0155387664,1,"{'range': 4.162578789243687, 'type': 'geometric::RRTConnect'}"
6,78.4069449902,0.3689129353,RRTConnectkConfigDefault,1,7.4313328266,0.3689129353,1.7028102302,8.7198446627,1,"{'range': 12.20131405875485, 'type': 'geometric::RRTConnect'}"
7,91.7492308617,0.6876490116,RRTConnectkConfigDefault,1,5.8035609722,0.6876490116,1.7028809741,7.7232159036,1,"{'range': 5.952493461902363, 'type': 'geometric::RRTConnect'}"
8,106.1486918926,1.2540719509,RRTConnectkConfigDefault,1,4.5246660709,1.2540719509,1.7029380589,6.5461304235,1,"{'range': 5.127202790217299, 'type': 'geometric::RRTConnect'}"
9,118.2142419815,0.443625927,RRTConnectkConfigDefault,1,5.0918910503,0.443625927,1.702987897,7.3216047558,1,"{'range': 5.586798943624165, 'type': 'geometric::RRTConnect'}"
10,132.2953238487,0.6902339458,RRTConnectkConfigDefault,1,6.2620630264,0.6902339458,1.7028078446,7.5285804067,1,"{'range': 2.191226628148413, 'type': 'geometric::RRTConnect'}"
11,142.3816030025,3,RRTConnectkConfigDefault,1,0.0353779793,1.2654190063,0,0,0,"{'range': 12.0335702044967, 'type': 'geometric::RRTConnect'}"
12,150.7521648407,0.5144438744,RRTConnectkConfigDefault,1,5.1697239876,0.5144438744,1.7028246692,7.087637115,1,"{'range': 13.514814079871453, 'type': 'geometric::RRTConnect'}"
13,156.0821540356,3,RRTConnectkConfigDefault,1,0.0914709568,0.08086586,0.0003473757,0.0003528655,0,"{'range': 13.755115077925867, 'type': 'geometric::RRTConnect'}"
14,170.8193149567,0.9965009689,RRTConnectkConfigDefault,1,6.4475710392,0.9965009689,1.7028769743,9.4539309332,1,"{'range': 12.472052272187206, 'type': 'geometric::RRTConnect'}"
15,182.2437889576,0.365650177,RRTConnectkConfigDefault,1,4.1126050949,0.365650177,1.7028892213,8.4393991955,1,"{'range': 12.33237063648906, 'type': 'geometric::RRTConnect'}"
16,193.3006470203,0.4987409115,RRTConnectkConfigDefault,1,4.8480849266,0.4987409115,1.7028586636,9.8895707511,1,"{'range': 12.306469459037377, 'type': 'geometric::RRTConnect'}"
17,204.2790579796,0.6957118511,RRTConnectkConfigDefault,1,3.6947240829,0.6957118511,1.7030862995,8.4331469642,1,"{'range': 12.367256881940833, 'type': 'geometric::RRTConnect'}"
18,215.5443849564,0.3389489651,RRTConnectkConfigDefault,1,4.00659585,0.3389489651,1.7028327686,7.6250555659,1,"{'range': 12.340849166931287, 'type': 'geometric::RRTConnect'}"
19,224.6294119358,0.4327161312,RRTConnectkConfigDefault,1,3.5874080658,0.4327161312,1.7026958504,8.278539366,1,"{'range': 12.166586653514864, 'type': 'geometric::RRTConnect'}"
20,238.3116958141,0.2871100903,RRTConnectkConfigDefault,1,4.4722690582,0.2871100903,1.7028345805,7.2478174513,1,"{'range': 12.101377693123164, 'type': 'geometric::RRTConnect'}"
21,253.9144098759,0.2340471745,RRTConnectkConfigDefault,1,7.0072300434,0.2340471745,1.7026755124,6.7766862231,1,"{'range': 12.089712071888608, 'type': 'geometric::RRTConnect'}"
22,271.7098870277,0.4844651222,RRTConnectkConfigDefault,1,6.7388989925,0.4844651222,1.7027545339,8.840391812,1,"{'range': 12.067261294893456, 'type': 'geometric::RRTConnect'}"
23,288.1864440441,0.9587540627,RRTConnectkConfigDefault,1,6.7121710777,0.9587540627,1.7027124422,7.6288483547,1,"{'range': 12.052880267327916, 'type': 'geometric::RRTConnect'}"
24,308.4198110104,0.9879059792,RRTConnectkConfigDefault,1,7.5001020432,0.9879059792,1.7028531761,9.885046623,1,"{'range': 12.596754017068223, 'type': 'geometric::RRTConnect'}"
25,325.2832849026,0.6021709442,RRTConnectkConfigDefault,1,5.8866000175,0.6021709442,1.7027444586,7.119314262,1,"{'range': 12.064671887283179, 'type': 'geometric::RRTConnect'}"
26,344.2801299095,0.4907560349,RRTConnectkConfigDefault,1,7.1216189861,0.4907560349,1.7030008288,8.4562485145,1,"{'range': 13.253955728337479, 'type': 'geometric::RRTConnect'}"
27,359.320417881,0.6332309246,RRTConnectkConfigDefault,1,5.1205708981,0.6332309246,1.7026646743,7.5117586999,1,"{'range': 14.977418861414924, 'type': 'geometric::RRTConnect'}"
28,362.5084149838,3,RRTConnectkConfigDefault,1,0.0605831146,0.0601170063,0.0002414711,0.0002479095,0,"{'range': 14.591906017922417, 'type': 'geometric::RRTConnect'}"
29,375.9606518745,0.2486479282,RRTConnectkConfigDefault,1,5.1117479801,0.2486479282,1.7027608496,7.4008706632,1,"{'range': 13.444786984008262, 'type': 'geometric::RRTConnect'}"
30,388.8992068768,0.3216199875,RRTConnectkConfigDefault,1,4.0786538124,0.3216199875,1.7027936795,8.4320631037,1,"{'range': 13.58857862393469, 'type': 'geometric::RRTConnect'}"
31,397.1263699532,0.4163239002,RRTConnectkConfigDefault,1,2.4716370106,0.4163239002,1.7029285511,7.0029846726,1,"{'range': 13.6195428011414, 'type': 'geometric::RRTConnect'}"
32,407.1175508499,0.3396060467,RRTConnectkConfigDefault,1,3.7173800468,0.3396060467,1.7028463816,8.5949121034,1,"{'range': 13.59975522757818, 'type': 'geometric::RRTConnect'}"
33,415.9168138504,0.9478337765,RRTConnectkConfigDefault,1,2.5685310364,0.9478337765,1.7029058302,6.8493598467,1,"{'range': 13.606160448111323, 'type': 'geometric::RRTConnect'}"
34,424.5126960278,0.7560970783,RRTConnectkConfigDefault,1,2.7255630493,0.7560970783,1.7027116911,6.6977815318,1,"{'range': 13.639455697951218, 'type': 'geometric::RRTConnect'}"
35,430.9377360344,3,RRTConnectkConfigDefault,1,0.0105578899,1.0323729515,0,0,0,"{'range': 13.626160449738034, 'type': 'geometric::RRTConnect'}"
