n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,6.5930919647,0.7190690041,BKPIECEkConfigDefault,1,2.0534040928,0.7190690041,1.7030876463,7.8931731703,1,"{'border_fraction': 0.2368531091112196, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.6545620604062943, 'failed_expansion_score_factor': 0.049136079474693894, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.4121750033085877, 'type': 'geometric::BKPIECE'}"
2,14.7513239384,2.1499180794,BKPIECEkConfigDefault,1,2.279542923,2.1499180794,1.702888976,8.2653966968,1,"{'border_fraction': 0.9537744272264052, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 13.01012380009265, 'failed_expansion_score_factor': 0.6900824341673951, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.11674030161152271, 'type': 'geometric::BKPIECE'}"
3,18.5984408855,3,BKPIECEkConfigDefault,1,0.0493099689,0.4052648544,0.0002834774,0.0003397164,0,"{'border_fraction': 0.6392558350988726, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 11.575630957983924, 'failed_expansion_score_factor': 0.5062077281931009, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.005354932974448223, 'type': 'geometric::BKPIECE'}"
4,22.2664480209,3,BKPIECEkConfigDefault,1,0.0331380367,0.1911289692,0.0002601903,0.0002658599,0,"{'border_fraction': 0.18173371022953355, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 11.972513408699024, 'failed_expansion_score_factor': 0.7098237387811238, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.9909432026041997, 'type': 'geometric::BKPIECE'}"
5,25.9742639065,3,BKPIECEkConfigDefault,1,0.0415728092,0.3029360771,0.0002528794,0.0003394948,0,"{'border_fraction': 0.010038959605266129, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 8.277105214418405, 'failed_expansion_score_factor': 0.11520368955774218, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.8588896642412442, 'type': 'geometric::BKPIECE'}"
6,32.9838609695,3,BKPIECEkConfigDefault,1,0.0192739964,3.0115919113,0,0,0,"{'border_fraction': 0.8647832937580368, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 4.399900331612443, 'failed_expansion_score_factor': 0.06442226397683326, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.8397833503478825, 'type': 'geometric::BKPIECE'}"
7,37.326086998,1.406719923,BKPIECEkConfigDefault,1,1.97970891,1.406719923,1.7030070147,6.9609036862,1,"{'border_fraction': 0.4318899850273047, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 10.003092337245661, 'failed_expansion_score_factor': 0.06239592815312689, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.8597901172282733, 'type': 'geometric::BKPIECE'}"
8,45.6364150047,1.1712698936,BKPIECEkConfigDefault,1,2.7202339172,1.1712698936,1.7030330423,7.1000911974,1,"{'border_fraction': 0.025132849686643866, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.786524187388802, 'failed_expansion_score_factor': 0.2638729184337343, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.7638016938436287, 'type': 'geometric::BKPIECE'}"
9,49.3266308308,3,BKPIECEkConfigDefault,1,0.0605690479,0.2358710766,0.0001520836,0.0001579068,0,"{'border_fraction': 0.23905782977303547, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 5.621662079999354, 'failed_expansion_score_factor': 0.5008046405773356, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.25272948225478997, 'type': 'geometric::BKPIECE'}"
10,55.8675029278,0.7777369022,BKPIECEkConfigDefault,1,1.8928918839,0.7777369022,1.7027283212,7.5187315215,1,"{'border_fraction': 0.8234094261773534, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 2.906600668537073, 'failed_expansion_score_factor': 0.13783692765508615, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.042732600237674334, 'type': 'geometric::BKPIECE'}"
