n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,3.9290239811,0.314663887,RRTConnectkConfigDefault,1,2.5672969818,0.314663887,1.7027056811,8.8005642051,1,"{'default': 1.1427456574619173, 'type': 'geometric::RRTConnect'}"
2,11.1683819294,0.7564980984,RRTConnectkConfigDefault,1,3.164935112,0.7564980984,1.7026616951,10.2650438118,1,"{'default': 1.2452504145361236, 'type': 'geometric::RRTConnect'}"
3,15.8359370232,0.1332221031,RRTConnectkConfigDefault,1,1.6510670185,0.1332221031,1.7027063609,8.2882093333,1,"{'default': 0.904944118743919, 'type': 'geometric::RRTConnect'}"
4,20.2096478939,0.2629210949,RRTConnectkConfigDefault,1,2.0327601433,0.2629210949,1.7027510444,9.3063855758,1,"{'default': 0.9314157013991158, 'type': 'geometric::RRTConnect'}"
5,25.0718688965,0.1530380249,RRTConnectkConfigDefault,1,2.1610050201,0.1530380249,1.7030130353,7.9012098774,1,"{'default': 1.930959244951956, 'type': 'geometric::RRTConnect'}"
6,34.847484827,1.0475080013,RRTConnectkConfigDefault,1,3.487197876,1.0475080013,1.7027800141,8.5165542133,1,"{'default': 1.6042775723570628, 'type': 'geometric::RRTConnect'}"
7,43.2619659901,1.1458358765,RRTConnectkConfigDefault,1,3.0111439228,1.1458358765,1.7028921125,8.2972521846,1,"{'default': 1.1792846660784715, 'type': 'geometric::RRTConnect'}"
8,50.288066864,0.611675024,RRTConnectkConfigDefault,1,2.9924509525,0.611675024,1.7029064862,7.4614271929,1,"{'default': 0.2349685105759852, 'type': 'geometric::RRTConnect'}"
9,58.5971720219,0.6269021034,RRTConnectkConfigDefault,1,2.9640870094,0.6269021034,1.7026629419,8.8242668289,1,"{'default': 0.1384149551366189, 'type': 'geometric::RRTConnect'}"
10,66.9645519257,0.45657897,RRTConnectkConfigDefault,1,2.8839130402,0.45657897,1.7028929648,7.5215584778,1,"{'default': 1.578497826804716, 'type': 'geometric::RRTConnect'}"
11,80.1459629536,1.0055668354,RRTConnectkConfigDefault,1,3.7260730267,1.0055668354,1.702983254,6.9748864633,1,"{'default': 1.9593748502422519, 'type': 'geometric::RRTConnect'}"
12,88.6768789291,0.4729719162,RRTConnectkConfigDefault,1,2.7173340321,0.4729719162,1.7026527834,7.3942614361,1,"{'default': 0.5887092800830487, 'type': 'geometric::RRTConnect'}"
13,97.1405479908,0.4521529675,RRTConnectkConfigDefault,1,3.0786111355,0.4521529675,1.7029015892,8.5910151212,1,"{'default': 0.8581488102036143, 'type': 'geometric::RRTConnect'}"
14,104.5391960144,0.301568985,RRTConnectkConfigDefault,1,3.0541880131,0.301568985,1.7028675923,7.3702060842,1,"{'default': 1.7983863675805496, 'type': 'geometric::RRTConnect'}"
15,114.2380888462,1.0839841366,RRTConnectkConfigDefault,1,3.6129369736,1.0839841366,1.7027542131,7.9105617261,1,"{'default': 1.8721756601849437, 'type': 'geometric::RRTConnect'}"
16,122.0122959614,0.4312918186,RRTConnectkConfigDefault,1,2.4747669697,0.4312918186,1.7027159676,7.9932420759,1,"{'default': 1.9426162383443668, 'type': 'geometric::RRTConnect'}"
17,129.0360798836,3,RRTConnectkConfigDefault,1,0.0126969814,1.5168941021,0,0,0,"{'default': 1.9276139550375757, 'type': 'geometric::RRTConnect'}"
18,134.8859429359,0.6595430374,RRTConnectkConfigDefault,1,3.4832980633,0.6595430374,1.7026402004,9.1743991611,1,"{'default': 1.9329778209307245, 'type': 'geometric::RRTConnect'}"
