n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,10.8364210129,1.6835401058,RRTConnectkConfigDefault,1,7.9555571079,1.6835401058,1.702800989,10.1842429192,1,"{'range': 8.933384811552774, 'type': 'geometric::RRTConnect'}"
2,23.3518218994,0.3126630783,RRTConnectkConfigDefault,1,5.3322429657,0.3126630783,1.7030018732,8.1270660724,1,"{'range': 12.883389702579077, 'type': 'geometric::RRTConnect'}"
3,36.9974639416,0.427410841,RRTConnectkConfigDefault,1,6.7613770962,0.427410841,1.7029245738,10.464172497,1,"{'range': 9.391099082110989, 'type': 'geometric::RRTConnect'}"
4,50.0496878624,0.4992949963,RRTConnectkConfigDefault,1,4.7704718113,0.4992949963,1.702859172,8.6538970065,1,"{'range': 4.5332656375126374, 'type': 'geometric::RRTConnect'}"
5,60.5323209763,0.3416800499,RRTConnectkConfigDefault,1,5.2715399265,0.3416800499,1.7027946405,8.2909566449,1,"{'range': 4.162578789243687, 'type': 'geometric::RRTConnect'}"
6,72.4591560364,0.4627621174,RRTConnectkConfigDefault,1,5.5949029922,0.4627621174,1.7027682491,7.81183212,1,"{'range': 12.20131405875485, 'type': 'geometric::RRTConnect'}"
7,85.1540849209,0.3308031559,RRTConnectkConfigDefault,1,5.8080518246,0.3308031559,1.7029296381,7.6820061498,1,"{'range': 5.952493461902363, 'type': 'geometric::RRTConnect'}"
8,99.305991888,0.5830190182,RRTConnectkConfigDefault,1,4.5103640556,0.5830190182,1.7027223971,6.763347836,1,"{'range': 5.127202790217299, 'type': 'geometric::RRTConnect'}"
9,111.6665680408,0.8561580181,RRTConnectkConfigDefault,1,4.8009049892,0.8561580181,1.7028034745,8.0357301888,1,"{'range': 5.586798943624165, 'type': 'geometric::RRTConnect'}"
10,125.2332429886,1.3940639496,RRTConnectkConfigDefault,1,5.2674870491,1.3940639496,1.7029901934,8.6874371437,1,"{'range': 2.191226628148413, 'type': 'geometric::RRTConnect'}"
11,140.237858057,1.3301239014,RRTConnectkConfigDefault,1,4.8699159622,1.3301239014,1.7029122172,8.5847910014,1,"{'range': 12.0335702044967, 'type': 'geometric::RRTConnect'}"
12,156.6567649841,0.7486989498,RRTConnectkConfigDefault,1,6.5986530781,0.7486989498,1.7028949709,8.5747057803,1,"{'range': 13.514814079871453, 'type': 'geometric::RRTConnect'}"
13,169.9025599957,0.4435751438,RRTConnectkConfigDefault,1,5.1868131161,0.4435751438,1.7028116187,8.7688207249,1,"{'range': 9.424160051980493, 'type': 'geometric::RRTConnect'}"
14,187.5397410393,0.3274669647,RRTConnectkConfigDefault,1,9.3558108807,0.3274669647,1.7028386309,7.9297918456,1,"{'range': 9.41311445996216, 'type': 'geometric::RRTConnect'}"
15,191.3846380711,3,RRTConnectkConfigDefault,1,0.0981581211,0.155960083,0.0001771926,0.000183027,0,"{'range': 9.405417320703855, 'type': 'geometric::RRTConnect'}"
16,208.9964568615,0.2265770435,RRTConnectkConfigDefault,1,6.5384459496,0.2265770435,1.702832147,6.8848830069,1,"{'range': 9.402582481626835, 'type': 'geometric::RRTConnect'}"
17,227.4479758739,0.5298449993,RRTConnectkConfigDefault,1,5.6039040089,0.5298449993,1.7027960029,6.8589369016,1,"{'range': 9.4289123452027, 'type': 'geometric::RRTConnect'}"
18,242.9624679089,0.7272191048,RRTConnectkConfigDefault,1,5.8945538998,0.7272191048,1.7028333205,8.4815110921,1,"{'range': 9.403243787302383, 'type': 'geometric::RRTConnect'}"
19,257.8302569389,0.3847038746,RRTConnectkConfigDefault,1,5.6405010223,0.3847038746,1.7029589454,10.0154377778,1,"{'range': 9.40429345566778, 'type': 'geometric::RRTConnect'}"
20,272.2236740589,0.9381308556,RRTConnectkConfigDefault,1,5.7190489769,0.9381308556,1.7027265981,8.6590134317,1,"{'range': 9.40559940863221, 'type': 'geometric::RRTConnect'}"
21,284.4372620583,3,RRTConnectkConfigDefault,1,0.0365531445,1.7718441486,0,0,0,"{'range': 9.398701686434258, 'type': 'geometric::RRTConnect'}"
