n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,19.9242630005,1.4932878017,BiTRRTkConfigDefault,1,6.9941649437,1.4932878017,1.7031894684,9.4947353272,1,"{'init_temperature': 0.0005488135039273249, 'temp_change_factor': 0.7151893663724196, 'cost_threshold': 0.4375872112626926, 'range': 8.218759426653763, 'frountier_node_ratio': 0.4236547993389048, 'type': 'geometric::BiTRRT', 'frountier_threshold': 60276.337607164394}"
2,34.8907399178,1.5342907906,BiTRRTkConfigDefault,1,5.1129238605,1.5342907906,1.70322652,7.5245985948,1,"{'init_temperature': 0.00089177300078208, 'temp_change_factor': 0.9636627605010295, 'cost_threshold': 0.9255966382926613, 'range': 11.896703067431703, 'frountier_node_ratio': 0.5288949197529046, 'type': 'geometric::BiTRRT', 'frountier_threshold': 38344.151882577775}"
3,39.3547279835,3,BiTRRTkConfigDefault,1,0.1503510475,0.475315094,0.0003841786,0.0004699046,0,"{'init_temperature': 7.103605819788696e-05, 'temp_change_factor': 0.08712929970154072, 'cost_threshold': 0.9786183422327642, 'range': 12.506035698664277, 'frountier_node_ratio': 0.7781567509498507, 'type': 'geometric::BiTRRT', 'frountier_threshold': 2021.8397440325723}"
4,55.5294909477,1.4044671059,BiTRRTkConfigDefault,1,5.7471568584,1.4044671059,1.7031023217,6.3735100209,1,"{'init_temperature': 0.0007991585642167238, 'temp_change_factor': 0.46147936225293196, 'cost_threshold': 0.9446689170495841, 'range': 1.8622889454471052, 'frountier_node_ratio': 0.6399210213275239, 'type': 'geometric::BiTRRT', 'frountier_threshold': 78052.91762864556}"
5,73.6959629059,0.6405689716,BiTRRTkConfigDefault,1,7.0787580013,0.6405689716,1.7029187404,9.0919934064,1,"{'init_temperature': 0.0005218483217500718, 'temp_change_factor': 0.4146619399905237, 'cost_threshold': 0.018789800436355145, 'range': 11.63608197256983, 'frountier_node_ratio': 0.45615033221654866, 'type': 'geometric::BiTRRT', 'frountier_threshold': 26455.5612104627}"
6,86.5198049545,0.874915123,BiTRRTkConfigDefault,1,4.3886840343,0.874915123,1.702873487,7.5484179954,1,"{'init_temperature': 0.0006176354970758772, 'temp_change_factor': 0.6120957227224215, 'cost_threshold': 0.43703195379934157, 'range': 14.161846369867902, 'frountier_node_ratio': 0.6818202991034835, 'type': 'geometric::BiTRRT', 'frountier_threshold': 61693.3996874757}"
7,99.595995903,1.376226902,BiTRRTkConfigDefault,1,5.549601078,1.376226902,1.7030027698,8.165100141,1,"{'init_temperature': 0.0006976311959272651, 'temp_change_factor': 0.06022547162926985, 'cost_threshold': 0.3154283509241839, 'range': 10.092504257310576, 'frountier_node_ratio': 0.21038256107384096, 'type': 'geometric::BiTRRT', 'frountier_threshold': 66676.67154456678}"
8,114.3461329937,2.4387791157,BiTRRTkConfigDefault,1,5.6874830723,2.4387791157,1.7028357729,7.8900518974,1,"{'init_temperature': 0.0003637107709426227, 'temp_change_factor': 0.5701967704178798, 'cost_threshold': 0.16130951788499628, 'range': 14.826770187082472, 'frountier_node_ratio': 0.1020448107480281, 'type': 'geometric::BiTRRT', 'frountier_threshold': 43860.15134623204}"
9,133.4358940125,2.5581660271,BiTRRTkConfigDefault,1,6.5029780865,2.5581660271,1.7030216578,7.5426145855,1,"{'init_temperature': 0.0006531083254653986, 'temp_change_factor': 0.25329160253978217, 'cost_threshold': 0.6563295894652735, 'range': 3.7419413208238814, 'frountier_node_ratio': 0.15896958364551975, 'type': 'geometric::BiTRRT', 'frountier_threshold': 46631.077285630636}"
10,149.6392509937,0.523113966,BiTRRTkConfigDefault,1,7.8664069176,0.523113966,1.702999163,7.8252901728,1,"{'init_temperature': 0.00013818295134861383, 'temp_change_factor': 0.19658236168005355, 'cost_threshold': 0.0960984078939631, 'range': 12.332799124734235, 'frountier_node_ratio': 0.0971012757930613, 'type': 'geometric::BiTRRT', 'frountier_threshold': 36872.517066096414}"
11,166.7974250317,1.1445441246,BiTRRTkConfigDefault,1,5.249833107,1.1445441246,1.7028024156,8.1800445043,1,"{'init_temperature': 0.0004637540515246544, 'temp_change_factor': 0.017020929485640383, 'cost_threshold': 0.12508947112990068, 'range': 1.69171528293264, 'frountier_node_ratio': 0.07405102817520871, 'type': 'geometric::BiTRRT', 'frountier_threshold': 27607.954753450496}"
12,185.7102110386,1.6191148758,BiTRRTkConfigDefault,1,5.7586450577,1.6191148758,1.7028833118,7.3579021264,1,"{'init_temperature': 0.0009170616684012874, 'temp_change_factor': 0.6115491783920507, 'cost_threshold': 0.0829019063537726, 'range': 5.187363674691981, 'frountier_node_ratio': 0.12969954213820048, 'type': 'geometric::BiTRRT', 'frountier_threshold': 82558.50819160404}"
13,203.3660929203,1.523018837,BiTRRTkConfigDefault,1,6.1054110527,1.523018837,1.702712404,7.9338701005,1,"{'init_temperature': 0.0008751189316433242, 'temp_change_factor': 0.26716369924384925, 'cost_threshold': 0.003956565525755741, 'range': 11.935393957281775, 'frountier_node_ratio': 0.6072687844259772, 'type': 'geometric::BiTRRT', 'frountier_threshold': 10970.665851663698}"
