n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,11.2641620636,1.4756309986,RRTConnectkConfigDefault,1,7.2705719471,1.4756309986,1.7027242784,7.71468475,1,"{'range': 8.27732120851714, 'type': 'geometric::RRTConnect'}"
2,24.7315289974,0.4600098133,RRTConnectkConfigDefault,1,5.2955429554,0.4600098133,1.7029478658,6.8037927434,1,"{'range': 9.081174303467495, 'type': 'geometric::RRTConnect'}"
3,40.1818161011,1.8056640625,RRTConnectkConfigDefault,1,6.5542421341,1.8056640625,1.7029591817,8.1843283065,1,"{'range': 6.41245651014968, 'type': 'geometric::RRTConnect'}"
4,55.4164500237,1.017649889,RRTConnectkConfigDefault,1,6.3854849339,1.017649889,1.7027128573,7.9716457899,1,"{'range': 6.620049447814119, 'type': 'geometric::RRTConnect'}"
5,69.4308180809,0.545290947,RRTConnectkConfigDefault,1,6.4933199883,0.545290947,1.7104911967,7.7930278138,1,"{'range': 14.458575131465338, 'type': 'geometric::RRTConnect'}"
6,85.4308800697,0.6353440285,RRTConnectkConfigDefault,1,5.9622619152,0.6353440285,1.7025284868,7.0019342226,1,"{'range': 11.896703067431703, 'type': 'geometric::RRTConnect'}"
7,99.1013090611,0.2861409187,RRTConnectkConfigDefault,1,6.4633638859,0.2861409187,1.7025356773,8.7724937426,1,"{'range': 8.563863960299592, 'type': 'geometric::RRTConnect'}"
8,114.3588120937,3.2985861301,RRTConnectkConfigDefault,1,3.2533979416,3.2985861301,1.7028719111,8.4106412932,1,"{'range': 1.1584372671485157, 'type': 'geometric::RRTConnect'}"
9,118.4364271164,3,RRTConnectkConfigDefault,1,0.136811018,0.0927009583,0.0005451048,0.0005508647,0,"{'range': 0.4012541218608533, 'type': 'geometric::RRTConnect'}"
10,134.2435581684,0.7716569901,RRTConnectkConfigDefault,1,4.7601091862,0.7716569901,1.7026830197,7.6522841717,1,"{'range': 11.694535589152773, 'type': 'geometric::RRTConnect'}"
11,142.2283980846,3,RRTConnectkConfigDefault,1,0.0389759541,0.9574389458,0,0,0,"{'range': 8.569665838142864, 'type': 'geometric::RRTConnect'}"
12,151.309841156,0.9742779732,RRTConnectkConfigDefault,1,6.3293669224,0.9742779732,1.7027701744,8.0750624284,1,"{'range': 8.759252886429515, 'type': 'geometric::RRTConnect'}"
13,162.7551910877,0.3262889385,RRTConnectkConfigDefault,1,4.4941511154,0.3262889385,1.7024946654,8.785684166,1,"{'range': 8.655716541825583, 'type': 'geometric::RRTConnect'}"
14,177.0542190075,0.3887910843,RRTConnectkConfigDefault,1,6.5689430237,0.3887910843,1.7027569943,9.6983587691,1,"{'range': 8.570315230071635, 'type': 'geometric::RRTConnect'}"
15,189.3437650204,0.4369771481,RRTConnectkConfigDefault,1,6.0189518929,0.4369771481,1.7028690138,7.0219151249,1,"{'range': 8.56867851242153, 'type': 'geometric::RRTConnect'}"
16,192.1074781418,3,RRTConnectkConfigDefault,1,0.0896480083,0.185407877,0.0002469031,0.0002543967,0,"{'range': 8.505378712245628, 'type': 'geometric::RRTConnect'}"
17,204.7651262283,0.3582890034,RRTConnectkConfigDefault,1,5.2685790062,0.3582890034,1.7027398148,7.2624274764,1,"{'range': 8.54294295713242, 'type': 'geometric::RRTConnect'}"
18,227.2622630596,1.2410769463,RRTConnectkConfigDefault,1,8.4295799732,1.2410769463,1.7029366161,9.7844970209,1,"{'range': 6.750629054326245, 'type': 'geometric::RRTConnect'}"
19,240.1138951778,0.5789120197,RRTConnectkConfigDefault,1,4.3456301689,0.5789120197,1.7028328348,8.8949156902,1,"{'range': 8.557986848879962, 'type': 'geometric::RRTConnect'}"
20,253.4752821922,0.5429689884,RRTConnectkConfigDefault,1,5.6027309895,0.5429689884,1.7025940021,7.8603327859,1,"{'range': 8.565268624421053, 'type': 'geometric::RRTConnect'}"
21,267.5980000496,0.4569489956,RRTConnectkConfigDefault,1,5.9381091595,0.4569489956,1.702733979,7.5985707693,1,"{'range': 8.526329223798658, 'type': 'geometric::RRTConnect'}"
22,280.6869211197,0.6135339737,RRTConnectkConfigDefault,1,5.018652916,0.6135339737,1.7029856618,7.8661922387,1,"{'range': 8.550283397121571, 'type': 'geometric::RRTConnect'}"
23,293.7866811752,1.5462009907,RRTConnectkConfigDefault,1,3.5852792263,1.5462009907,1.702681482,6.919332618,1,"{'range': 8.538529417554463, 'type': 'geometric::RRTConnect'}"
24,306.7432470322,0.6625490189,RRTConnectkConfigDefault,1,3.6536128521,0.6625490189,1.7028023695,7.1383235756,1,"{'range': 8.56949210785549, 'type': 'geometric::RRTConnect'}"
25,321.1245510578,0.560076952,RRTConnectkConfigDefault,1,5.2896227837,0.560076952,1.7029984723,7.5046118286,1,"{'range': 8.516172395748548, 'type': 'geometric::RRTConnect'}"
26,333.06746912,0.4869499207,RRTConnectkConfigDefault,1,3.8036201,0.4869499207,1.7029015331,8.3690179164,1,"{'range': 8.52234274779199, 'type': 'geometric::RRTConnect'}"
27,344.6136860847,0.765460968,RRTConnectkConfigDefault,1,5.3609769344,0.765460968,1.7028133748,6.65431291,1,"{'range': 8.526263985233953, 'type': 'geometric::RRTConnect'}"
28,357.3366620541,1.9656429291,RRTConnectkConfigDefault,1,3.5025119781,1.9656429291,1.7030633471,7.406154226,1,"{'range': 8.561175729779963, 'type': 'geometric::RRTConnect'}"
29,369.8986291885,1.1039299965,RRTConnectkConfigDefault,1,4.7633390427,1.1039299965,1.7030782902,7.6642214835,1,"{'range': 8.561464708744932, 'type': 'geometric::RRTConnect'}"
30,382.1929960251,0.6550939083,RRTConnectkConfigDefault,1,4.5204780102,0.6550939083,1.7027541395,6.9624524616,1,"{'range': 8.560667645205498, 'type': 'geometric::RRTConnect'}"
31,395.6614789963,0.879201889,RRTConnectkConfigDefault,1,5.9021689892,0.879201889,1.7030924004,7.2830080425,1,"{'range': 8.563821906826234, 'type': 'geometric::RRTConnect'}"
32,410.5688531399,0.8193869591,RRTConnectkConfigDefault,1,5.3139851093,0.8193869591,1.7029755768,7.5025282739,1,"{'range': 8.544207431188745, 'type': 'geometric::RRTConnect'}"
33,421.9561061859,0.3340139389,RRTConnectkConfigDefault,1,4.4398949146,0.3340139389,1.7028925245,7.0021476338,1,"{'range': 8.569620458640369, 'type': 'geometric::RRTConnect'}"
34,434.8319392204,0.4388070107,RRTConnectkConfigDefault,1,5.7319049835,0.4388070107,1.7028681742,8.8698897087,1,"{'range': 8.569715615985801, 'type': 'geometric::RRTConnect'}"
35,450.8823981285,0.6234848499,RRTConnectkConfigDefault,1,6.0013489723,0.6234848499,1.7026484033,8.6447768793,1,"{'range': 8.566932068961744, 'type': 'geometric::RRTConnect'}"
36,464.8908920288,0.8218159676,RRTConnectkConfigDefault,1,4.6953852177,0.8218159676,1.7026510055,7.9263759522,1,"{'range': 8.564195012510798, 'type': 'geometric::RRTConnect'}"
37,479.757322073,0.4765529633,RRTConnectkConfigDefault,1,5.5871191025,0.4765529633,1.7026515364,9.1536004481,1,"{'range': 8.519750537712845, 'type': 'geometric::RRTConnect'}"
38,482.2867400646,3,RRTConnectkConfigDefault,1,0.1616778374,0.1816110611,0.0002045754,0.0002106153,0,"{'range': 8.520350429845205, 'type': 'geometric::RRTConnect'}"
39,495.4369781017,1.8205370903,RRTConnectkConfigDefault,1,4.2805261612,1.8205370903,1.7029054722,8.1309010353,1,"{'range': 8.520019415985573, 'type': 'geometric::RRTConnect'}"
40,508.6843380928,0.5580859184,RRTConnectkConfigDefault,1,5.4219710827,0.5580859184,1.7029614267,8.0916631862,1,"{'range': 8.51952186948354, 'type': 'geometric::RRTConnect'}"
41,524.6547751427,0.4293680191,RRTConnectkConfigDefault,1,4.9092988968,0.4293680191,1.7029170671,7.0365616446,1,"{'range': 8.51623795246498, 'type': 'geometric::RRTConnect'}"
42,538.9376602173,1.4788839817,RRTConnectkConfigDefault,1,4.9939799309,1.4788839817,1.7029901564,6.9983272785,1,"{'range': 8.519377131560248, 'type': 'geometric::RRTConnect'}"
43,553.3523650169,1.5872058868,RRTConnectkConfigDefault,1,4.8344509602,1.5872058868,1.7028713912,6.9362918152,1,"{'range': 8.513210243384917, 'type': 'geometric::RRTConnect'}"
44,566.2389051914,1.0006091595,RRTConnectkConfigDefault,1,3.8242750168,1.0006091595,1.7029077683,7.0033598149,1,"{'range': 8.520230389587407, 'type': 'geometric::RRTConnect'}"
45,582.9879300594,1.3693940639,RRTConnectkConfigDefault,1,5.9943180084,1.3693940639,1.7030558371,8.9707395924,1,"{'range': 8.516572284793588, 'type': 'geometric::RRTConnect'}"
46,599.4816820621,0.8691110611,RRTConnectkConfigDefault,1,5.4380788803,0.8691110611,1.703012283,7.493504506,1,"{'range': 8.514902555554865, 'type': 'geometric::RRTConnect'}"
47,610.1857981682,0.7303609848,RRTConnectkConfigDefault,1,4.7286539078,0.7303609848,1.7029947856,7.1473581187,1,"{'range': 8.520664399847853, 'type': 'geometric::RRTConnect'}"
48,622.674834013,0.9787311554,RRTConnectkConfigDefault,1,4.5775830746,0.9787311554,1.7029813722,7.2127754837,1,"{'range': 8.566885353250083, 'type': 'geometric::RRTConnect'}"
49,637.7826020718,1.672670126,RRTConnectkConfigDefault,1,5.4122998714,1.672670126,1.7028163393,7.9961514579,1,"{'range': 8.52014410955163, 'type': 'geometric::RRTConnect'}"
50,651.2118639946,1.396584034,RRTConnectkConfigDefault,1,5.1248149872,1.396584034,1.7030588343,8.4245726162,1,"{'range': 8.542517173219201, 'type': 'geometric::RRTConnect'}"
51,666.0433251858,0.7454330921,RRTConnectkConfigDefault,1,5.986289978,0.7454330921,1.7026590728,8.3164297476,1,"{'range': 8.561106674259912, 'type': 'geometric::RRTConnect'}"
52,679.2878952026,0.4290919304,RRTConnectkConfigDefault,1,4.9154038429,0.4290919304,1.702960685,6.6821932803,1,"{'range': 8.528361179782818, 'type': 'geometric::RRTConnect'}"
