n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,5.2423629761,0.5321729183,BiTRRTkConfigDefault,1,1.516644001,0.5321729183,1.7031488651,6.889487985,1,"{'init_temperature': 0.0009070127991642463, 'range': 1.830447125810319, 'temp_change_factor': 0.5438825881131201, 'frountier_node_ratio': 0.07067815562432267, 'type': 'geometric::BiTRRT', 'cost_threshold': 86234.20203033411, 'frountier_threshold': 0.11701843299221515}"
2,9.2744939327,0.1622178555,BiTRRTkConfigDefault,1,1.553082943,0.1622178555,1.7030250808,6.6790575452,1,"{'init_temperature': 0.000685204924897669, 'range': 11.106039213556102, 'temp_change_factor': 0.21171690429465195, 'frountier_node_ratio': 0.5773977384971841, 'type': 'geometric::BiTRRT', 'cost_threshold': 74321.74836540241, 'frountier_threshold': 0.04138515836257606}"
3,14.2334890366,0.4357740879,BiTRRTkConfigDefault,1,1.534913063,0.4357740879,1.7030332942,7.0847169314,1,"{'init_temperature': 0.0007031052844174881, 'range': 5.390803894148915, 'temp_change_factor': 0.6886871284741208, 'frountier_node_ratio': 0.7451548366493567, 'type': 'geometric::BiTRRT', 'cost_threshold': 17270.899518957383, 'frountier_threshold': 0.76467797655069}"
4,17.9163088799,0.220386982,BiTRRTkConfigDefault,1,1.5725190639,0.220386982,1.7027444202,8.6047710487,1,"{'init_temperature': 0.0002601281483867797, 'range': 5.0444917435782255, 'temp_change_factor': 0.9848299511087136, 'frountier_node_ratio': 0.7775397424717073, 'type': 'geometric::BiTRRT', 'cost_threshold': 75724.52702558672, 'frountier_threshold': 0.8180527547120076}"
5,21.2156200409,0.2567949295,BiTRRTkConfigDefault,1,1.4354569912,0.2567949295,1.702834371,8.1022127174,1,"{'init_temperature': 0.0005838932705001603, 'range': 10.103122221428213, 'temp_change_factor': 0.3355143289988268, 'frountier_node_ratio': 0.5297285675113447, 'type': 'geometric::BiTRRT', 'cost_threshold': 70184.4474602243, 'frountier_threshold': 0.8530618246482573}"
6,25.3379678726,0.2516191006,BiTRRTkConfigDefault,1,1.396312952,0.2516191006,1.7028735577,8.3942954824,1,"{'init_temperature': 0.0009879521312696087, 'range': 1.9581816270121786, 'temp_change_factor': 0.6695630615926998, 'frountier_node_ratio': 0.4214580978268122, 'type': 'geometric::BiTRRT', 'cost_threshold': 77747.4708475583, 'frountier_threshold': 0.17496923766834804}"
7,27.4762690067,3,BiTRRTkConfigDefault,1,0.0014388561,0.5307807922,0,0,0,"{'init_temperature': 0.00035393397005473984, 'range': 6.097536629980422, 'temp_change_factor': 0.6231583852441572, 'frountier_node_ratio': 0.09858879392567632, 'type': 'geometric::BiTRRT', 'cost_threshold': 44684.61044212047, 'frountier_threshold': 0.7606504738808685}"
8,28.1733620167,3,BiTRRTkConfigDefault,1,0.0007100105,0.4387180805,0,0,0,"{'init_temperature': 0.0009477875927681921, 'range': 6.01322396843604, 'temp_change_factor': 0.6510624280422842, 'frountier_node_ratio': 0.6259109193014172, 'type': 'geometric::BiTRRT', 'cost_threshold': 73514.6845951721, 'frountier_threshold': 0.3072944583141215}"
9,29.9683859348,0.2136621475,BiTRRTkConfigDefault,1,1.4067559242,0.2136621475,1.7030684557,7.7640480321,1,"{'init_temperature': 0.0009748790191571391, 'range': 12.474472112711299, 'temp_change_factor': 0.20734884344104232, 'frountier_node_ratio': 0.20247409477597544, 'type': 'geometric::BiTRRT', 'cost_threshold': 23019.987677170906, 'frountier_threshold': 0.8994283134784722}"
10,33.9115829468,0.37814188,BiTRRTkConfigDefault,1,1.340471983,0.37814188,1.7027708425,7.5466223429,1,"{'init_temperature': 9.376733409047123e-05, 'range': 14.548398428857706, 'temp_change_factor': 0.868660477282684, 'frountier_node_ratio': 0.7236262930846522, 'type': 'geometric::BiTRRT', 'cost_threshold': 49571.5478929509, 'frountier_threshold': 0.9158510856166031}"
11,38.0450489521,0.2079129219,BiTRRTkConfigDefault,1,1.7536139488,0.2079129219,1.7027654625,7.6777864122,1,"{'init_temperature': 0.00048029235296270534, 'range': 8.677909023563089, 'temp_change_factor': 0.7312578926210648, 'frountier_node_ratio': 0.43774549107775895, 'type': 'geometric::BiTRRT', 'cost_threshold': 16444.4317894738, 'frountier_threshold': 0.5730835570512962}"
12,41.9952628613,0.2177219391,BiTRRTkConfigDefault,1,1.5817639828,0.2177219391,1.7026544323,8.6315191791,1,"{'init_temperature': 0.00031442073212859233, 'range': 9.866618081690454, 'temp_change_factor': 0.9473426324098396, 'frountier_node_ratio': 0.7332702293445057, 'type': 'geometric::BiTRRT', 'cost_threshold': 1016.4598005453885, 'frountier_threshold': 0.6769325702906338}"
13,45.3878438473,0.1385900974,BiTRRTkConfigDefault,1,1.3199169636,0.1385900974,1.7029228809,6.7887019722,1,"{'init_temperature': 0.0007176922090789134, 'range': 1.7372629184320132, 'temp_change_factor': 0.2787645853453097, 'frountier_node_ratio': 0.9539776588777331, 'type': 'geometric::BiTRRT', 'cost_threshold': 5784.089915956503, 'frountier_threshold': 0.3949332046116877}"
14,49.2019560337,0.5123949051,BiTRRTkConfigDefault,1,1.4870831966,0.5123949051,1.7028045937,8.4419488794,1,"{'init_temperature': 0.0009802359187864836, 'range': 6.169635647527574, 'temp_change_factor': 0.3864577347229008, 'frountier_node_ratio': 0.10892473115419965, 'type': 'geometric::BiTRRT', 'cost_threshold': 39345.09078656206, 'frountier_threshold': 0.011306524375409133}"
15,50.1424438953,3,BiTRRTkConfigDefault,1,0.0155069828,0.0604739189,0.000170753,0.0001751755,0,"{'init_temperature': 0.0009801093304198805, 'range': 5.988410556569157, 'temp_change_factor': 0.6233273930875832, 'frountier_node_ratio': 0.8678355193156294, 'type': 'geometric::BiTRRT', 'cost_threshold': 56843.53551132319, 'frountier_threshold': 0.12194027424428688}"
16,55.0813229084,0.8200979233,BiTRRTkConfigDefault,1,1.5796918869,0.8200979233,1.7027239496,8.8256981868,1,"{'init_temperature': 0.0007746562528088901, 'range': 0.6569762699687545, 'temp_change_factor': 0.714224529181424, 'frountier_node_ratio': 0.21681147989421445, 'type': 'geometric::BiTRRT', 'cost_threshold': 97171.91945194932, 'frountier_threshold': 0.25359752442819783}"
17,59.2736718655,0.7161300182,BiTRRTkConfigDefault,1,1.4867928028,0.7161300182,1.702928368,7.1523252686,1,"{'init_temperature': 0.00024455317409777114, 'range': 8.075257311857156, 'temp_change_factor': 0.579104645908849, 'frountier_node_ratio': 0.6713565640266836, 'type': 'geometric::BiTRRT', 'cost_threshold': 57923.9522127494, 'frountier_threshold': 0.29922763081047987}"
18,63.1236898899,0.4001939297,BiTRRTkConfigDefault,1,1.3586630821,0.4001939297,1.7031011056,9.127939495,1,"{'init_temperature': 0.0007025764733057398, 'range': 14.84218282495608, 'temp_change_factor': 0.20476400005282225, 'frountier_node_ratio': 0.5893727245156724, 'type': 'geometric::BiTRRT', 'cost_threshold': 59659.355762399355, 'frountier_threshold': 0.22189233054391766}"
19,66.649741888,0.192690134,BiTRRTkConfigDefault,1,1.4922220707,0.192690134,1.7027859445,7.6401899078,1,"{'init_temperature': 0.0004619221836600629, 'range': 3.2317248528728766, 'temp_change_factor': 0.6190160894339655, 'frountier_node_ratio': 0.2430455975706194, 'type': 'geometric::BiTRRT', 'cost_threshold': 24805.96608181498, 'frountier_threshold': 0.5273984191069836}"
20,69.5627348423,0.1472899914,BiTRRTkConfigDefault,1,1.2793300152,0.1472899914,1.7027875655,6.4988505861,1,"{'init_temperature': 0.00036515369368221384, 'range': 2.507188960188034, 'temp_change_factor': 0.27532880832763973, 'frountier_node_ratio': 0.9447972306243443, 'type': 'geometric::BiTRRT', 'cost_threshold': 3855.4478602538466, 'frountier_threshold': 0.842077011871096}"
21,73.7537970543,0.7352230549,BiTRRTkConfigDefault,1,1.4889118671,0.7352230549,1.7027647857,7.1749900795,1,"{'init_temperature': 0.0007928947088851932, 'range': 11.736183610365009, 'temp_change_factor': 0.9486254252994065, 'frountier_node_ratio': 0.820431979204819, 'type': 'geometric::BiTRRT', 'cost_threshold': 35010.00800866834, 'frountier_threshold': 0.5781788231202581}"
22,77.107724905,0.3855698109,BiTRRTkConfigDefault,1,1.318821907,0.3855698109,1.7026035525,6.9886027759,1,"{'init_temperature': 0.0005574296449116152, 'range': 9.802173979805572, 'temp_change_factor': 0.1161879838067289, 'frountier_node_ratio': 0.15838919771210025, 'type': 'geometric::BiTRRT', 'cost_threshold': 65074.01598373783, 'frountier_threshold': 0.7213323726766594}"
23,77.8246588707,3,BiTRRTkConfigDefault,1,0.0264611244,0.0261561871,0.0003368122,0.0003430724,0,"{'init_temperature': 0.0004209451240338631, 'range': 2.4180817665635974, 'temp_change_factor': 0.40552194625381843, 'frountier_node_ratio': 0.7209922428408708, 'type': 'geometric::BiTRRT', 'cost_threshold': 26647.769081907023, 'frountier_threshold': 0.06704813212251537}"
24,81.2071130276,0.1938409805,BiTRRTkConfigDefault,1,1.455742836,0.1938409805,1.7029301016,7.792907504,1,"{'init_temperature': 2.334063113031648e-05, 'range': 3.2921753306915824, 'temp_change_factor': 0.49216017652474364, 'frountier_node_ratio': 0.8026467380282755, 'type': 'geometric::BiTRRT', 'cost_threshold': 69332.09385968563, 'frountier_threshold': 0.25139836366897594}"
25,84.5336129665,0.2608590126,BiTRRTkConfigDefault,1,1.2581460476,0.2608590126,1.7026162883,7.3950522511,1,"{'init_temperature': 0.0007935418131402852, 'range': 13.171929712000154, 'temp_change_factor': 0.6738017336427685, 'frountier_node_ratio': 0.2609521347264444, 'type': 'geometric::BiTRRT', 'cost_threshold': 80342.62371820434, 'frountier_threshold': 0.21847979757240055}"
26,88.2085838318,0.2854440212,BiTRRTkConfigDefault,1,1.7097871304,0.2854440212,1.702614701,7.8345955232,1,"{'init_temperature': 0.000857178786272587, 'range': 8.243223048917711, 'temp_change_factor': 0.39912822034406337, 'frountier_node_ratio': 0.3955791371705809, 'type': 'geometric::BiTRRT', 'cost_threshold': 66797.80942489965, 'frountier_threshold': 0.3923121619193737}"
27,92.1553740501,0.2555961609,BiTRRTkConfigDefault,1,1.7928028107,0.2555961609,1.7029095635,8.9483205425,1,"{'init_temperature': 0.00030321788163044697, 'range': 14.473494540167174, 'temp_change_factor': 0.5919491771166224, 'frountier_node_ratio': 0.9020323920642473, 'type': 'geometric::BiTRRT', 'cost_threshold': 3209.5547188233377, 'frountier_threshold': 0.3934812274724576}"
28,92.5508790016,3,BiTRRTkConfigDefault,1,0.0265259743,0.0248699188,0.0003145921,0.0003203849,0,"{'init_temperature': 0.0008132190218502274, 'range': 3.675132472883836, 'temp_change_factor': 0.18734066774264735, 'frountier_node_ratio': 0.42326454401473756, 'type': 'geometric::BiTRRT', 'cost_threshold': 71387.5114268943, 'frountier_threshold': 0.9375541133687014}"
29,96.4639408588,0.219604969,BiTRRTkConfigDefault,1,1.6236169338,0.219604969,1.7026373585,8.7600381909,1,"{'init_temperature': 0.0007845907448655945, 'range': 6.097686023751318, 'temp_change_factor': 0.6553636859388713, 'frountier_node_ratio': 0.5362970121218924, 'type': 'geometric::BiTRRT', 'cost_threshold': 685.7779126397955, 'frountier_threshold': 0.8856338809060443}"
30,100.0997419357,0.2305259705,BiTRRTkConfigDefault,1,1.6573529243,0.2305259705,1.7028350427,8.7177610801,1,"{'init_temperature': 0.0007599156685485353, 'range': 6.3546427532839544, 'temp_change_factor': 0.15513566205146245, 'frountier_node_ratio': 0.6777559722082701, 'type': 'geometric::BiTRRT', 'cost_threshold': 99970.60138607144, 'frountier_threshold': 0.4384501018517023}"
31,103.7849130631,0.4272348881,BiTRRTkConfigDefault,1,1.4201190472,0.4272348881,1.7027814965,6.5567015781,1,"{'init_temperature': 0.0004724773294460528, 'range': 11.244311689099836, 'temp_change_factor': 0.7110817001326354, 'frountier_node_ratio': 0.11885515295529714, 'type': 'geometric::BiTRRT', 'cost_threshold': 1558.2424588396982, 'frountier_threshold': 0.641142330810255}"
32,108.0727229118,0.2546360493,BiTRRTkConfigDefault,1,1.6985371113,0.2546360493,1.702811198,8.0371386982,1,"{'init_temperature': 0.00047632791250279085, 'range': 11.61245386760103, 'temp_change_factor': 0.051096450192637755, 'frountier_node_ratio': 0.4478735177360945, 'type': 'geometric::BiTRRT', 'cost_threshold': 80194.85461815025, 'frountier_threshold': 0.7738666360981714}"
33,111.7839138508,0.2369160652,BiTRRTkConfigDefault,1,1.7101969719,0.2369160652,1.7029386373,7.0568401326,1,"{'init_temperature': 0.000665950395978376, 'range': 10.294341844522195, 'temp_change_factor': 0.9168551087672268, 'frountier_node_ratio': 0.7382880829370803, 'type': 'geometric::BiTRRT', 'cost_threshold': 78605.53124562756, 'frountier_threshold': 0.5288572829163879}"
34,115.8565838337,0.316339016,BiTRRTkConfigDefault,1,1.7077538967,0.316339016,1.7029698294,9.2445377815,1,"{'init_temperature': 0.00011524407265830871, 'range': 14.528025544114795, 'temp_change_factor': 0.120511955290321, 'frountier_node_ratio': 0.28077468825137497, 'type': 'geometric::BiTRRT', 'cost_threshold': 19660.68903826317, 'frountier_threshold': 0.4088739610882519}"
35,119.6748609543,0.3423211575,BiTRRTkConfigDefault,1,1.7765030861,0.3423211575,1.7027945652,8.2825317352,1,"{'init_temperature': 0.0007654837813736959, 'range': 7.637393584859802, 'temp_change_factor': 0.23595887338135624, 'frountier_node_ratio': 0.9474720996704589, 'type': 'geometric::BiTRRT', 'cost_threshold': 78243.9437388607, 'frountier_threshold': 0.9707152174677689}"
36,123.2249808311,0.2503240108,BiTRRTkConfigDefault,1,1.397149086,0.2503240108,1.7027381354,7.5215581296,1,"{'init_temperature': 0.00011223178057896888, 'range': 6.627593427634167, 'temp_change_factor': 0.7294340917432128, 'frountier_node_ratio': 0.306722959160178, 'type': 'geometric::BiTRRT', 'cost_threshold': 88477.20932279782, 'frountier_threshold': 0.4461758477476182}"
