n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,8.8275129795,0.7452771664,RRTConnectkConfigDefault,1,2.2398710251,0.7452771664,1.7031156437,7.2129203871,1,"{'range': 3.2899406322201146, 'type': 'geometric::RRTConnect'}"
2,15.9100759029,0.753303051,RRTConnectkConfigDefault,1,2.5700378418,0.753303051,1.7032921197,6.7362818577,1,"{'range': 14.089901689429823, 'type': 'geometric::RRTConnect'}"
3,24.9680240154,1.204531908,RRTConnectkConfigDefault,1,3.1244699955,1.204531908,1.7029260702,9.0785155135,1,"{'range': 0.9352308223684423, 'type': 'geometric::RRTConnect'}"
4,28.7144339085,3,RRTConnectkConfigDefault,1,0.0905740261,0.0461671352,0.0003640422,0.0004529642,0,"{'range': 0.29603342636609187, 'type': 'geometric::RRTConnect'}"
5,35.3306479454,0.3469669819,RRTConnectkConfigDefault,1,2.4403438568,0.3469669819,1.7028658289,8.288313284,1,"{'range': 14.690594077771244, 'type': 'geometric::RRTConnect'}"
6,40.9081978798,0.4043569565,RRTConnectkConfigDefault,1,1.9794819355,0.4043569565,1.7030242234,6.937780534,1,"{'range': 11.67085630227077, 'type': 'geometric::RRTConnect'}"
7,48.48178792,0.2644290924,RRTConnectkConfigDefault,1,3.3004868031,0.2644290924,1.7028740892,7.0611942321,1,"{'range': 13.962152253707252, 'type': 'geometric::RRTConnect'}"
8,56.1445949078,0.9021401405,RRTConnectkConfigDefault,1,2.5049681664,0.9021401405,1.7029754171,8.8061725042,1,"{'range': 9.316176580749696, 'type': 'geometric::RRTConnect'}"
9,61.9068090916,0.3420619965,RRTConnectkConfigDefault,1,2.2197721004,0.3420619965,1.7029397655,8.1538991441,1,"{'range': 9.822598826335241, 'type': 'geometric::RRTConnect'}"
10,64.6545350552,3,RRTConnectkConfigDefault,1,0.1092691422,0.1147561073,0.000363526,0.0003700968,0,"{'range': 6.190591687654649, 'type': 'geometric::RRTConnect'}"
11,71.2589080334,0.4847958088,RRTConnectkConfigDefault,1,2.1892499924,0.4847958088,1.702925073,7.3507524234,1,"{'range': 12.450014575699656, 'type': 'geometric::RRTConnect'}"
12,80.6803340912,0.8930270672,RRTConnectkConfigDefault,1,2.4022099972,0.8930270672,1.7028774561,7.0338424613,1,"{'range': 3.164328159750819, 'type': 'geometric::RRTConnect'}"
13,86.7269070148,0.4897282124,RRTConnectkConfigDefault,1,1.8992800713,0.4897282124,1.7028987375,6.6332315903,1,"{'range': 14.202712892748792, 'type': 'geometric::RRTConnect'}"
14,93.2850189209,0.7519958019,RRTConnectkConfigDefault,1,2.4605062008,0.7519958019,1.7027778989,7.4158863946,1,"{'range': 11.266112761726193, 'type': 'geometric::RRTConnect'}"
15,100.5916280746,1.1523549557,RRTConnectkConfigDefault,1,2.109623909,1.1523549557,1.7029211489,6.8795897042,1,"{'range': 7.938783350200128, 'type': 'geometric::RRTConnect'}"
16,107.3032870293,0.3246381283,RRTConnectkConfigDefault,1,2.4071149826,0.3246381283,1.702824737,8.0746883287,1,"{'range': 10.056786687631305, 'type': 'geometric::RRTConnect'}"
17,111.2126269341,3,RRTConnectkConfigDefault,1,0.0169370174,0.7012619972,0,0,0,"{'range': 10.393828357064775, 'type': 'geometric::RRTConnect'}"
18,114.6275088787,0.3485720158,RRTConnectkConfigDefault,1,2.375742197,0.3485720158,1.7028110132,7.4175659793,1,"{'range': 12.483764929232636, 'type': 'geometric::RRTConnect'}"
19,123.1266438961,0.420527935,RRTConnectkConfigDefault,1,3.5090770721,0.420527935,1.7026300774,8.5397121014,1,"{'range': 9.341665360728207, 'type': 'geometric::RRTConnect'}"
20,130.964056015,0.7409379482,RRTConnectkConfigDefault,1,2.849752903,0.7409379482,1.7029336759,7.7850515865,1,"{'range': 9.430508332615341, 'type': 'geometric::RRTConnect'}"
21,137.0364348888,0.2499251366,RRTConnectkConfigDefault,1,2.2438619137,0.2499251366,1.7026881639,7.9956792786,1,"{'range': 7.928998794241897, 'type': 'geometric::RRTConnect'}"
22,146.1742138863,0.4817810059,RRTConnectkConfigDefault,1,3.6321878433,0.4817810059,1.70277028,8.6371774676,1,"{'range': 7.507334757638657, 'type': 'geometric::RRTConnect'}"
23,153.3878030777,0.7446842194,RRTConnectkConfigDefault,1,2.7080330849,0.7446842194,1.702940828,7.2834927806,1,"{'range': 8.02213207498462, 'type': 'geometric::RRTConnect'}"
24,177.7840399742,1.0426588058,RRTConnectkConfigDefault,1,10.3877019882,1.0426588058,1.702968095,8.130401974,1,"{'range': 3.591934103303665, 'type': 'geometric::RRTConnect'}"
25,203.2279479504,0.4084920883,RRTConnectkConfigDefault,1,11.4513800144,0.4084920883,1.7028031644,7.8083021585,1,"{'range': 10.510662052602996, 'type': 'geometric::RRTConnect'}"
26,229.1282250881,2.0268437862,RRTConnectkConfigDefault,1,9.0328290462,2.0268437862,1.7028369997,8.2955670608,1,"{'range': 11.678488892143179, 'type': 'geometric::RRTConnect'}"
27,242.2243800163,3,RRTConnectkConfigDefault,1,0.0273559093,3.1749069691,0,0,0,"{'range': 1.7435361657308455, 'type': 'geometric::RRTConnect'}"
28,255.890376091,2.1284852028,RRTConnectkConfigDefault,1,9.3196029663,2.1284852028,1.7028467538,7.5305137882,1,"{'range': 1.9330474492120673, 'type': 'geometric::RRTConnect'}"
29,275.3979780674,0.494287014,RRTConnectkConfigDefault,1,7.1119909286,0.494287014,1.702925961,8.164699649,1,"{'range': 5.686062873639765, 'type': 'geometric::RRTConnect'}"
30,300.4538609982,2.5510859489,RRTConnectkConfigDefault,1,9.3627579212,2.5510859489,1.7029754775,7.1616379807,1,"{'range': 8.242256168615626, 'type': 'geometric::RRTConnect'}"
31,305.1274628639,3,RRTConnectkConfigDefault,1,0.1299011707,0.4031190872,0.0001345969,0.0001367026,0,"{'range': 11.977064200616418, 'type': 'geometric::RRTConnect'}"
32,310.1454210281,3,RRTConnectkConfigDefault,1,0.2144200802,0.3489990234,0.0002337893,0.0002389288,0,"{'range': 5.598725946091482, 'type': 'geometric::RRTConnect'}"
