n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,14.5574951172,0.988079071,BiTRRTkConfigDefault,1,3.6165988445,0.988079071,1.7030069473,7.5274110641,1,"{'init_temperature': 0.0005928446182250185, 'temp_change_factor': 0.8442657485810175, 'cost_threshold': 0.29753460654447234, 'range': 12.72405090788347, 'frountier_node_ratio': 0.6235636967859725, 'type': 'geometric::BiTRRT', 'frountier_threshold': 85794.5617622757}"
2,30.3226399422,0.7154340744,BiTRRTkConfigDefault,1,4.9852788448,0.7154340744,1.7028296009,7.3457462765,1,"{'init_temperature': 5.6712977317443196e-05, 'temp_change_factor': 0.27265629458011326, 'cost_threshold': 0.8360787635373778, 'range': 12.20131405875485, 'frountier_node_ratio': 0.47997717237505744, 'type': 'geometric::BiTRRT', 'frountier_threshold': 47766.51173213499}"
3,47.573251009,1.312680006,BiTRRTkConfigDefault,1,5.4394299984,1.312680006,1.7029443963,6.9324316075,1,"{'init_temperature': 0.00033739616041726845, 'temp_change_factor': 0.6481718720511973, 'cost_threshold': 0.4736080452737106, 'range': 14.361611868400393, 'frountier_node_ratio': 0.14035078041264518, 'type': 'geometric::BiTRRT', 'frountier_threshold': 36824.1539840548}"
4,64.3729240894,1.7210941315,BiTRRTkConfigDefault,1,4.921102047,1.7210941315,1.7028824726,7.6429932502,1,"{'init_temperature': 0.0008009107519796444, 'temp_change_factor': 0.5204774795512049, 'cost_threshold': 0.7586156243223574, 'range': 10.83742655541616, 'frountier_node_ratio': 0.5820197920751072, 'type': 'geometric::BiTRRT', 'frountier_threshold': 67887.95301189604}"
5,73.8538019657,3,BiTRRTkConfigDefault,1,0.0131850243,2.199960947,0,0,0,"{'init_temperature': 0.00010590760718779215, 'temp_change_factor': 0.47360041934665753, 'cost_threshold': 0.32414100779321414, 'range': 11.080080839221477, 'frountier_node_ratio': 0.21655035442437193, 'type': 'geometric::BiTRRT', 'frountier_threshold': 18633.234332676}"
6,78.4705889225,3,BiTRRTkConfigDefault,1,0.1482961178,3.064068079,0,0,0,"{'init_temperature': 0.0001496748671836832, 'temp_change_factor': 0.2223213882515877, 'cost_threshold': 0.9023485831739845, 'range': 13.54871728538813, 'frountier_node_ratio': 0.4499499899112277, 'type': 'geometric::BiTRRT', 'frountier_threshold': 38648.8981125862}"
7,88.4283149242,2.2573049068,BiTRRTkConfigDefault,1,5.0524160862,2.2573049068,1.7031063366,9.1315182795,1,"{'init_temperature': 9.928035035897389e-05, 'temp_change_factor': 0.969809067746749, 'cost_threshold': 0.6078306687154679, 'range': 2.646552818527073, 'frountier_node_ratio': 0.35815216696952507, 'type': 'geometric::BiTRRT', 'frountier_threshold': 65314.003579793774}"
8,109.482929945,0.957146883,BiTRRTkConfigDefault,1,7.1455278397,0.957146883,1.703067993,7.8491589032,1,"{'init_temperature': 0.00032504722900835256, 'temp_change_factor': 0.03842542647273473, 'cost_threshold': 0.9952995676778879, 'range': 14.388344102505355, 'frountier_node_ratio': 0.652790317005491, 'type': 'geometric::BiTRRT', 'frountier_threshold': 63427.40579573352}"
9,129.9755489826,2.5230820179,BiTRRTkConfigDefault,1,6.5503818989,2.5230820179,1.7028007564,7.2736095559,1,"{'init_temperature': 0.0005818503294385345, 'temp_change_factor': 0.4143685882263689, 'cost_threshold': 0.31720174206929613, 'range': 9.390300506864838, 'frountier_node_ratio': 0.3380076148388918, 'type': 'geometric::BiTRRT', 'frountier_threshold': 47469.750228841294}"
10,134.4909460545,3,BiTRRTkConfigDefault,1,0.2320809364,0.0668289661,0.0003058877,0.0003116479,0,"{'init_temperature': 0.0007783454820259093, 'temp_change_factor': 0.9495710534507423, 'cost_threshold': 0.971945002499666, 'range': 0.3022173706204365, 'frountier_node_ratio': 0.6228460955466696, 'type': 'geometric::BiTRRT', 'frountier_threshold': 66252.68669500444}"
11,156.5067100525,1.0620610714,BiTRRTkConfigDefault,1,6.8346259594,1.0620610714,1.702901254,8.1398183225,1,"{'init_temperature': 0.00043901449521074263, 'temp_change_factor': 0.3445983607728517, 'cost_threshold': 0.8437965041541302, 'range': 14.584430345756715, 'frountier_node_ratio': 0.6354586202297215, 'type': 'geometric::BiTRRT', 'frountier_threshold': 97402.5172975353}"
12,176.6093089581,1.8586361408,BiTRRTkConfigDefault,1,7.5018079281,1.8586361408,1.702713358,9.6983350532,1,"{'init_temperature': 0.00014783572441034502, 'temp_change_factor': 0.11736836486643801, 'cost_threshold': 0.9813375968326917, 'range': 13.27767148839046, 'frountier_node_ratio': 0.9628140725590405, 'type': 'geometric::BiTRRT', 'frountier_threshold': 92321.10961738772}"
13,194.487169981,0.947437048,BiTRRTkConfigDefault,1,4.121489048,0.947437048,1.7028074228,7.0842313946,1,"{'init_temperature': 0.0002830654841685218, 'temp_change_factor': 0.33159301565141736, 'cost_threshold': 0.8580468808357528, 'range': 12.78373404137512, 'frountier_node_ratio': 0.9462612990302295, 'type': 'geometric::BiTRRT', 'frountier_threshold': 49360.35398084194}"
14,214.9059009552,1.3013799191,BiTRRTkConfigDefault,1,6.4430060387,1.3013799191,1.7029161619,6.8311090878,1,"{'init_temperature': 0.0003923554568831117, 'temp_change_factor': 0.3618184035668713, 'cost_threshold': 0.938531012856589, 'range': 12.931616491352171, 'frountier_node_ratio': 0.6392524443378924, 'type': 'geometric::BiTRRT', 'frountier_threshold': 36762.45445487215}"
15,235.7542860508,2.9402279854,BiTRRTkConfigDefault,1,7.6638009548,2.9402279854,1.7030175557,9.3296826777,1,"{'init_temperature': 0.0009312083068316973, 'temp_change_factor': 0.22977949414841087, 'cost_threshold': 0.8490956499954991, 'range': 12.370041116055745, 'frountier_node_ratio': 0.594970387476536, 'type': 'geometric::BiTRRT', 'frountier_threshold': 58243.921775737756}"
16,256.6980090141,1.0414149761,BiTRRTkConfigDefault,1,4.9953289032,1.0414149761,1.7029477636,6.7828183929,1,"{'init_temperature': 0.00019070265111916234, 'temp_change_factor': 0.39567532985383147, 'cost_threshold': 0.8008791531401807, 'range': 12.15345609214288, 'frountier_node_ratio': 0.8916996838310434, 'type': 'geometric::BiTRRT', 'frountier_threshold': 5985.817849346076}"
17,265.4597840309,3,BiTRRTkConfigDefault,1,0.1358401775,0.3645980358,0.0002194477,0.0002270084,0,"{'init_temperature': 0.0003016863984095411, 'temp_change_factor': 0.00881672672259848, 'cost_threshold': 0.8853500154326912, 'range': 12.197618286817718, 'frountier_node_ratio': 0.9844618012608017, 'type': 'geometric::BiTRRT', 'frountier_threshold': 13688.87770747147}"
18,272.8887701035,3,BiTRRTkConfigDefault,1,0.1278870106,0.2026460171,0.0003174001,0.0003240846,0,"{'init_temperature': 0.0003021878071595786, 'temp_change_factor': 0.47296310620473414, 'cost_threshold': 0.8189508602458021, 'range': 12.540753620477894, 'frountier_node_ratio': 0.894541080522361, 'type': 'geometric::BiTRRT', 'frountier_threshold': 11188.95257272279}"
19,290.8922998905,3,BiTRRTkConfigDefault,1,0.0454478264,5.1066668034,0,0,0,"{'init_temperature': 0.0002227327370451914, 'temp_change_factor': 0.2575478757753534, 'cost_threshold': 0.26369359872257564, 'range': 12.676224699986927, 'frountier_node_ratio': 0.9902985283977255, 'type': 'geometric::BiTRRT', 'frountier_threshold': 45630.89142602763}"
20,306.2120170593,1.7744801044,BiTRRTkConfigDefault,1,6.8439090252,1.7744801044,1.7027935199,8.2768971194,1,"{'init_temperature': 0.0002739311337974105, 'temp_change_factor': 0.32090260034477375, 'cost_threshold': 0.8120316663183106, 'range': 12.273263286827907, 'frountier_node_ratio': 0.7894883927995847, 'type': 'geometric::BiTRRT', 'frountier_threshold': 97167.39572061446}"
21,327.6795179844,0.5871529579,BiTRRTkConfigDefault,1,6.7892620564,0.5871529579,1.7027948245,7.4130423923,1,"{'init_temperature': 0.00032460414369203005, 'temp_change_factor': 0.3969491735531596, 'cost_threshold': 0.855482284255149, 'range': 13.041760110127719, 'frountier_node_ratio': 0.07575678132515808, 'type': 'geometric::BiTRRT', 'frountier_threshold': 48569.235755716174}"
22,337.8727021217,3,BiTRRTkConfigDefault,1,0.1717610359,0.1988680363,0.0001980552,0.0002035677,0,"{'init_temperature': 0.0002809861468054805, 'temp_change_factor': 0.2579173938115413, 'cost_threshold': 0.852106040657549, 'range': 13.70072996434552, 'frountier_node_ratio': 0.6444748044040121, 'type': 'geometric::BiTRRT', 'frountier_threshold': 48047.04800622293}"
23,357.8177919388,1.110697031,BiTRRTkConfigDefault,1,7.299779892,1.110697031,1.7028224295,7.5285075759,1,"{'init_temperature': 7.277985519273102e-05, 'temp_change_factor': 0.3141993836095705, 'cost_threshold': 0.8680342163842858, 'range': 13.670464242315596, 'frountier_node_ratio': 0.264244512958361, 'type': 'geometric::BiTRRT', 'frountier_threshold': 54743.23947274613}"
