n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,16.334178,0.444944859,BiTRRTkConfigDefault,1,2.604848862,0.444944859,1.702877699,9.08093535,1,"{'init_temperature': '1e-06', 'temp_change_factor': '0.1', 'cost_threshold': '100000.0', 'range': '5.0', 'frountier_node_ratio': '0.1', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.4'}"
2,31.925945,0.271275997,BiTRRTkConfigDefault,1,3.1971488,0.271275997,1.703239271,8.376467266,1,"{'init_temperature': '1.6452587008378928e-05', 'temp_change_factor': '0.9433890618381666', 'cost_threshold': '81291.50485790054', 'range': '11.634765305936439', 'frountier_node_ratio': '0.6042110995178694', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.6568401860466199'}"
3,48.7854165,0.627878189,BiTRRTkConfigDefault,1,3.905790091,0.627878189,1.703224981,7.352760763,1,"{'init_temperature': '4.593681637391678e-05', 'temp_change_factor': '0.38300963008571765', 'cost_threshold': '95592.17700147729', 'range': '7.965555250264634', 'frountier_node_ratio': '0.05786450381278485', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.9495561925313989'}"
4,65.644888,0.300324917,BiTRRTkConfigDefault,1,3.877802134,0.300324917,1.703132029,7.330378045,1,"{'init_temperature': '0.00048177882138481485', 'temp_change_factor': '0.5325690108277104', 'cost_threshold': '68742.69963771936', 'range': '9.902131952252732', 'frountier_node_ratio': '0.2840280679179529', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.9880326948073805'}"
5,82.5043595,1.115145922,BiTRRTkConfigDefault,1,3.890437841,1.115145922,1.703036496,8.773400948,1,"{'init_temperature': '0.000711556783301482', 'temp_change_factor': '0.0421834026164738', 'cost_threshold': '65401.692802915015', 'range': '12.164624977086913', 'frountier_node_ratio': '0.3023281314131858', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.8282001703279739'}"
6,99.363831,0.217406034,BiTRRTkConfigDefault,1,2.739830017,0.217406034,1.702755808,8.846927286,1,"{'init_temperature': '0.0009264586892960417', 'temp_change_factor': '0.42404485298981975', 'cost_threshold': '90851.65264947417', 'range': '10.195663784046713', 'frountier_node_ratio': '0.3578125784755187', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.13871560467201005'}"
7,117.6570734,0.786318064,BiTRRTkConfigDefault,1,2.924403906,0.786318064,1.702932898,8.540969387,1,"{'init_temperature': '0.00025427831462185557', 'temp_change_factor': '0.05424421022560644', 'cost_threshold': '57323.874704873946', 'range': '4.439167805194242', 'frountier_node_ratio': '0.19557799197286374', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.445269245248584'}"
8,135.9503158,0.57013607,BiTRRTkConfigDefault,1,3.871462107,0.57013607,1.703050275,9.670850526,1,"{'init_temperature': '0.0006928590244496692', 'temp_change_factor': '0.9568465558915744', 'cost_threshold': '38683.627908111', 'range': '4.195397190448644', 'frountier_node_ratio': '0.4575329949135254', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.6177174433687146'}"
9,154.2435582,0.388237953,BiTRRTkConfigDefault,1,3.973397017,0.388237953,1.703177606,9.747871831,1,"{'init_temperature': '0.0008523432682451377', 'temp_change_factor': '0.5264039322403571', 'cost_threshold': '8725.036251921392', 'range': '13.78618624718022', 'frountier_node_ratio': '0.7788641521335762', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.2555725278351173'}"
10,172.5368006,0.327977896,BiTRRTkConfigDefault,1,3.619293928,0.327977896,1.702873104,8.924377921,1,"{'init_temperature': '0.0008798451386856412', 'temp_change_factor': '0.8974770853180786', 'cost_threshold': '72659.66990700063', 'range': '7.074038638013738', 'frountier_node_ratio': '0.4617438603862485', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.3680207493741461'}"
11,190.830043,0.889430046,BiTRRTkConfigDefault,1,3.335664988,0.889430046,1.70290075,7.872929514,1,"{'init_temperature': '0.0008681725431772891', 'temp_change_factor': '0.08763009310568903', 'cost_threshold': '59482.57450243', 'range': '7.410217175746543', 'frountier_node_ratio': '0.3339033146483045', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.8353270734625817'}"
12,209.1232854,0.439034939,BiTRRTkConfigDefault,1,2.53956604,0.439034939,1.703057031,7.569571144,1,"{'init_temperature': '0.0009976482430147707', 'temp_change_factor': '0.20987676037547853', 'cost_threshold': '67568.49042760357', 'range': '13.825951770941254', 'frountier_node_ratio': '0.7887425349256297', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.04473160228221795'}"
13,227.4165278,0.282038212,BiTRRTkConfigDefault,1,2.411870956,0.282038212,1.703072977,8.520924118,1,"{'init_temperature': '0.00014176559561916892', 'temp_change_factor': '0.12475099604480333', 'cost_threshold': '46920.5091844083', 'range': '12.34995112845591', 'frountier_node_ratio': '0.11468221402580125', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.6207848609791844'}"
14,245.7097702,0.662219048,BiTRRTkConfigDefault,1,4.006285906,0.662219048,1.702835033,9.142578645,1,"{'init_temperature': '0.0006252695374453902', 'temp_change_factor': '0.7657023083881382', 'cost_threshold': '35195.188263242395', 'range': '5.883018447547262', 'frountier_node_ratio': '0.4236461154665139', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.5552156472599186'}"
15,264.0030126,3,BiTRRTkConfigDefault,1,0.090736866,0.055619001,0.000217813,0.000224348,0,"{'init_temperature': '0.0004266302647262503', 'temp_change_factor': '0.5001243971833291', 'cost_threshold': '96478.10853115354', 'range': '14.487825004672423', 'frountier_node_ratio': '0.38497736556421436', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.7942568193205786'}"
16,282.296255,0.957877159,BiTRRTkConfigDefault,1,3.603801966,0.957877159,1.702924407,8.135418988,1,"{'init_temperature': '0.0008987322145535631', 'temp_change_factor': '0.4169299214827249', 'cost_threshold': '72133.07189449185', 'range': '14.297471739535455', 'frountier_node_ratio': '0.20154502200270275', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.025313164955562573'}"
17,300.5894974,0.42019105,BiTRRTkConfigDefault,1,2.943078041,0.42019105,1.702905319,9.391365137,1,"{'init_temperature': '0.000429685690927533', 'temp_change_factor': '0.8203379313349546', 'cost_threshold': '96572.25631208766', 'range': '12.19368502057056', 'frountier_node_ratio': '0.9106545525110024', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.8537451271947506'}"
18,318.8827398,0.35285902,BiTRRTkConfigDefault,1,3.79310298,0.35285902,1.702972066,7.150658566,1,"{'init_temperature': '0.0006870208109764651', 'temp_change_factor': '0.6077160502337803', 'cost_threshold': '81811.5284001869', 'range': '9.806615022690673', 'frountier_node_ratio': '0.5928894735168568', 'type': 'geometric::BiTRRT', 'frountier_threshold': '0.7235930878690495'}"
