n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,4.9783411026,3,BKPIECEkConfigDefault,1,0.0968661308,0.1103930473,0.0002296699,0.0002409177,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.48853053612823405, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.23348557976834244, 'failed_expansion_score_factor': 0.5751738818653198, 'min_valid_path_fraction': 0.3093347690266522, 'type': 'geometric::BKPIECE'}"
2,14.199021101,1.8590989113,BKPIECEkConfigDefault,1,2.96799016,1.8590989113,1.7031589696,7.1317941756,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.32472846170866054, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.1940533723393039, 'failed_expansion_score_factor': 0.879765945655858, 'min_valid_path_fraction': 0.7795226032469553, 'type': 'geometric::BKPIECE'}"
3,20.9525640011,0.5806229115,BKPIECEkConfigDefault,1,2.2329900265,0.5806229115,1.7031226426,8.1451245192,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.5472453097984541, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.6640067202233064, 'failed_expansion_score_factor': 0.9740212912121388, 'min_valid_path_fraction': 0.2182498790775822, 'type': 'geometric::BKPIECE'}"
4,27.4152898788,0.9926531315,BKPIECEkConfigDefault,1,2.097755909,0.9926531315,1.7030621532,6.9238875319,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.4396159543262876, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.084344769660645, 'failed_expansion_score_factor': 0.0873473326608907, 'min_valid_path_fraction': 0.933379586076666, 'type': 'geometric::BKPIECE'}"
5,33.9149301052,0.5731189251,BKPIECEkConfigDefault,1,2.08761096,0.5731189251,1.7027443513,8.3241803419,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.5472453097984541, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.6640067202233064, 'failed_expansion_score_factor': 0.9740212912121388, 'min_valid_path_fraction': 0.7986096392019828, 'type': 'geometric::BKPIECE'}"
6,39.7042279243,0.485352993,BKPIECEkConfigDefault,1,1.9702928066,0.485352993,1.7029920515,7.151295887,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6467412368341087, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.6640067202233064, 'failed_expansion_score_factor': 0.9740212912121388, 'min_valid_path_fraction': 0.7006731448322518, 'type': 'geometric::BKPIECE'}"
7,45.2086489201,0.5526149273,BKPIECEkConfigDefault,1,2.2121400833,0.5526149273,1.7029841545,7.1000081464,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.5472453097984541, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.3564691161874016, 'failed_expansion_score_factor': 0.9740212912121388, 'min_valid_path_fraction': 0.2182498790775822, 'type': 'geometric::BKPIECE'}"
8,51.6715300083,0.7656350136,BKPIECEkConfigDefault,1,2.1934099197,0.7656350136,1.7029638724,6.9288470229,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.5472453097984541, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.0886345087230773, 'failed_expansion_score_factor': 0.9740212912121388, 'min_valid_path_fraction': 0.23274998851482975, 'type': 'geometric::BKPIECE'}"
9,59.0179760456,1.4963390827,BKPIECEkConfigDefault,1,2.3907859325,1.4963390827,1.7029577151,8.8581790919,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.8425996592709284, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.3399156257850608, 'failed_expansion_score_factor': 0.6166710085134697, 'min_valid_path_fraction': 0.8415892563073758, 'type': 'geometric::BKPIECE'}"
10,62.6348729134,3,BKPIECEkConfigDefault,1,0.036823988,0.0993227959,0.0003850645,0.0003930984,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.8727375364212575, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.35254576214697775, 'failed_expansion_score_factor': 0.5031360202376086, 'min_valid_path_fraction': 0.9848317020018482, 'type': 'geometric::BKPIECE'}"
11,69.8134529591,1.182500124,BKPIECEkConfigDefault,1,2.1404788494,1.182500124,1.7031879494,7.468036147,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6467412368341087, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.701293389289705, 'failed_expansion_score_factor': 0.9420135782897601, 'min_valid_path_fraction': 0.7006731448322518, 'type': 'geometric::BKPIECE'}"
12,76.4392549992,0.7591831684,BKPIECEkConfigDefault,1,2.1788499355,0.7591831684,1.7031219107,7.3936909549,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.20197146937000177, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.2440653417692453, 'failed_expansion_score_factor': 0.9180786710523074, 'min_valid_path_fraction': 0.619877463596748, 'type': 'geometric::BKPIECE'}"
13,84.0375108719,1.2319858074,BKPIECEkConfigDefault,1,2.214619875,1.2319858074,1.7029292163,6.9547468401,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6467412368341087, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.9768001615455597, 'failed_expansion_score_factor': 0.9740212912121388, 'min_valid_path_fraction': 0.7006731448322518, 'type': 'geometric::BKPIECE'}"
14,89.6986670494,0.3453500271,BKPIECEkConfigDefault,1,1.9429779053,0.3453500271,1.702924249,7.1536412712,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.9663531331623302, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.5764647546660049, 'failed_expansion_score_factor': 0.3280316739073971, 'min_valid_path_fraction': 0.35121415146901924, 'type': 'geometric::BKPIECE'}"
15,96.699958086,1.1836111546,BKPIECEkConfigDefault,1,2.1941981316,1.1836111546,1.7028692937,6.903499861,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6467412368341087, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.6640067202233064, 'failed_expansion_score_factor': 0.9210003031875145, 'min_valid_path_fraction': 0.6705885524159206, 'type': 'geometric::BKPIECE'}"
16,102.9704399109,0.3789858818,BKPIECEkConfigDefault,1,2.1666100025,0.3789858818,1.7028700948,7.8557072379,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6467412368341087, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.6640067202233064, 'failed_expansion_score_factor': 0.9549339991267723, 'min_valid_path_fraction': 0.6372180122071539, 'type': 'geometric::BKPIECE'}"
17,109.1705920696,0.249322176,BKPIECEkConfigDefault,1,2.3463559151,0.249322176,1.7028523961,7.1441266108,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.086429719566945, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.2915376659361277, 'failed_expansion_score_factor': 0.6036440413910169, 'min_valid_path_fraction': 0.24796897280661034, 'type': 'geometric::BKPIECE'}"
18,115.5885460377,3,BKPIECEkConfigDefault,1,0.0086798668,3.021709919,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.44507602586992295, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.6165076174496404, 'failed_expansion_score_factor': 0.6079476429536301, 'min_valid_path_fraction': 0.22097036621762356, 'type': 'geometric::BKPIECE'}"
19,120.2215540409,1.7746629715,BKPIECEkConfigDefault,1,1.9850699902,1.7746629715,1.702708493,8.4464683082,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.07133150066938344, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.9852636825928802, 'failed_expansion_score_factor': 0.9368140853650048, 'min_valid_path_fraction': 0.9780214981002648, 'type': 'geometric::BKPIECE'}"
20,127.0163440704,1.1756639481,BKPIECEkConfigDefault,1,2.5193209648,1.1756639481,1.7029659384,9.0896533482,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.731113740337189, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.6423937272370619, 'failed_expansion_score_factor': 0.5819251524589557, 'min_valid_path_fraction': 0.5519220335438603, 'type': 'geometric::BKPIECE'}"
21,132.7748398781,0.4376490116,BKPIECEkConfigDefault,1,2.1942081451,0.4376490116,1.7027551353,8.5311886644,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.9812622517720869, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.2915376659361277, 'failed_expansion_score_factor': 0.6036440413910169, 'min_valid_path_fraction': 0.7671165351725783, 'type': 'geometric::BKPIECE'}"
22,138.5563890934,0.3373160362,BKPIECEkConfigDefault,1,2.2697279453,0.3373160362,1.7028669154,7.7113177117,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.5396232119949237, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.2915376659361277, 'failed_expansion_score_factor': 0.27866949923430734, 'min_valid_path_fraction': 0.24796897280661034, 'type': 'geometric::BKPIECE'}"
