n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,9.9092078209,1.0219049454,RRTConnectkConfigDefault,1,3.2833909988,1.0219049454,1.7031895096,7.5128477975,1,"{'default': 1.9215595423098923, 'type': 'geometric::RRTConnect'}"
2,14.2563569546,3,RRTConnectkConfigDefault,1,0.0445709229,0.5585639477,0,0,0,"{'default': 1.0089760015097555, 'type': 'geometric::RRTConnect'}"
3,19.3104038239,0.1893889904,RRTConnectkConfigDefault,1,4.0852191448,0.1893889904,1.7027773409,6.8926481638,1,"{'default': 1.8838276263466252, 'type': 'geometric::RRTConnect'}"
4,28.2945189476,0.9045469761,RRTConnectkConfigDefault,1,3.619893074,0.9045469761,1.7031354802,8.6798553384,1,"{'default': 0.8154757370169453, 'type': 'geometric::RRTConnect'}"
5,38.7278628349,0.5285210609,RRTConnectkConfigDefault,1,4.1604969501,0.5285210609,1.7030484146,8.0899733241,1,"{'default': 0.8426704818551424, 'type': 'geometric::RRTConnect'}"
6,46.6340119839,0.5400209427,RRTConnectkConfigDefault,1,3.3426411152,0.5400209427,1.70293483,9.0847594925,1,"{'default': 1.6045731293991512, 'type': 'geometric::RRTConnect'}"
7,55.368270874,0.2668869495,RRTConnectkConfigDefault,1,4.0018610954,0.2668869495,1.7027640445,8.6582456303,1,"{'default': 1.3193138247540173, 'type': 'geometric::RRTConnect'}"
8,64.6996309757,0.4587910175,RRTConnectkConfigDefault,1,3.102563858,0.4587910175,1.7029110047,6.965409415,1,"{'default': 0.9977276058192294, 'type': 'geometric::RRTConnect'}"
9,72.9206168652,0.5563790798,RRTConnectkConfigDefault,1,2.4051859379,0.5563790798,1.7027537766,7.7147237439,1,"{'default': 1.7224612385537972, 'type': 'geometric::RRTConnect'}"
10,82.1381649971,0.6828730106,RRTConnectkConfigDefault,1,3.4365200996,0.6828730106,1.7027841463,7.2484703406,1,"{'default': 1.835832658651559, 'type': 'geometric::RRTConnect'}"
11,86.3655397892,3,RRTConnectkConfigDefault,1,0.019037962,0.6972129345,0,0,0,"{'default': 1.9792301778195367, 'type': 'geometric::RRTConnect'}"
12,89.3124189377,0.4777090549,RRTConnectkConfigDefault,1,1.9043400288,0.4777090549,1.7026762771,6.9351918611,1,"{'default': 1.8673758701944658, 'type': 'geometric::RRTConnect'}"
13,98.3362178802,0.4767329693,RRTConnectkConfigDefault,1,3.9213778973,0.4767329693,1.7029059172,8.6767868085,1,"{'default': 1.898231899343779, 'type': 'geometric::RRTConnect'}"
14,106.4237458706,0.2069268227,RRTConnectkConfigDefault,1,4.1916890144,0.2069268227,1.7029763487,6.9803498775,1,"{'default': 1.8949854681804494, 'type': 'geometric::RRTConnect'}"
15,114.7405509949,0.255739212,RRTConnectkConfigDefault,1,4.0656089783,0.255739212,1.7026509835,7.7862641565,1,"{'default': 1.9306078454758013, 'type': 'geometric::RRTConnect'}"
16,122.9323408604,0.3779189587,RRTConnectkConfigDefault,1,3.4397521019,0.3779189587,1.7030127148,7.1500788619,1,"{'default': 1.80401432581676, 'type': 'geometric::RRTConnect'}"
17,134.0968029499,0.603069067,RRTConnectkConfigDefault,1,3.7005119324,0.603069067,1.703050336,7.3352891862,1,"{'default': 0.5996758477177934, 'type': 'geometric::RRTConnect'}"
18,143.1643409729,1.4569711685,RRTConnectkConfigDefault,1,3.7007329464,1.4569711685,1.7028930746,7.1949711302,1,"{'default': 1.3654987981240592, 'type': 'geometric::RRTConnect'}"
19,150.1646308899,0.6098558903,RRTConnectkConfigDefault,1,2.5512459278,0.6098558903,1.7030859276,7.2070927485,1,"{'default': 0.18347684445228435, 'type': 'geometric::RRTConnect'}"
20,156.0682449341,0.6778099537,RRTConnectkConfigDefault,1,2.4523470402,0.6778099537,1.7029187447,7.7698332111,1,"{'default': 1.7613000511659007, 'type': 'geometric::RRTConnect'}"
21,165.0363838673,0.3688459396,RRTConnectkConfigDefault,1,4.1587691307,0.3688459396,1.7029953654,8.2894185494,1,"{'default': 0.9641677989238168, 'type': 'geometric::RRTConnect'}"
22,173.2229018211,0.2765791416,RRTConnectkConfigDefault,1,4.1175658703,0.2765791416,1.7028323535,8.6203349214,1,"{'default': 1.7852836868579953, 'type': 'geometric::RRTConnect'}"
23,180.1001558304,0.2341861725,RRTConnectkConfigDefault,1,3.1699399948,0.2341861725,1.7027494978,8.22770123,1,"{'default': 1.6629490415926806, 'type': 'geometric::RRTConnect'}"
24,189.5952949524,0.4816088676,RRTConnectkConfigDefault,1,4.1537439823,0.4816088676,1.7029835724,8.7802845181,1,"{'default': 1.9944512083086363, 'type': 'geometric::RRTConnect'}"
25,198.5564568043,0.3868551254,RRTConnectkConfigDefault,1,3.9463188648,0.3868551254,1.7029594657,8.2155252847,1,"{'default': 1.2071624330611657, 'type': 'geometric::RRTConnect'}"
26,204.3994209766,3,RRTConnectkConfigDefault,1,0.0062499046,1.1251881123,0,0,0,"{'default': 1.738713611424061, 'type': 'geometric::RRTConnect'}"
27,208.9315838814,0.4718940258,RRTConnectkConfigDefault,1,3.1496469975,0.4718940258,1.7029491928,7.0398532571,1,"{'default': 1.6082011615087863, 'type': 'geometric::RRTConnect'}"
28,217.8578798771,0.414675951,RRTConnectkConfigDefault,1,4.2255759239,0.414675951,1.7028618459,8.7519088465,1,"{'default': 1.2327120268259382, 'type': 'geometric::RRTConnect'}"
29,228.0099298954,0.4217259884,RRTConnectkConfigDefault,1,4.2228651047,0.4217259884,1.7030368909,7.7853503964,1,"{'default': 1.0249164574581542, 'type': 'geometric::RRTConnect'}"
30,235.5202608109,0.3996548653,RRTConnectkConfigDefault,1,2.7010450363,0.3996548653,1.702851476,8.2124989152,1,"{'default': 1.9146657237294404, 'type': 'geometric::RRTConnect'}"
31,244.5383489132,0.7943909168,RRTConnectkConfigDefault,1,4.1631639004,0.7943909168,1.7030017431,9.0036476726,1,"{'default': 1.9798362953145654, 'type': 'geometric::RRTConnect'}"
32,252.7872509956,0.2645471096,RRTConnectkConfigDefault,1,3.373636961,0.2645471096,1.7027293253,7.8081328358,1,"{'default': 1.7385140803193564, 'type': 'geometric::RRTConnect'}"
33,261.5618958473,0.2569379807,RRTConnectkConfigDefault,1,2.9761400223,0.2569379807,1.7028895803,8.0229823466,1,"{'default': 0.9337934696566479, 'type': 'geometric::RRTConnect'}"
