n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,5.3631641865,3,BKPIECEkConfigDefault,1,0.0054278374,3.0081648827,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.7294298980537985, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.1352780476941042, 'failed_expansion_score_factor': 0.4524720593719595, 'min_valid_path_fraction': 0.6635994074133234, 'type': 'geometric::BKPIECE'}"
2,9.8997991085,1.6003479958,BKPIECEkConfigDefault,1,2.0832560062,1.6003479958,1.7028409793,6.9093138666,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.965479622475978, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.6042775723570628, 'failed_expansion_score_factor': 0.5524501737652593, 'min_valid_path_fraction': 0.5896423330392357, 'type': 'geometric::BKPIECE'}"
3,17.0851380825,1.0846099854,BKPIECEkConfigDefault,1,2.3742930889,1.0846099854,1.7030912091,9.5831568251,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.13277283471646367, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.6819777065410824, 'failed_expansion_score_factor': 0.789248913402358, 'min_valid_path_fraction': 0.8765115408344784, 'type': 'geometric::BKPIECE'}"
4,26.1486439705,3,BKPIECEkConfigDefault,1,0.0323359966,3.0147070885,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.4884053941402853, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.32472140915097314, 'failed_expansion_score_factor': 0.6579249702611477, 'min_valid_path_fraction': 0.1861856230385941, 'type': 'geometric::BKPIECE'}"
5,30.9774999619,2.0222520828,BKPIECEkConfigDefault,1,2.0062549114,2.0222520828,1.7031166913,7.9536793483,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.44392884299099744, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.5710440099250118, 'failed_expansion_score_factor': 0.4833428156057211, 'min_valid_path_fraction': 0.5900122514252162, 'type': 'geometric::BKPIECE'}"
6,37.6343209744,3,BKPIECEkConfigDefault,1,0.067581892,3.0131211281,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6314909365863004, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.893121349177786, 'failed_expansion_score_factor': 0.6977292841483094, 'min_valid_path_fraction': 0.3915325055450967, 'type': 'geometric::BKPIECE'}"
7,41.5974161625,1.1109240055,BKPIECEkConfigDefault,1,2.0586779118,1.1109240055,1.7031233908,7.2206594019,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.10721419804780635, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.374211952274503, 'failed_expansion_score_factor': 0.24986343302014885, 'min_valid_path_fraction': 0.17247998277211066, 'type': 'geometric::BKPIECE'}"
8,50.6927139759,2.9869320393,BKPIECEkConfigDefault,1,1.829075098,2.9869320393,1.7029425787,6.4276531165,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.5916869318969857, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.97791029231253, 'failed_expansion_score_factor': 0.14694257021062668, 'min_valid_path_fraction': 0.24843291829009295, 'type': 'geometric::BKPIECE'}"
9,55.7691421509,3,BKPIECEkConfigDefault,1,0.0845811367,1.911908865,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.29062702241279303, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.5644086248030452, 'failed_expansion_score_factor': 0.20102110446324373, 'min_valid_path_fraction': 0.15485638410608987, 'type': 'geometric::BKPIECE'}"
10,59.8764231205,0.9574689865,BKPIECEkConfigDefault,1,2.4765658379,0.9574689865,1.7030136173,8.7877184542,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.23675324359605082, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.6598871367110768, 'failed_expansion_score_factor': 0.1422462120034082, 'min_valid_path_fraction': 0.8460476621238638, 'type': 'geometric::BKPIECE'}"
