n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,12.141700983,3,BKPIECEkConfigDefault,1,0.0162210464,3.021021843,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.8520524611519665, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.7097783036898384, 'failed_expansion_score_factor': 0.6423855119466738, 'min_valid_path_fraction': 0.41516262192806486, 'type': 'geometric::BKPIECE'}"
2,17.3070709705,3,BKPIECEkConfigDefault,1,0.0364229679,3.0154161453,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.30902347985110756, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.6431205846734371, 'failed_expansion_score_factor': 0.5059783137563045, 'min_valid_path_fraction': 0.42314555629578826, 'type': 'geometric::BKPIECE'}"
3,27.2880079746,1.7188391685,BKPIECEkConfigDefault,1,6.4245080948,1.7188391685,1.7030632077,7.6218084602,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6657632784486375, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.9185948020107884, 'failed_expansion_score_factor': 0.1833332413920129, 'min_valid_path_fraction': 0.8765828954405146, 'type': 'geometric::BKPIECE'}"
4,46.0478160381,2.4636859894,BKPIECEkConfigDefault,1,6.0603530407,2.4636859894,1.7031202631,7.794963148,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.5444536055736446, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.469202043979242, 'failed_expansion_score_factor': 0.6029188024713519, 'min_valid_path_fraction': 0.5605045679765602, 'type': 'geometric::BKPIECE'}"
5,63.2469050884,1.8533661366,BKPIECEkConfigDefault,1,5.9004330635,1.8533661366,1.7029110613,7.1156742384,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.49992039837932456, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.5001445365450206, 'failed_expansion_score_factor': 0.2557228367031533, 'min_valid_path_fraction': 0.17845726473517948, 'type': 'geometric::BKPIECE'}"
6,68.3694939613,3,BKPIECEkConfigDefault,1,0.1895430088,0.7704541683,0.0003312459,0.0004099714,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.26120531883900827, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.814937103505869, 'failed_expansion_score_factor': 0.47745249041566623, 'min_valid_path_fraction': 0.6324102849899259, 'type': 'geometric::BKPIECE'}"
7,72.5027430058,3,BKPIECEkConfigDefault,1,0.0935308933,0.1334731579,0.0002853145,0.0003592488,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.9713186143594115, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.42472821175848585, 'failed_expansion_score_factor': 0.3902445586210488, 'min_valid_path_fraction': 0.7631518341575335, 'type': 'geometric::BKPIECE'}"
8,88.9984321594,2.679582119,BKPIECEkConfigDefault,1,4.8589639664,2.679582119,1.7028179051,7.0740027511,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.086504155149098, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.922003610386589, 'failed_expansion_score_factor': 0.6701508011552164, 'min_valid_path_fraction': 0.6533059299233858, 'type': 'geometric::BKPIECE'}"
9,101.0533511639,3,BKPIECEkConfigDefault,1,0.1616239548,3.0395309925,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.4436501588150504, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.2846691921505498, 'failed_expansion_score_factor': 0.3711072340969472, 'min_valid_path_fraction': 0.6910147061460697, 'type': 'geometric::BKPIECE'}"
10,106.1474239826,3,BKPIECEkConfigDefault,1,0.0176968575,3.0742120743,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.9520925007782051, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.12578610766300868, 'failed_expansion_score_factor': 0.641703790769336, 'min_valid_path_fraction': 0.689976649294, 'type': 'geometric::BKPIECE'}"
11,116.3587450981,3,BKPIECEkConfigDefault,1,0.1854629517,3.0528151989,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.610922945771989, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.9204562911579126, 'failed_expansion_score_factor': 0.3262067352491157, 'min_valid_path_fraction': 0.4186312508090036, 'type': 'geometric::BKPIECE'}"
12,129.7865080833,2.6447501183,BKPIECEkConfigDefault,1,6.5006668568,2.6447501183,1.7031311845,7.7987711015,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.5381839299946419, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.9010977936158533, 'failed_expansion_score_factor': 0.24652844444069733, 'min_valid_path_fraction': 0.06835736419208265, 'type': 'geometric::BKPIECE'}"
13,155.2547261715,2.2775709629,BKPIECEkConfigDefault,1,8.8164310455,2.2775709629,1.7030774303,7.2939265331,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.5457693941359771, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.9986440000963437, 'failed_expansion_score_factor': 0.11057679928036197, 'min_valid_path_fraction': 0.18221386567103892, 'type': 'geometric::BKPIECE'}"
14,163.7114989758,3,BKPIECEkConfigDefault,1,0.220635891,0.5571539402,0.000273212,0.0002810915,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.5916497863256512, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.97516145953279, 'failed_expansion_score_factor': 0.06475531840882484, 'min_valid_path_fraction': 0.08580608826480118, 'type': 'geometric::BKPIECE'}"
15,180.1417291164,3,BKPIECEkConfigDefault,1,0.173648119,3.1034471989,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.907651522888407, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.945963914473712, 'failed_expansion_score_factor': 0.16217103357272547, 'min_valid_path_fraction': 0.21645592695472166, 'type': 'geometric::BKPIECE'}"
16,195.9157710075,2.5413160324,BKPIECEkConfigDefault,1,6.0062770844,2.5413160324,1.7028476679,7.7471042567,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.5344400344902271, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.86743458628008, 'failed_expansion_score_factor': 0.05359034224929621, 'min_valid_path_fraction': 0.07168380731910715, 'type': 'geometric::BKPIECE'}"
17,205.3096721172,3,BKPIECEkConfigDefault,1,0.230962038,0.5825099945,0.0003181205,0.0003239711,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6560986029616513, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.7155680425139694, 'failed_expansion_score_factor': 0.20850833442731675, 'min_valid_path_fraction': 0.1347630629516659, 'type': 'geometric::BKPIECE'}"
18,214.942909956,3,BKPIECEkConfigDefault,1,0.1581149101,0.6792919636,0.0002802218,0.000286803,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.09945863133402513, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.9273124641718253, 'failed_expansion_score_factor': 0.1914798156845539, 'min_valid_path_fraction': 0.16596885291078736, 'type': 'geometric::BKPIECE'}"
19,235.6083321571,3,BKPIECEkConfigDefault,1,0.0384221077,3.092017889,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.47489305381898334, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.9168051954100376, 'failed_expansion_score_factor': 0.15223468414314953, 'min_valid_path_fraction': 0.9855433915601769, 'type': 'geometric::BKPIECE'}"
20,244.7320730686,3,BKPIECEkConfigDefault,1,0.0649690628,3.0872271061,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.560070727226089, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.7335079191793847, 'failed_expansion_score_factor': 0.17680569814685948, 'min_valid_path_fraction': 0.9303820269161883, 'type': 'geometric::BKPIECE'}"
21,252.6299669743,3,BKPIECEkConfigDefault,1,0.0043778419,3.1221210957,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.48994599744762507, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.9585219927497979, 'failed_expansion_score_factor': 0.18350692562642434, 'min_valid_path_fraction': 0.21515329521209442, 'type': 'geometric::BKPIECE'}"
22,270.2415840626,3.782930851,BKPIECEkConfigDefault,1,6.9926290512,3.782930851,1.703010856,7.3935825985,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.510102671998195, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.4858680043647066, 'failed_expansion_score_factor': 0.2793739808987302, 'min_valid_path_fraction': 0.1837009105204806, 'type': 'geometric::BKPIECE'}"
