n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,18.984181881,0.9881570339,RRTConnectkConfigDefault,1,8.0869860649,0.9881570339,1.7030639199,8.9477484139,1,"{'default': 1.226404774627535, 'type': 'geometric::RRTConnect'}"
2,34.6754670143,2.5276851654,RRTConnectkConfigDefault,1,6.606951952,2.5276851654,1.7031996717,9.095613697,1,"{'default': 1.7300966734832381, 'type': 'geometric::RRTConnect'}"
3,48.0878760815,3,RRTConnectkConfigDefault,1,0.0347998142,2.4139170647,0,0,0,"{'default': 1.2847710238933476, 'type': 'geometric::RRTConnect'}"
4,57.0924339294,0.4859809875,RRTConnectkConfigDefault,1,7.2466568947,0.4859809875,1.7029854525,8.8770905997,1,"{'default': 0.6653157524344974, 'type': 'geometric::RRTConnect'}"
5,76.9628939629,1.6407949924,RRTConnectkConfigDefault,1,6.4516391754,1.6407949924,1.7030319906,7.1466902551,1,"{'default': 0.6180469597022151, 'type': 'geometric::RRTConnect'}"
6,93.3116190434,1.0383050442,RRTConnectkConfigDefault,1,7.6450660229,1.0383050442,1.7028388621,7.2840123187,1,"{'default': 1.6431205846734371, 'type': 'geometric::RRTConnect'}"
7,108.3451919556,1.54302001,RRTConnectkConfigDefault,1,6.6159420013,1.54302001,1.7028929007,7.8834958362,1,"{'default': 0.8462911125915765, 'type': 'geometric::RRTConnect'}"
8,127.6237819195,0.8483560085,RRTConnectkConfigDefault,1,5.7240569592,0.8483560085,1.7029449642,6.8485115369,1,"{'default': 0.7410527047928099, 'type': 'geometric::RRTConnect'}"
9,147.9178719521,1.9536430836,RRTConnectkConfigDefault,1,6.8714678288,1.9536430836,1.7030977716,7.642190534,1,"{'default': 0.7996589256970412, 'type': 'geometric::RRTConnect'}"
10,166.725342989,1.9814469814,RRTConnectkConfigDefault,1,5.9754149914,1.9814469814,1.7028698244,7.3140058987,1,"{'default': 0.3666664827840258, 'type': 'geometric::RRTConnect'}"
11,183.6489210129,1.2672979832,RRTConnectkConfigDefault,1,4.1396980286,1.2672979832,1.7029470166,7.728877859,1,"{'default': 0.30122445365680506, 'type': 'geometric::RRTConnect'}"
12,203.9090590477,0.822261095,RRTConnectkConfigDefault,1,6.1929781437,0.822261095,1.7027655632,7.932145007,1,"{'default': 0.687521708970867, 'type': 'geometric::RRTConnect'}"
13,220.8935410976,0.4216828346,RRTConnectkConfigDefault,1,5.4012868404,0.4216828346,1.7026675075,6.4969829291,1,"{'default': 0.6887628236462331, 'type': 'geometric::RRTConnect'}"
14,240.1528820992,1.3005840778,RRTConnectkConfigDefault,1,4.708739996,1.3005840778,1.7028967433,7.5797929007,1,"{'default': 0.6888950255601889, 'type': 'geometric::RRTConnect'}"
15,261.6080050468,2.205851078,RRTConnectkConfigDefault,1,5.8791790009,2.205851078,1.7029171093,7.2860057217,1,"{'default': 0.6659023383643959, 'type': 'geometric::RRTConnect'}"
16,283.3910501003,1.5880329609,RRTConnectkConfigDefault,1,6.7553560734,1.5880329609,1.7028255506,8.376898352,1,"{'default': 0.6772108328746166, 'type': 'geometric::RRTConnect'}"
17,307.6340379715,1.0098309517,RRTConnectkConfigDefault,1,6.6490688324,1.0098309517,1.7028120658,8.7997021562,1,"{'default': 0.6887190846977184, 'type': 'geometric::RRTConnect'}"
18,324.6085059643,3,RRTConnectkConfigDefault,1,0.0592739582,2.0908699036,0,0,0,"{'default': 0.7690038888671993, 'type': 'geometric::RRTConnect'}"
19,340.1504690647,1.1192069054,RRTConnectkConfigDefault,1,9.4555850029,1.1192069054,1.7029142249,7.5328370006,1,"{'default': 0.7427943881587992, 'type': 'geometric::RRTConnect'}"
20,359.2808220387,0.5663740635,RRTConnectkConfigDefault,1,6.6955440044,0.5663740635,1.7027566176,8.4661656123,1,"{'default': 0.7556205506474438, 'type': 'geometric::RRTConnect'}"
21,380.00334692,1.3255889416,RRTConnectkConfigDefault,1,8.3066530228,1.3255889416,1.7028272633,8.9736548165,1,"{'default': 0.761255757596284, 'type': 'geometric::RRTConnect'}"
22,398.9055769444,0.7990899086,RRTConnectkConfigDefault,1,5.4546039104,0.7990899086,1.7028679598,6.7907088336,1,"{'default': 0.763719374125542, 'type': 'geometric::RRTConnect'}"
23,417.6842060089,1.281922102,RRTConnectkConfigDefault,1,6.1244680882,1.281922102,1.7027540567,8.0644728317,1,"{'default': 0.7657638029834168, 'type': 'geometric::RRTConnect'}"
24,440.3008821011,1.8980698586,RRTConnectkConfigDefault,1,7.7838220596,1.8980698586,1.7028757012,9.3385880425,1,"{'default': 0.7664633046311926, 'type': 'geometric::RRTConnect'}"
25,458.1971769333,0.5678260326,RRTConnectkConfigDefault,1,5.0836949348,0.5678260326,1.7027980374,8.5168729532,1,"{'default': 0.6826147793156306, 'type': 'geometric::RRTConnect'}"
26,475.724312067,0.3746500015,RRTConnectkConfigDefault,1,5.6695690155,0.3746500015,1.7027544597,7.7261688405,1,"{'default': 0.6801886331365233, 'type': 'geometric::RRTConnect'}"
