n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,24.758076,1.084661961,RRTConnectkConfigDefault,1,6.320346117,1.084661961,1.703054422,8.765534248,1,"{'default': '1.0', 'type': 'geometric::RRTConnect'}"
2,46.413588,0.720170021,RRTConnectkConfigDefault,1,3.568114042,0.720170021,1.702747123,7.1568275,1,"{'default': '0.1', 'type': 'geometric::RRTConnect'}"
3,69.50683733,1.570173979,RRTConnectkConfigDefault,1,4.146801949,1.570173979,1.70296506,7.060451819,1,"{'default': '1.9', 'type': 'geometric::RRTConnect'}"
4,92.60008667,1.05749917,RRTConnectkConfigDefault,1,5.232481956,1.05749917,1.703068932,7.789194477,1,"{'default': '1.6', 'type': 'geometric::RRTConnect'}"
5,115.693336,0.705888033,RRTConnectkConfigDefault,1,3.944074869,0.705888033,1.702839564,8.067224792,1,"{'default': '1.3', 'type': 'geometric::RRTConnect'}"
6,137.9708825,0.727421045,RRTConnectkConfigDefault,1,3.489187002,0.727421045,1.702962467,7.052141272,1,"{'default': '0.3', 'type': 'geometric::RRTConnect'}"
7,160.248429,0.430279016,RRTConnectkConfigDefault,1,5.040169954,0.430279016,1.702922672,7.969800937,1,"{'default': '0.9', 'type': 'geometric::RRTConnect'}"
8,746.8943933,0.613579988,RRTConnectkConfigDefault,1,5.630878925,0.613579988,1.702894936,7.985297662,1,"{'default': '0.4', 'type': 'geometric::RRTConnect'}"
9,1333.540358,0.668034077,RRTConnectkConfigDefault,1,4.52918601,0.668034077,1.702796671,8.517943012,1,"{'default': '1.5', 'type': 'geometric::RRTConnect'}"
10,1920.186322,0.945612907,RRTConnectkConfigDefault,1,8.760930061,0.945612907,1.702785061,7.201708838,1,"{'default': '0.2', 'type': 'geometric::RRTConnect'}"
11,2506.832286,0.758753777,RRTConnectkConfigDefault,1,5.249637842,0.758753777,1.703107351,8.319815087,1,"{'default': '1.8', 'type': 'geometric::RRTConnect'}"
12,3093.47825,3,RRTConnectkConfigDefault,1,0.176263094,0.110237122,0.000437388,0.000444935,0,"{'default': '1.1', 'type': 'geometric::RRTConnect'}"
13,3680.124215,1.243804932,RRTConnectkConfigDefault,1,6.439146996,1.243804932,1.702732952,8.753745514,1,"{'default': '0.6', 'type': 'geometric::RRTConnect'}"
14,4266.770179,0.911610842,RRTConnectkConfigDefault,1,4.934684992,0.911610842,1.702714609,7.573274993,1,"{'default': '1.2', 'type': 'geometric::RRTConnect'}"
15,4853.416143,1.062945843,RRTConnectkConfigDefault,1,5.694267035,1.062945843,1.702914727,8.518030112,1,"{'default': '1.4', 'type': 'geometric::RRTConnect'}"
16,5440.062107,1.161178827,RRTConnectkConfigDefault,1,4.976052046,1.161178827,1.702926865,6.811213552,1,"{'default': '0.8', 'type': 'geometric::RRTConnect'}"
17,6026.708072,0.861360073,RRTConnectkConfigDefault,1,6.182657003,0.861360073,1.70274573,7.246042246,1,"{'default': '0.5', 'type': 'geometric::RRTConnect'}"
18,6613.354036,1.630889177,RRTConnectkConfigDefault,1,6.075284004,1.630889177,1.702822091,7.273935871,1,"{'default': '0.7', 'type': 'geometric::RRTConnect'}"
19,7200,0.772125959,RRTConnectkConfigDefault,1,8.185514927,0.772125959,1.702799572,9.24220971,1,"{'default': '1.7', 'type': 'geometric::RRTConnect'}"
