n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,24.2148909569,2.3600611687,RRTConnectkConfigDefault,1,9.0710940361,2.3600611687,1.7031848948,9.469349993,1,"{'default': 1.5, 'type': 'geometric::RRTConnect'}"
2,46.803385973,1.2461488247,RRTConnectkConfigDefault,1,10.258603096,1.2461488247,1.7031113234,8.5513947927,1,"{'default': 0.8, 'type': 'geometric::RRTConnect'}"
3,65.1319248676,2.0635988712,RRTConnectkConfigDefault,1,4.2460730076,2.0635988712,1.7027934754,8.5152035236,1,"{'default': 0.7000000000000001, 'type': 'geometric::RRTConnect'}"
4,77.4012379646,0.5291450024,RRTConnectkConfigDefault,1,5.0732281208,0.5291450024,1.7028412883,7.481123476,1,"{'default': 2.0, 'type': 'geometric::RRTConnect'}"
5,97.1728658676,0.9878909588,RRTConnectkConfigDefault,1,10.2614879608,0.9878909588,1.7026071726,9.1744077077,1,"{'default': 0.1, 'type': 'geometric::RRTConnect'}"
6,110.3328509331,3,RRTConnectkConfigDefault,1,0.0777440071,1.7044839859,0,0,0,"{'default': 1.9000000000000001, 'type': 'geometric::RRTConnect'}"
7,121.2480380535,1.2429299355,RRTConnectkConfigDefault,1,7.6843929291,1.2429299355,1.7030624741,7.3680766774,1,"{'default': 0.9, 'type': 'geometric::RRTConnect'}"
8,139.3712420464,0.9241249561,RRTConnectkConfigDefault,1,5.6004898548,0.9241249561,1.7028148626,7.1576643483,1,"{'default': 0.2, 'type': 'geometric::RRTConnect'}"
9,152.7924048901,1.3020470142,RRTConnectkConfigDefault,1,4.4272611141,1.3020470142,1.7026700837,7.0302728354,1,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
10,166.5975749493,0.9269421101,RRTConnectkConfigDefault,1,5.9218888283,0.9269421101,1.702805651,8.6485677126,1,"{'default': 1.6, 'type': 'geometric::RRTConnect'}"
11,193.8237729073,1.1774461269,RRTConnectkConfigDefault,1,10.7812130451,1.1774461269,1.7026694783,6.922521203,1,"{'default': 0.6000000000000001, 'type': 'geometric::RRTConnect'}"
