,RRTConnect,BiTRRT,BKPIECE
aucbandit,0.16773209115765322,0.23121649028138433,0.45963526302607366
default,0.19845188458760576,0.21269758542378744,0.7031963030497232
et,0.20281600575258985,0.28206761677510855,0.6001082715763498
gbrt,0.2094910102152002,0.3553354276943212,0.5750077981708309
gp,0.20175068168079155,0.24654041290283202,0.3543298161703463
ompl,0.21109914779663086,0.7865479151407877,1.5903085867563884
rand,0.24504486038142115,0.22429089192369975,0.5787709553940267
rf,0.24379556703546465,0.2711403150751687,0.41169563929096276
smac,0.1897371451347222,0.19862060291231884,0.5267441593333334
tpe,0.18424204986006978,0.17129890122173666,0.615494638663794
