"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Full Configuration","Predicted Performance (if available)",
"0.0"," 1.7976931348623157E308","0.0","1","0.0", " x1='2.5', x2='7.5'","NaN"
"0.575636479"," 24.129964","0.725","1","0.47617895199999993", " x1='2.5', x2='7.5'","NaN"
"1.0987822459999999"," 16.3207","1.609","4","0.6992343810000001", " x1='-0.9098123633655257', x2='8.207648079502304'","24.129964"
"1.209925367"," 15.278923","1.732","5","0.7101781890000001", " x1='1.0697957122142983', x2='3.6285161996675357'","24.129964"
"1.5341482539999998"," 11.321152","1.954","8","0.7344075600000002", " x1='-2.286668753758501', x2='13.075772820714569'","24.129964"
"2.2518549080000003"," 10.030824","2.642","14","0.852082268", " x1='-1.903800271809335', x2='7.717879927857412'","20.065621750000002"
"2.4678169810000004"," 9.384675","2.802","16","0.868288489", " x1='9.12185353835875', x2='5.155298745294126'","20.065621750000002"
"3.3964270130000007"," 8.141987","3.649","24","0.996697073", " x1='1.7706290274571943', x2='3.3677441118212474'","35.60380934166667"
"5.629459349"," 1.353015","6.096","44","1.229687653", " x1='-3.575195641892122', x2='13.599269135606203'","42.850875499999994"
"8.604078523999991"," 0.85897","9.513","71","1.5043454280000002", " x1='3.076489336314598', x2='1.662435715959711'","28.38429749146825"
"11.870640763999981"," 0.85897","13.885","71","1.8711266690000001", " x1='3.076489336314598', x2='1.662435715959711'","5.9518874011904765"
