1: x1='2.5', x2='7.5'
2: x1='5.641033444826812', x2='3.2533363935330657'
3: x1='7.034512700503967', x2='6.377117978995798'
4: x1='-2.034847066963317', x2='6.759819375446674'
5: x1='6.611321200096313', x2='12.934008976139387'
6: x1='4.809399867625894', x2='3.085950565064751'
7: x1='8.635681854460902', x2='8.883808155904246'
8: x1='-2.9628701716438055', x2='8.813463060472278'
9: x1='0.04363421687232538', x2='7.904542531097962'
10: x1='5.187963341271127', x2='6.885179098223315'
11: x1='-0.019817566078649484', x2='4.236509984415722'
12: x1='4.529975245267819', x2='10.89643375884688'
13: x1='-2.2519629263413767', x2='9.58789158570742'
14: x1='1.8156924845872426', x2='5.022317207793189'
15: x1='2.6800625107209193', x2='9.587193612624736'
16: x1='9.069096622362252', x2='6.413868461269577'
17: x1='2.480793153628867', x2='9.041166430725944'
18: x1='2.360319744895608', x2='10.75248436601867'
19: x1='-0.581972177490722', x2='9.134943098302408'
20: x1='9.765441104395101', x2='10.589257092284265'
21: x1='-1.0776356451982743', x2='9.113616790099032'
22: x1='2.635439261812989', x2='11.272989547626645'
23: x1='-3.8335267726386464', x2='10.81239564996343'
24: x1='0.7129338183430809', x2='11.81559400744093'
25: x1='-1.9127794740673254', x2='10.777212777826351'
26: x1='-0.806450774390167', x2='6.8995012323392055'
27: x1='-1.9592258497437136', x2='10.80825325241546'
28: x1='4.02836177828342', x2='13.865815253408623'
29: x1='-3.2361198135736666', x2='10.793978421218968'
30: x1='-0.037741391064933794', x2='3.084783302818303'
31: x1='-2.953233953216612', x2='10.808796983846682'
32: x1='-4.129344611127284', x2='13.869801726373199'
33: x1='-2.9628701716438055', x2='10.824271088379467'
34: x1='0.1677977943871385', x2='8.66112906212916'
35: x1='-3.4298424445657356', x2='10.84981303092022'
36: x1='-4.4442944408381', x2='6.286507011760361'
37: x1='-2.688924376027221', x2='10.843825427794158'
38: x1='7.1538750359717795', x2='9.976769819794528'
39: x1='-4.4449178479892835', x2='10.827392963195283'
40: x1='4.257714357811187', x2='13.153694375508955'
41: x1='-2.848058115927263', x2='10.839665196224342'
42: x1='-4.195059941878015', x2='10.706006730497112'
43: x1='-4.392882654749928', x2='10.84346251862721'
44: x1='-1.2478130536079486', x2='10.856601948641257'
45: x1='6.595325280499495', x2='12.330446392749979'
46: x1='-2.719329482661136', x2='10.76645758897734'
47: x1='8.984434596828873', x2='0.46926509794335547'
48: x1='-3.0397442904745886', x2='10.740193952015941'
49: x1='4.0248333248459645', x2='2.210663766264411'
50: x1='-2.1844602088018155', x2='10.746455185020272'
51: x1='4.852722349369319', x2='8.060132958121345'
52: x1='-2.0595081303752942', x2='9.979513127440118'
53: x1='-1.0361377798941138', x2='6.0216630094178205'
54: x1='-3.4489871970240413', x2='10.362805407920106'
55: x1='-2.8896532818909924', x2='10.878335516889884'
56: x1='0.9287375041264525', x2='14.474532019665688'
57: x1='-0.713312604696756', x2='10.869441369865209'
58: x1='9.776188346653415', x2='5.580140619860204'
59: x1='-1.009867063343985', x2='10.865086984278822'
60: x1='-2.6086323723938447', x2='3.824579025433562'
61: x1='-0.14422403612322654', x2='10.86297150213116'
62: x1='-1.4493085385017506', x2='9.27948664426557'
63: x1='-3.622435138889566', x2='10.884084275640049'
64: x1='8.803310611461502', x2='14.406981092471597'
65: x1='1.9381505446878098', x2='10.547873662440063'
66: x1='1.7375964307216298', x2='10.840470624390537'
67: x1='1.4485474353323333', x2='12.45958291775555'
68: x1='1.8218692113808697', x2='10.171266852051232'
69: x1='-3.974444744016459', x2='12.65997371813693'
70: x1='1.7458679508651178', x2='10.339731445850303'
71: x1='-4.738385222377698', x2='8.047487070429806'
72: x1='1.777020679759194', x2='10.777212777826351'
73: x1='7.931063514390299', x2='10.302098746901931'
74: x1='1.76469361490211', x2='10.343653403968823'
75: x1='3.3686347108230805', x2='1.2113017537037873'
76: x1='1.731614769006998', x2='10.532128167999183'
77: x1='-3.622435138889566', x2='10.52016736637556'
78: x1='-1.6099197445652607', x2='13.607500061441542'
79: x1='-3.6421168788259655', x2='10.006858824201649'
80: x1='-2.14413559757679', x2='8.119393631212912'
81: x1='-3.656001529556383', x2='10.299218227134922'
82: x1='4.191349124622587', x2='13.169622811885645'
83: x1='0.7337459293907349', x2='12.376770474219123'
84: x1='2.209957272887139', x2='3.0253481643738347'
85: x1='0.7833956014156467', x2='12.635109914656823'
86: x1='8.9585982106651', x2='10.770052514703284'
87: x1='0.7792317078987772', x2='12.762451802949037'
88: x1='-2.4314861893984756', x2='13.625930469370587'
89: x1='-2.204641972812273', x2='14.620088761071012'
90: x1='-2.2638089289478813', x2='14.804087722623866'
91: x1='6.867454885011867', x2='7.8269260452618505'
92: x1='-3.265837576214523', x2='13.279198465213499'
93: x1='4.2676145101735585', x2='8.027624426843998'
94: x1='-2.4499539135089625', x2='13.864439867326025'
95: x1='1.8060224939923604', x2='7.198371349954513'
96: x1='-3.236615637460225', x2='14.240639113870776'
97: x1='-4.168668314571139', x2='14.385140156532449'
98: x1='-2.77257765133023', x2='14.492878216451338'
99: x1='-2.89148540807198', x2='10.962560487447625'
100: x1='2.5623869046519365', x2='5.3217156045617'
