Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,24.129964,0,1.7976931348623157E308,-1,0.0,0.0,1,24.129964,0,0.0,SAT,,0.348,
2,2,1,129.788166,0,1.7976931348623157E308,-1,0.0,0.0,1,129.788166,1,0.0,SAT,,0.039,
3,3,1,164.185167,0,1.7976931348623157E308,-1,0.0,0.0,1,164.185167,1,0.0,SAT,,0.044,
4,4,1,16.3207,0,1.7976931348623157E308,-1,0.0,0.0,1,16.3207,1,0.0,SAT,,0.056,
5,5,1,15.278923,0,1.7976931348623157E308,-1,0.0,0.0,1,15.278923,1,0.0,SAT,,0.056,
6,6,1,85.596055,0,1.7976931348623157E308,-1,0.0,0.0,1,85.596055,1,0.0,SAT,,0.057,
7,7,1,63.715365,0,1.7976931348623157E308,-1,0.0,0.0,1,63.715365,1,0.0,SAT,,0.064,
8,8,1,11.321152,0,1.7976931348623157E308,-1,0.0,0.0,1,11.321152,1,0.0,SAT,,0.028,
9,9,1,80.155918,0,1.7976931348623157E308,-1,0.0,0.0,1,80.155918,1,0.0,SAT,,0.077,
10,10,1,25.246333,0,1.7976931348623157E308,-1,0.0,0.0,1,25.246333,1,0.0,SAT,,0.03,
11,11,1,14.848032,0,1.7976931348623157E308,-1,0.0,0.0,1,14.848032,1,0.0,SAT,,0.057,
12,12,1,27.395621,0,1.7976931348623157E308,-1,0.0,0.0,1,27.395621,1,0.0,SAT,,0.038,
13,13,1,50.580044,0,1.7976931348623157E308,-1,0.0,0.0,1,50.580044,2,0.0,SAT,,0.067,
14,14,1,10.030824,0,1.7976931348623157E308,-1,0.0,0.0,1,10.030824,2,0.0,SAT,,0.041,
15,15,1,46.59631,0,1.7976931348623157E308,-1,0.0,0.0,1,46.59631,2,0.0,SAT,,0.053,
16,16,1,9.384675,0,1.7976931348623157E308,-1,0.0,0.0,1,9.384675,2,0.0,SAT,,0.038,
