1: sp-clause-activity-inc='1.0', sp-clause-decay='1.4', sp-clause-del-heur='2', sp-clause-inversion='1', sp-first-restart='100', sp-learned-clause-sort-heur='0', sp-learned-clauses-inc='1.3', sp-learned-size-factor='0.4', sp-max-res-lit-inc='1.0', sp-max-res-runs='4', sp-orig-clause-sort-heur='0', sp-phase-dec-heur='5', sp-rand-phase-dec-freq='0.001', sp-rand-phase-scaling='1.0', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='1.0', sp-res-cutoff-cls='8', sp-res-cutoff-lits='400', sp-res-order-heur='0', sp-resolution='1', sp-restart-inc='1.5', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.0', sp-var-dec-heur='0', sp-variable-decay='1.4'
2: sp-clause-activity-inc='1.3273145818708794', sp-clause-decay='1.1475097163869201', sp-clause-del-heur='0', sp-clause-inversion='0', sp-first-restart='144', sp-learned-clause-sort-heur='3', sp-learned-clauses-inc='1.1634259900929116', sp-learned-size-factor='0.18998841534152477', sp-max-res-lit-inc='1.8030639755238278', sp-max-res-runs='5', sp-orig-clause-sort-heur='0', sp-phase-dec-heur='0', sp-rand-phase-dec-freq='0.005', sp-rand-phase-scaling='0.918382728792994', sp-rand-var-dec-freq='0.005', sp-rand-var-dec-scaling='1.0751142521159547', sp-res-cutoff-cls='5', sp-res-cutoff-lits='339', sp-res-order-heur='9', sp-resolution='0', sp-restart-inc='1.333213789001852', sp-update-dec-queue='0', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.203764454858129', sp-var-dec-heur='8', sp-variable-decay='1.0415497488838992'
3: sp-clause-activity-inc='1.1756352712089524', sp-clause-decay='1.1446179036229582', sp-clause-del-heur='2', sp-clause-inversion='1', sp-first-restart='60', sp-learned-clause-sort-heur='3', sp-learned-clauses-inc='1.1662825037783815', sp-learned-size-factor='0.7370035788992196', sp-max-res-lit-inc='0.5931387437676995', sp-max-res-runs='4', sp-orig-clause-sort-heur='15', sp-phase-dec-heur='3', sp-rand-phase-dec-freq='0', sp-rand-phase-scaling='0.4786351963674509', sp-rand-var-dec-freq='0.01', sp-rand-var-dec-scaling='0.9411960853573935', sp-res-cutoff-cls='3', sp-res-cutoff-lits='367', sp-res-order-heur='19', sp-resolution='0', sp-restart-inc='1.8932081573941715', sp-update-dec-queue='0', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.3277187234336574', sp-var-dec-heur='7', sp-variable-decay='1.9075200903941114'
4: sp-clause-activity-inc='1.265751156124993', sp-clause-decay='1.989749164323902', sp-clause-del-heur='2', sp-clause-inversion='0', sp-first-restart='1005', sp-learned-clause-sort-heur='4', sp-learned-clauses-inc='1.4227087819160884', sp-learned-size-factor='0.2285494717475162', sp-max-res-lit-inc='0.6892992477247646', sp-max-res-runs='2', sp-orig-clause-sort-heur='3', sp-phase-dec-heur='3', sp-rand-phase-dec-freq='0.05', sp-rand-phase-scaling='1.087659848112571', sp-rand-var-dec-freq='0', sp-rand-var-dec-scaling='1.0432699890697006', sp-res-cutoff-cls='3', sp-res-cutoff-lits='466', sp-res-order-heur='13', sp-resolution='0', sp-restart-inc='1.8379998291718334', sp-update-dec-queue='0', sp-use-pure-literal-rule='0', sp-var-activity-inc='0.6336244849745811', sp-var-dec-heur='9', sp-variable-decay='1.274571069353812'
5: sp-clause-activity-inc='0.9592753351964085', sp-clause-decay='1.8621715409807533', sp-clause-del-heur='2', sp-clause-inversion='0', sp-first-restart='106', sp-learned-clause-sort-heur='16', sp-learned-clauses-inc='1.3805880303176727', sp-learned-size-factor='1.0660768635363946', sp-max-res-lit-inc='1.789908110189167', sp-max-res-runs='4', sp-orig-clause-sort-heur='8', sp-phase-dec-heur='4', sp-rand-phase-dec-freq='0', sp-rand-phase-scaling='0.9635355724105767', sp-rand-var-dec-freq='0', sp-rand-var-dec-scaling='0.6344034675297021', sp-res-cutoff-cls='8', sp-res-cutoff-lits='258', sp-res-order-heur='7', sp-resolution='1', sp-restart-inc='1.50087987793543', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='0.8985764903438735', sp-var-dec-heur='15', sp-variable-decay='1.4821609711623556'
6: sp-clause-activity-inc='0.5726006094339926', sp-clause-decay='1.6419290676408522', sp-clause-del-heur='2', sp-clause-inversion='0', sp-first-restart='173', sp-learned-clause-sort-heur='8', sp-learned-clauses-inc='1.3027453057270384', sp-learned-size-factor='0.1019953605351102', sp-max-res-lit-inc='0.31317105892544317', sp-max-res-runs='1', sp-orig-clause-sort-heur='17', sp-phase-dec-heur='3', sp-rand-phase-dec-freq='0', sp-rand-phase-scaling='0.7148000584767906', sp-rand-var-dec-freq='0.01', sp-rand-var-dec-scaling='0.7712118636848101', sp-res-cutoff-cls='13', sp-res-cutoff-lits='844', sp-res-order-heur='4', sp-resolution='2', sp-restart-inc='1.8500008771067136', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.289779102666949', sp-var-dec-heur='16', sp-variable-decay='1.2977431844158944'
7: sp-clause-activity-inc='1.1923202585522232', sp-clause-decay='1.3432160100839856', sp-clause-del-heur='0', sp-clause-inversion='0', sp-first-restart='277', sp-learned-clause-sort-heur='13', sp-learned-clauses-inc='1.1984071668605605', sp-learned-size-factor='0.4031975211305418', sp-max-res-lit-inc='3.3966176723544943', sp-max-res-runs='1', sp-orig-clause-sort-heur='3', sp-phase-dec-heur='4', sp-rand-phase-dec-freq='0.001', sp-rand-phase-scaling='0.8569070680673403', sp-rand-var-dec-freq='0.005', sp-rand-var-dec-scaling='0.33077783522772997', sp-res-cutoff-cls='3', sp-res-cutoff-lits='1318', sp-res-order-heur='19', sp-resolution='2', sp-restart-inc='1.359173794036572', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='0.6954398340548646', sp-var-dec-heur='4', sp-variable-decay='1.980522143075132'
8: sp-clause-activity-inc='1.463695548651955', sp-clause-decay='1.4331590783636956', sp-clause-del-heur='2', sp-clause-inversion='0', sp-first-restart='589', sp-learned-clause-sort-heur='19', sp-learned-clauses-inc='1.1594483332876058', sp-learned-size-factor='0.16350701686431107', sp-max-res-lit-inc='0.4789514874053119', sp-max-res-runs='15', sp-orig-clause-sort-heur='7', sp-phase-dec-heur='1', sp-rand-phase-dec-freq='0', sp-rand-phase-scaling='0.8324024138968555', sp-rand-var-dec-freq='0.005', sp-rand-var-dec-scaling='0.7302287399386755', sp-res-cutoff-cls='19', sp-res-cutoff-lits='118', sp-res-order-heur='6', sp-resolution='0', sp-restart-inc='1.3996294142418324', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.1541962410447355', sp-var-dec-heur='13', sp-variable-decay='1.2284218872962218'
9: sp-clause-activity-inc='1.2184105703116326', sp-clause-decay='1.0371849243122122', sp-clause-del-heur='1', sp-clause-inversion='1', sp-first-restart='662', sp-learned-clause-sort-heur='9', sp-learned-clauses-inc='1.156224955634644', sp-learned-size-factor='0.11473111316307993', sp-max-res-lit-inc='0.5002680014096149', sp-max-res-runs='1', sp-orig-clause-sort-heur='14', sp-phase-dec-heur='6', sp-rand-phase-dec-freq='0.005', sp-rand-phase-scaling='0.5173160130479173', sp-rand-var-dec-freq='0.01', sp-rand-var-dec-scaling='0.3694596121632018', sp-res-cutoff-cls='2', sp-res-cutoff-lits='141', sp-res-order-heur='0', sp-resolution='2', sp-restart-inc='1.542053345733335', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.3857198570850566', sp-var-dec-heur='6', sp-variable-decay='1.8374739296476439'
10: sp-clause-activity-inc='0.7049376380374532', sp-clause-decay='1.5997003448188836', sp-clause-del-heur='1', sp-clause-inversion='1', sp-first-restart='33', sp-learned-clause-sort-heur='9', sp-learned-clauses-inc='1.1300293474484941', sp-learned-size-factor='0.25135425567495595', sp-max-res-lit-inc='0.46239483753421745', sp-max-res-runs='1', sp-orig-clause-sort-heur='3', sp-phase-dec-heur='6', sp-rand-phase-dec-freq='0.005', sp-rand-phase-scaling='0.7329058270338165', sp-rand-var-dec-freq='0.05', sp-rand-var-dec-scaling='0.4934108688327636', sp-res-cutoff-cls='12', sp-res-cutoff-lits='135', sp-res-order-heur='17', sp-resolution='1', sp-restart-inc='1.7810470097991895', sp-update-dec-queue='0', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.046733887360352', sp-var-dec-heur='0', sp-variable-decay='1.021412564561335'
11: sp-clause-activity-inc='1.2425168591761862', sp-clause-decay='1.0837723113314413', sp-clause-del-heur='1', sp-clause-inversion='0', sp-first-restart='350', sp-learned-clause-sort-heur='18', sp-learned-clauses-inc='1.3671047364115536', sp-learned-size-factor='1.0578457945348514', sp-max-res-lit-inc='0.6646927220332398', sp-max-res-runs='9', sp-orig-clause-sort-heur='3', sp-phase-dec-heur='6', sp-rand-phase-dec-freq='0.0001', sp-rand-phase-scaling='0.6450253166339182', sp-rand-var-dec-freq='0.005', sp-rand-var-dec-scaling='0.9851322004961123', sp-res-cutoff-cls='12', sp-res-cutoff-lits='183', sp-res-order-heur='15', sp-resolution='2', sp-restart-inc='1.6501787055361694', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='0.8532772830589497', sp-var-dec-heur='11', sp-variable-decay='1.8547104483920354'
