Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,2,0.0383341312408,0,1.0,8765092,0.0383341312408,0.0,1,0.0,0,0.0383341312408,SAT,,0.382,
2,1,5,0.0839729309082,0,1.0,7163446,0.0839729309082,0.0,1,0.0,1,0.122307062149,SAT,,0.219,
3,2,2,0.043576002121,0,1.0,8765092,0.043576002121,0.0,1,0.0,1,0.16588306427,SAT,,0.13,
4,1,1,0.0507740974426,0,1.0,5320365,0.0507740974426,0.0,1,0.0,1,0.2166571617126,SAT,,0.104,
5,3,2,0.025710105896,0,1.0,8765092,0.025710105896,0.0,1,0.0,1,0.2423672676086,SAT,,0.102,
6,3,1,0.0294289588928,0,1.0,5320365,0.0294289588928,0.0,1,0.0,1,0.2717962265014,SAT,,0.094,
7,3,5,0.0327699184418,0,1.0,7163446,0.0327699184418,0.0,1,0.0,1,0.3045661449432,SAT,,0.093,
8,3,3,1.0,0,1.0,8435516,2.30218505859,0.0,0,0.0,1,2.6067512035332,TIMEOUT,,2.374,
9,4,1,0.0135037899017,0,1.0,5320365,0.0135037899017,0.0,1,0.0,1,2.6202549934349,SAT,,0.113,
10,4,2,0.0120968818665,0,1.0,8765092,0.0120968818665,0.0,1,0.0,1,2.6323518753014,SAT,,0.054,
11,4,3,1.0,0,1.0,8435516,2.36933612823,0.0,0,0.0,1,5.001688003531401,TIMEOUT,,2.402,
12,4,5,0.0219750404358,0,1.0,7163446,0.0219750404358,0.0,1,0.0,1,5.0236630439672005,SAT,,0.045,
13,4,4,0.0598578453064,0,1.0,16049169,0.0598578453064,0.0,1,0.0,2,5.083520889273601,SAT,,0.138,
14,5,3,1.0,0,1.0,8435516,2.2421309948,0.0,0,0.0,2,7.325651884073601,TIMEOUT,,2.318,
15,5,1,0.0169320106506,0,1.0,5320365,0.0169320106506,0.0,1,0.0,2,7.342583894724201,SAT,,0.054,
16,5,5,0.0452740192413,0,1.0,7163446,0.0452740192413,0.0,1,0.0,2,7.387857913965501,SAT,,0.135,
17,4,4,0.0227580070496,0,1.0,15375424,0.0227580070496,0.0,1,0.0,2,7.410615921015101,SAT,,0.061,
18,6,4,0.0390839576721,0,1.0,16049169,0.0390839576721,0.0,1,0.0,2,7.4496998786872,SAT,,0.099,
19,6,2,0.0156118869781,0,1.0,8765092,0.0156118869781,0.0,1,0.0,2,7.4653117656653,SAT,,0.054,
20,6,1,0.015007019043,0,1.0,5320365,0.015007019043,0.0,1,0.0,2,7.4803187847083,SAT,,0.077,
21,4,5,0.0585238933563,0,1.0,15753149,0.0585238933563,0.0,1,0.0,3,7.5388426780646,SAT,,0.105,
22,7,3,0.354681015015,0,1.0,8435516,0.354681015015,0.0,1,0.0,3,7.8935236930796,SAT,,0.471,
23,7,5,0.0283010005951,0,1.0,15753149,0.0283010005951,0.0,1,0.0,3,7.9218246936747,SAT,,0.068,
24,7,4,0.0349149703979,0,1.0,16049169,0.0349149703979,0.0,1,0.0,3,7.9567396640726,SAT,,0.059,
25,7,4,0.0415949821472,0,1.0,15375424,0.0415949821472,0.0,1,0.0,3,7.9983346462198,SAT,,0.085,
